FID	Id	Type	Name	NameNew	Site_ID	SITE_ID2	Year	Easting	Northing	Watershed	Latitude	Longitude	F_____m_	Descriptio	LON_new	LAT_new
45	0	 	 	 	ANCH	 	0	0	0	Anchor confluence	59.77234	-151.8356	4	 	-151.8356	59.77234
46	0	 	 	 	NANC	 	0	0	0	North Anchor confluence	59.77474	-151.82925	5	 	-151.82925	59.77474
47	0	 	 	 	SANC	 	0	0	0	South Anchor confluence	59.7715	-151.83086	3	 	-151.83086	59.7715
48	0	 	 	 	NINI	 	0	0	0	Ninilchik confluence	60.04838	-151.66447	5	Park at Village bridge and sample about 10yds downstream - should get new GPS	-151.66447	60.04838
49	0	 	 	 	DEEP	 	0	0	0	Deep Creek confluence	60.02938	-151.68159	6	 	-151.68159	60.02938
50	0	 	 	 	STAR	 	0	0	0	Stariski confluence	59.8527	-151.79352	2	 	-151.79352	59.8527
51	0	 	 	 	COTT-A	 	0	0	0	North Anchor HW alder	59.86079	-151.55452	4	"Park at gas marker 9.4, follow trail to stream crossing"	-151.55452	59.86079
52	0	 	 	 	COTT-W	 	0	0	0	North Anchor HW wetland	59.87161	-151.64252	3	Discharge at downstream edge of bidge	-151.64252	59.87161
53	0	 	 	 	COTT-C	 	0	0	0	North Anchor HW confluence	59.85259	-151.66737	2	Can turn around across the bridge and up the hill. Call Ron to join.	-151.66737	59.85259
54	0	 	 	 	STAR-A	 	0	0	0	 	0	0	0	 	-151.4985317	59.91126952
55	0	 	 	 	STAR-W	 	0	0	0	 	0	0	0	 	-151.6277144	59.92838296
56	0	 	 	 	STAR-C	 	0	0	0	 	0	0	0	 	-151.7106471	59.90851166
7	74	HWS2_2008	1203L	HWS2_1203L	 	SANC-1203-L	2008	1348006.902	2107044.708	 	0	0	0	 	-151.5859574	59.75828154
8	75	HWS2_2008	1203M	HWS2_1203M	 	SANC-1203-M	2008	1351877.643	2114665.693	 	0	0	0	 	-151.5659485	59.77937755
15	83	HWS2_2008	1203U	HWS2_1203U	 	SANC-1203-U	2008	1357094.718	2115057.942	 	0	0	0	 	-151.5376959	59.78078445
9	77	HWS2_2008	171M	HWS2_171M	 	STAR-171-M	2008	1312502.023	2138061.977	 	0	0	0	 	-151.7829479	59.8406447
10	78	HWS2_2008	171U	HWS2_171U	 	STAR-171-U	2008	1316453.092	2135025.696	 	0	0	0	 	-151.7610383	59.83263004
0	67	HWS2_2008	44L	HWS2_44L	 	NANC-44-L	2008	1335602.015	2145038.089	 	0	0	0	 	-151.6583606	59.8613647
14	82	HWS2_2008	44M	HWS2_44M	 	NANC-44-M	2008	1338682.145	2149021.853	 	0	0	0	 	-151.6421482	59.87247013
1	68	HWS2_2008	44U	HWS2_44U	 	NANC-44-U	2008	1340674.223	2153485.384	 	0	0	0	 	-151.6319101	59.88481256
2	69	HWS2_2008	545L	HWS2_545L	 	NINI-545-L	2008	1342138.238	2213766.065	 	0	0	0	 	-151.6320347	60.04977699
3	70	HWS2_2008	545M	HWS2_545M	 	NINI-545-M	2008	1344301.954	2218454.053	 	0	0	0	 	-151.6208301	60.06274394
13	81	HWS2_2008	545U	HWS2_545U	 	NINI-545-U	2008	1350586.164	2219629.995	 	0	0	0	 	-151.5866025	60.0663771
4	71	HWS2_2008	619L	HWS2_619L	 	NINI-619-L	2008	1392373.876	2217005.836	 	0	0	0	 	-151.3576328	60.06174505
5	72	HWS2_2008	619M	HWS2_619M	 	NINI-619-M	2008	1392862.099	2214001.958	 	0	0	0	 	-151.3546247	60.05355602
6	73	HWS2_2008	619U	HWS2_619U	 	NINI-619-U	2008	1395566.098	2212221.119	 	0	0	0	 	-151.3396357	60.04883563
16	84	HWS2_2008	69L	HWS2_69L	 	STAR-69-L	2008	1322614	2148374	 	0	0	0	 	-151.7294595	59.86957967
11	79	HWS2_2008	69M	HWS2_69M	 	STAR-69-M	2008	1329321.961	2151626.128	 	0	0	0	 	-151.6934264	59.87894801
12	80	HWS2_2008	69U	HWS2_69U	 	STAR-69-U	2008	1332625.933	2154177.76	 	0	0	0	 	-151.6758017	59.88615642
32	0	 	GW03	 	 	GW03	2009	0	0	 	0	0	0	 	-151.8435987	59.77117513
31	0	 	GW05	 	 	GW05	2009	0	0	 	0	0	0	 	-151.810392	59.75837304
22	0	 	GW06	 	 	GW06	2009	0	0	 	0	0	0	 	-151.7826333	59.75297102
30	0	 	GW08	 	 	GW08	2009	0	0	 	0	0	0	 	-151.7433235	59.74119016
28	0	 	GW09	 	 	GW09	2009	0	0	 	0	0	0	 	-151.7444423	59.7418128
29	0	 	GW10	 	 	GW10	2009	0	0	 	0	0	0	 	-151.740168	59.73982931
36	0	 	GW11	 	 	GW11	2009	0	0	 	0	0	0	 	-151.7293199	59.73419051
27	0	 	GW12	 	 	GW12	2009	0	0	 	0	0	0	 	-151.7315088	59.73445465
35	0	 	GW13	 	 	GW13	2009	0	0	 	0	0	0	 	-151.7245291	59.73411188
26	0	 	GW14	 	 	GW14	2009	0	0	 	0	0	0	 	-151.7176461	59.72925289
25	0	 	GW15	 	 	GW15	2009	0	0	 	0	0	0	 	-151.7172323	59.72649049
24	0	 	GW16	 	 	GW16	2009	0	0	 	0	0	0	 	-151.7150931	59.72673695
23	0	 	GW17	 	 	GW17	2009	0	0	 	0	0	0	 	-151.6652397	59.71628869
34	0	 	GW18	 	 	GW18	2009	0	0	 	0	0	0	 	-151.6592724	59.71873203
44	0	 	NG02	 	 	NG02	2009	0	0	 	0	0	0	 	-151.8328814	59.77223585
43	0	 	NG03	 	 	NG03	2009	0	0	 	0	0	0	 	-151.8094566	59.75712745
41	0	 	NG04	 	 	NG04	2009	0	0	 	0	0	0	 	-151.7841932	59.75686046
42	0	 	NG05	 	 	NG05	2009	0	0	 	0	0	0	 	-151.7833641	59.75675998
39	0	 	NG07	 	 	NG07	2009	0	0	 	0	0	0	 	-151.7632615	59.74755261
37	0	 	NG08	 	 	NG08	2009	0	0	 	0	0	0	 	-151.758905	59.74739519
40	0	 	NG10	 	 	NG10	2009	0	0	 	0	0	0	 	-151.7405229	59.73856026
33	0	 	NG11	 	 	NG11	2009	0	0	 	0	0	0	 	-151.7403919	59.73946005
38	0	 	NG14	 	 	NG14	2009	0	0	 	0	0	0	 	-151.6993844	59.71217425
21	0	 	PJ Lower	 	 	PJ Lower	2013	0	0	 	0	0	0	 	-151.7468303	59.75135249
20	0	 	PJ Mid	 	 	PJ Mid	2013	0	0	 	0	0	0	 	-151.713357	59.75065329
19	0	 	PJ Upper	 	 	PJ Upper	2013	0	0	 	0	0	0	 	-151.6954158	59.76100274
17	0	 	STAR 171 Lower	 	 	STAR 171 Lower	2013	0	0	 	0	0	0	 	-151.7850501	59.84491815
18	0	 	STAR 171 Upper	 	 	STAR 171 Upper	2013	0	0	 	0	0	0	 	-151.7814334	59.83943821
