sampleDate,sampleTime,Temperature
6/8/2015,3:03:00 PM,9.262
6/8/2015,3:33:00 PM,9.312
6/8/2015,4:03:00 PM,9.534
6/8/2015,4:33:00 PM,9.731
6/8/2015,5:03:00 PM,9.854
6/8/2015,5:33:00 PM,9.879
6/8/2015,6:03:00 PM,9.928
6/8/2015,6:33:00 PM,9.952
6/8/2015,7:03:00 PM,9.854
6/8/2015,7:33:00 PM,9.706
6/8/2015,8:03:00 PM,9.583
6/8/2015,8:33:00 PM,9.485
6/8/2015,9:03:00 PM,9.361
6/8/2015,9:33:00 PM,9.262
6/8/2015,10:03:00 PM,9.163
6/8/2015,10:33:00 PM,9.089
6/8/2015,11:03:00 PM,8.965
6/8/2015,11:33:00 PM,8.841
6/9/2015,12:03:00 AM,8.717
6/9/2015,12:33:00 AM,8.593
6/9/2015,1:03:00 AM,8.494
6/9/2015,1:33:00 AM,8.394
6/9/2015,2:03:00 AM,8.295
6/9/2015,2:33:00 AM,8.22
6/9/2015,3:03:00 AM,8.145
6/9/2015,3:33:00 AM,8.045
6/9/2015,4:03:00 AM,7.945
6/9/2015,4:33:00 AM,7.845
6/9/2015,5:03:00 AM,7.77
6/9/2015,5:33:00 AM,7.67
6/9/2015,6:03:00 AM,7.569
6/9/2015,6:33:00 AM,7.519
6/9/2015,7:03:00 AM,7.494
6/9/2015,7:33:00 AM,7.469
6/9/2015,8:03:00 AM,7.444
6/9/2015,8:33:00 AM,7.469
6/9/2015,9:03:00 AM,7.469
6/9/2015,9:33:00 AM,7.494
6/9/2015,10:03:00 AM,7.619
6/9/2015,10:33:00 AM,7.645
6/9/2015,11:03:00 AM,7.67
6/9/2015,11:33:00 AM,7.77
6/9/2015,12:03:00 PM,7.77
6/9/2015,12:33:00 PM,7.945
6/9/2015,1:03:00 PM,8.145
6/9/2015,1:33:00 PM,8.045
6/9/2015,2:03:00 PM,8.394
6/9/2015,2:33:00 PM,8.494
6/9/2015,3:03:00 PM,8.444
6/9/2015,3:33:00 PM,8.568
6/9/2015,4:03:00 PM,8.618
6/9/2015,4:33:00 PM,8.817
6/9/2015,5:03:00 PM,8.767
6/9/2015,5:33:00 PM,8.841
6/9/2015,6:03:00 PM,8.99
6/9/2015,6:33:00 PM,9.015
6/9/2015,7:03:00 PM,8.941
6/9/2015,7:33:00 PM,9.04
6/9/2015,8:03:00 PM,9.089
6/9/2015,8:33:00 PM,9.139
6/9/2015,9:03:00 PM,9.064
6/9/2015,9:33:00 PM,9.015
6/9/2015,10:03:00 PM,8.965
6/9/2015,10:33:00 PM,8.866
6/9/2015,11:03:00 PM,8.792
6/9/2015,11:33:00 PM,8.717
6/10/2015,12:03:00 AM,8.643
6/10/2015,12:33:00 AM,8.543
6/10/2015,1:03:00 AM,8.444
6/10/2015,1:33:00 AM,8.344
6/10/2015,2:03:00 AM,8.245
6/10/2015,2:33:00 AM,8.17
6/10/2015,3:03:00 AM,8.07
6/10/2015,3:33:00 AM,7.995
6/10/2015,4:03:00 AM,7.92
6/10/2015,4:33:00 AM,7.82
