#Data downloaded on: February 25,2020, 4:05 pm AKDT,,,,,
#Site Name : Anchor River,,,,,,,
#Temperature Units: C,,,,,,,
Site,Record Id,Transmit Time (UTC),Record Time (AKDT),Logger Voltage,Panel Temp (C),Air Temp (C),Water Temp
Anchor River,219099,12/31/2019 23:00,12/31/2019 14:00,6.3,-1,-2.98,0.11
Anchor River,219094,12/31/2019 22:00,12/31/2019 13:00,6.3,0,-1.58,0.11
Anchor River,219091,12/31/2019 21:00,12/31/2019 12:00,6.3,1,-0.44,0.11
Anchor River,219086,12/31/2019 20:00,12/31/2019 11:00,6.3,3,2.15,0.11
Anchor River,219083,12/31/2019 19:00,12/31/2019 10:00,6.3,4,5.56,0.05
Anchor River,219078,12/31/2019 18:00,12/31/2019 9:00,6.3,5,6.38,0.11
Anchor River,219074,12/31/2019 17:00,12/31/2019 8:00,6.3,5,6.76,0.05
Anchor River,219071,12/31/2019 16:00,12/31/2019 7:00,6.3,5,7.08,0.11
Anchor River,219067,12/31/2019 15:00,12/31/2019 6:00,6.3,5,6.7,0.11
Anchor River,219061,12/31/2019 14:00,12/31/2019 5:00,6.3,5,6.95,0.11
Anchor River,219056,12/31/2019 13:00,12/31/2019 4:00,6.3,5,6.76,0.11
Anchor River,219052,12/31/2019 12:00,12/31/2019 3:00,6.3,5,6.76,0.11
Anchor River,219051,12/31/2019 11:00,12/31/2019 2:00,6.3,5,6.63,0.11
Anchor River,219046,12/31/2019 10:10,12/31/2019 1:00,6.3,4,6.63,0.11
Anchor River,219042,12/31/2019 9:00,12/31/2019 0:00,6.3,4,6.38,0.11
Anchor River,219039,12/31/2019 8:00,12/30/2019 23:00,6.3,3,6.13,0.11
Anchor River,219035,12/31/2019 7:00,12/30/2019 22:00,6.3,2,5.5,0.11
Anchor River,219030,12/31/2019 6:00,12/30/2019 21:00,6.3,0,0.32,0.11
Anchor River,219026,12/31/2019 5:00,12/30/2019 20:00,6.3,0,0.44,0.11
Anchor River,219022,12/31/2019 4:00,12/30/2019 19:00,6.28,0,0.44,0.11
Anchor River,219018,12/31/2019 3:00,12/30/2019 18:00,6.3,0,0.38,0.11
Anchor River,219014,12/31/2019 2:00,12/30/2019 17:00,6.28,0,0.5,0.05
Anchor River,219008,12/31/2019 1:00,12/30/2019 16:00,6.3,0,0.57,0.05
Anchor River,219011,12/31/2019 0:00,12/30/2019 15:00,6.3,0,0.44,0.11
Anchor River,219002,12/30/2019 23:00,12/30/2019 14:00,6.3,0,0.32,0.11
Anchor River,218997,12/30/2019 22:00,12/30/2019 13:00,6.28,0,-0.13,0.11
Anchor River,218993,12/30/2019 21:11,12/30/2019 12:00,6.26,0,-0.44,0.11
Anchor River,218987,12/30/2019 19:00,12/30/2019 10:00,6.28,0,0.57,0.11
Anchor River,218982,12/30/2019 18:01,12/30/2019 9:00,6.28,0,0.69,0.11
Anchor River,218980,12/30/2019 17:30,12/30/2019 8:00,6.3,0,0.69,0.05
Anchor River,218974,12/30/2019 16:00,12/30/2019 7:00,6.28,0,0.82,0.11
Anchor River,218972,12/30/2019 15:10,12/30/2019 6:00,6.3,0,0.32,0.11
Anchor River,218968,12/30/2019 14:00,12/30/2019 5:00,6.28,0,1.01,0.11
Anchor River,218960,12/30/2019 13:01,12/30/2019 4:00,6.28,0,0.88,0.11
Anchor River,218958,12/30/2019 12:41,12/30/2019 3:00,6.3,0,1.14,0.11
Anchor River,218954,12/30/2019 11:00,12/30/2019 2:00,6.3,0,0.69,0.11
Anchor River,218952,12/30/2019 10:00,12/30/2019 1:00,6.3,0,0.63,0.11
Anchor River,218948,12/30/2019 9:00,12/30/2019 0:00,6.3,0,0.76,0.05
Anchor River,218943,12/30/2019 8:00,12/29/2019 23:00,6.3,0,0,0.11
Anchor River,218940,12/30/2019 7:00,12/29/2019 22:00,6.3,0,0,0.11
Anchor River,218933,12/30/2019 6:00,12/29/2019 21:00,6.28,-1,-1.14,0.11
Anchor River,218929,12/30/2019 5:00,12/29/2019 20:00,6.28,-2,-1.77,0.11
Anchor River,218928,12/30/2019 4:00,12/29/2019 19:00,6.28,-3,-2.47,0.11
Anchor River,218923,12/30/2019 3:00,12/29/2019 18:00,6.28,-3,-3.23,0.11
Anchor River,218918,12/30/2019 2:00,12/29/2019 17:00,6.28,-4,-4.5,0.11
Anchor River,218912,12/30/2019 1:00,12/29/2019 16:00,6.28,-5,-5.64,0.11
Anchor River,218916,12/30/2019 0:00,12/29/2019 15:00,6.28,-5,-6.14,0.05
Anchor River,218906,12/29/2019 23:00,12/29/2019 14:00,6.28,-6,-6.59,0.11
Anchor River,218903,12/29/2019 22:00,12/29/2019 13:00,6.28,-6,-7.16,0.11
Anchor River,218900,12/29/2019 21:00,12/29/2019 12:00,6.28,-7,-7.54,0.11
Anchor River,218895,12/29/2019 20:00,12/29/2019 11:00,6.28,-6,-7.41,0.05
Anchor River,218891,12/29/2019 19:00,12/29/2019 10:00,6.28,-6,-7.03,0.05
Anchor River,218888,12/29/2019 18:00,12/29/2019 9:00,6.28,-6,-6.71,0.05
Anchor River,218884,12/29/2019 17:00,12/29/2019 8:00,6.28,-7,-7.16,0.05
Anchor River,218880,12/29/2019 16:00,12/29/2019 7:00,6.28,-7,-7.03,0.05
Anchor River,218876,12/29/2019 15:00,12/29/2019 6:00,6.28,-7,-7.28,0.05
Anchor River,218872,12/29/2019 14:00,12/29/2019 5:00,6.28,-7,-7.54,0.05
Anchor River,218864,12/29/2019 13:00,12/29/2019 4:00,6.28,-7,-7.35,0.11
Anchor River,218868,12/29/2019 12:00,12/29/2019 3:00,6.26,-7,-7.47,0.11
Anchor River,218859,12/29/2019 11:00,12/29/2019 2:00,6.28,-7,-7.09,0.11
Anchor River,218856,12/29/2019 10:00,12/29/2019 1:00,6.28,-7,-7.41,0.11
Anchor River,218852,12/29/2019 9:00,12/29/2019 0:00,6.28,-6,-7.16,0.11
Anchor River,218848,12/29/2019 8:00,12/28/2019 23:00,6.28,-6,-6.78,0.11
Anchor River,218844,12/29/2019 7:00,12/28/2019 22:00,6.3,-6,-6.33,0.11
Anchor River,218840,12/29/2019 6:00,12/28/2019 21:00,6.3,-5,-5.95,0.11
Anchor River,218836,12/29/2019 5:00,12/28/2019 20:00,6.28,-6,-5.64,0.11
Anchor River,218831,12/29/2019 4:00,12/28/2019 19:00,6.28,-6,-6.14,0.11
Anchor River,218827,12/29/2019 3:00,12/28/2019 18:00,6.28,-5,-5.95,0.05
Anchor River,218822,12/29/2019 2:00,12/28/2019 17:00,6.28,-5,-5.7,0.11
