siteID,waterbody,lat,long,Description,Source,contributor siteid
AR2,Anchor River,,,AR2 ,CIK,AR2
CIK14,Anchor River,59.772117,-151.834917,Anchor mainstem below confluence of North and South Forks,CIK,AnchorM
CIK4,Lower Chakok River,59.8095,-151.724883,above confluence with North Fork,CIK,Chakok
CIK2,Upper North Fork Anchor,59.794833,-151.72875,above confluence with Chakok River,CIK,NFAnchor
CIK1,Two Moose Creek,59.75755,-151.779133,South Fork CEMP site,CIK,Moose
CIK3,Ruby Creek,59.71,-151.6975,South Fork CEMP site,CIK,Ruby
CIK6,Twitter Creek,59.7175,-151.64065,above confluence with South Fork,CIK,Twitter
CIK8,East Creek,59.752733,-151.510867,East Anchor River subwatershed boundary,CIK,East
CIK7,Beaver Creek,59.75205,-151.510383,above confluence with South Fork on Beaver Creek ,CIK,Beaver
APU1,North South Fork Confluence ,59.77232157,-151.8361442,hobo 2 2015 mainstem bridge,APU,hobo 2
APU2,Upper Chakok,59.86385692,-151.6575542,hobo 3 2015 Tall Tree lane off Sterling,APU,hobo 3
APU3,North Fork Anchor Cottonwood,59.79403445,-151.7514673,hobo 4 2015 Cottonwood lane of Nfork rd,APU,hobo 4
APU4,Upper North Fork Anchor,59.79170378,-151.6156565,hobo 5 2015 off Nfork Rd,APU,hobo 5
APU5,North Fork Anchor Chakok,59.79417038,-151.7295868,DL1 first bridge Chakok rd,APU,Data_Logger_1
APU6,Chakok River,59.81684569,-151.7142965,DL2 private property Reese,APU,Data_Logger_2
APU7,North Fork Anchor Nikolivisk,59.80040445,-151.6389956,DL3 first bridge Nikolivisk,APU,Data_Logger_3
APU8,South Fork Anchor,59.71724643,-151.6444177,DL4 first bridge south fork,APU,Data_Logger_4
APU9,South Fork Anchor Sterling,59.74675016,-151.7525042,DL5 off Sterling Hwy,APU,Data_Logger_5
APU10,Confluence NS Forks,59.77182401,-151.8340092,DL6 ADF&G weir site,APU,Data_Logger_6
APU11,South Fork Anchor,59.71146647,-151.6874863,DL7 pullout on Sterling,APU,Data_Logger_7
APU12,North Fork Anchor River,59.4643,-151.497,DL8 ADF&G off Nfork Rd,APU,Data_Logger_8
APU13,Chakok River,59.5183,-151.39443,DL10 Tall tree lane,APU,Data_Logger_10
KBERR1,Anchor confluence,59.77234,-151.8356,ANCH ,KBERR,ANCH 
KBERR2,North Anchor confluence,59.77474,-151.82925,NANC ,KBERR,NANC 
KBERR3,South Anchor confluence,59.7715,-151.83086,SANC ,KBERR,SANC 
KBERR4,Ninilchik confluence,60.04838,-151.66447,NINI ,KBERR,NINI 
KBERR5,Deep Creek confluence,60.02938,-151.68159,DEEP ,KBERR,DEEP 
KBERR6,Stariski confluence,59.8527,-151.79352,STAR ,KBERR,STAR 
