sampleDate,sampleTime,Temperature
2007-05-22,17:15:00,5.80
2007-05-22,17:30:00,5.80
2007-05-22,17:45:00,5.80
2007-05-22,18:00:00,5.80
2007-05-22,18:15:00,5.80
2007-05-22,18:30:00,5.80
2007-05-22,18:45:00,6.09
2007-05-22,19:00:00,6.09
2007-05-22,19:15:00,6.09
2007-05-22,19:30:00,6.09
2007-05-22,19:45:00,6.09
2007-05-22,20:00:00,6.09
2007-05-22,20:15:00,6.09
2007-05-22,20:30:00,6.09
2007-05-22,20:45:00,6.09
2007-05-22,21:00:00,6.09
2007-05-22,21:15:00,6.09
2007-05-22,21:30:00,5.80
2007-05-22,21:45:00,5.80
2007-05-22,22:00:00,5.80
2007-05-22,22:15:00,5.80
2007-05-22,22:30:00,5.51
2007-05-22,22:45:00,5.51
2007-05-22,23:00:00,5.51
2007-05-22,23:15:00,5.51
2007-05-22,23:30:00,5.51
2007-05-22,23:45:00,5.51
2007-05-23,0:00:00,5.51
2007-05-23,0:15:00,5.51
2007-05-23,0:30:00,5.51
2007-05-23,0:45:00,5.22
2007-05-23,1:00:00,5.22
2007-05-23,1:15:00,5.22
2007-05-23,1:30:00,5.22
2007-05-23,1:45:00,5.22
2007-05-23,2:00:00,5.22
2007-05-23,2:15:00,5.22
2007-05-23,2:30:00,5.22
2007-05-23,2:45:00,4.93
2007-05-23,3:00:00,4.93
2007-05-23,3:15:00,4.93
2007-05-23,3:30:00,4.93
2007-05-23,3:45:00,4.93
2007-05-23,4:00:00,4.64
2007-05-23,4:15:00,4.64
2007-05-23,4:30:00,4.64
2007-05-23,4:45:00,4.35
2007-05-23,5:00:00,4.35
2007-05-23,5:15:00,4.35
2007-05-23,5:30:00,4.35
2007-05-23,5:45:00,4.06
2007-05-23,6:00:00,4.06
2007-05-23,6:15:00,4.06
2007-05-23,6:30:00,3.77
2007-05-23,6:45:00,3.77
2007-05-23,7:00:00,3.77
2007-05-23,7:15:00,3.77
2007-05-23,7:30:00,3.77
2007-05-23,7:45:00,3.47
2007-05-23,8:00:00,3.47
2007-05-23,8:15:00,3.47
2007-05-23,8:30:00,3.47
2007-05-23,8:45:00,3.47
2007-05-23,9:00:00,3.47
2007-05-23,9:15:00,3.47
2007-05-23,9:30:00,3.47
2007-05-23,9:45:00,3.47
2007-05-23,10:00:00,3.47
2007-05-23,10:15:00,3.47
2007-05-23,10:30:00,3.47
2007-05-23,10:45:00,3.47
2007-05-23,11:00:00,3.47
2007-05-23,11:15:00,3.47
2007-05-23,11:30:00,3.47
2007-05-23,11:45:00,3.47
2007-05-23,12:00:00,3.47
2007-05-23,12:15:00,3.47
2007-05-23,12:30:00,3.77
2007-05-23,12:45:00,3.77
2007-05-23,13:00:00,3.77
2007-05-23,13:15:00,3.77
2007-05-23,13:30:00,3.77
2007-05-23,13:45:00,3.77
2007-05-23,14:00:00,3.77
2007-05-23,14:15:00,3.77
2007-05-23,14:30:00,3.77
2007-05-23,14:45:00,3.77
2007-05-23,15:00:00,3.77
2007-05-23,15:15:00,4.06
2007-05-23,15:30:00,4.06
2007-05-23,15:45:00,4.06
2007-05-23,16:00:00,4.06
2007-05-23,16:15:00,4.06
2007-05-23,16:30:00,4.06
2007-05-23,16:45:00,4.06
2007-05-23,17:00:00,4.35
2007-05-23,17:15:00,4.35
2007-05-23,17:30:00,4.35
2007-05-23,17:45:00,4.35
2007-05-23,18:00:00,4.35
2007-05-23,18:15:00,4.35
2007-05-23,18:30:00,4.35
2007-05-23,18:45:00,4.35
2007-05-23,19:00:00,4.35
2007-05-23,19:15:00,4.35
2007-05-23,19:30:00,4.35
2007-05-23,19:45:00,4.35
2007-05-23,20:00:00,4.35
2007-05-23,20:15:00,4.35
2007-05-23,20:30:00,4.35
2007-05-23,20:45:00,4.35
2007-05-23,21:00:00,4.35
2007-05-23,21:15:00,4.35
2007-05-23,21:30:00,4.35
2007-05-23,21:45:00,4.35
2007-05-23,22:00:00,4.35
2007-05-23,22:15:00,4.35
2007-05-23,22:30:00,4.35
2007-05-23,22:45:00,4.35
2007-05-23,23:00:00,4.35
2007-05-23,23:15:00,4.35
2007-05-23,23:30:00,4.35
2007-05-23,23:45:00,4.35
2007-05-24,0:00:00,4.35
2007-05-24,0:15:00,4.06
2007-05-24,0:30:00,4.06
2007-05-24,0:45:00,4.06
2007-05-24,1:00:00,4.06
2007-05-24,1:15:00,4.06
2007-05-24,1:30:00,4.06
2007-05-24,1:45:00,4.06
2007-05-24,2:00:00,3.77
2007-05-24,2:15:00,3.77
2007-05-24,2:30:00,3.77
2007-05-24,2:45:00,3.77
2007-05-24,3:00:00,3.77
2007-05-24,3:15:00,3.77
2007-05-24,3:30:00,3.77
2007-05-24,3:45:00,3.77
2007-05-24,4:00:00,3.77
2007-05-24,4:15:00,3.77
2007-05-24,4:30:00,3.77
2007-05-24,4:45:00,3.47
2007-05-24,5:00:00,3.47
2007-05-24,5:15:00,3.47
2007-05-24,5:30:00,3.47
2007-05-24,5:45:00,3.47
2007-05-24,6:00:00,3.47
2007-05-24,6:15:00,3.47
2007-05-24,6:30:00,3.47
2007-05-24,6:45:00,3.47
2007-05-24,7:00:00,3.47
2007-05-24,7:15:00,3.18
2007-05-24,7:30:00,3.18
2007-05-24,7:45:00,3.18
2007-05-24,8:00:00,3.18
2007-05-24,8:15:00,3.18
2007-05-24,8:30:00,3.18
2007-05-24,8:45:00,3.18
2007-05-24,9:00:00,3.18
2007-05-24,9:15:00,3.18
2007-05-24,9:30:00,3.18
2007-05-24,9:45:00,3.47
2007-05-24,10:00:00,3.47
2007-05-24,10:15:00,3.47
2007-05-24,10:30:00,3.47
2007-05-24,10:45:00,3.47
2007-05-24,11:00:00,3.47
2007-05-24,11:15:00,3.77
2007-05-24,11:30:00,3.77
2007-05-24,11:45:00,3.77
2007-05-24,12:00:00,3.77
2007-05-24,12:15:00,4.06
2007-05-24,12:30:00,4.06
2007-05-24,12:45:00,4.06
2007-05-24,13:00:00,4.06
2007-05-24,13:15:00,4.35
2007-05-24,13:30:00,4.35
2007-05-24,13:45:00,4.35
2007-05-24,14:00:00,4.64
2007-05-24,14:15:00,4.64
2007-05-24,14:30:00,4.64
2007-05-24,14:45:00,4.64
2007-05-24,15:00:00,4.64
2007-05-24,15:15:00,4.93
2007-05-24,15:30:00,4.93
2007-05-24,15:45:00,4.93
2007-05-24,16:00:00,4.93
2007-05-24,16:15:00,4.93
2007-05-24,16:30:00,5.22
2007-05-24,16:45:00,5.22
2007-05-24,17:00:00,5.22
2007-05-24,17:15:00,5.22
2007-05-24,17:30:00,5.22
2007-05-24,17:45:00,5.22
2007-05-24,18:00:00,5.51
2007-05-24,18:15:00,5.51
2007-05-24,18:30:00,5.51
2007-05-24,18:45:00,5.51
2007-05-24,19:00:00,5.51
2007-05-24,19:15:00,5.51
2007-05-24,19:30:00,5.51
2007-05-24,19:45:00,5.51
2007-05-24,20:00:00,5.51
2007-05-24,20:15:00,5.51
2007-05-24,20:30:00,5.51
2007-05-24,20:45:00,5.51
2007-05-24,21:00:00,5.51
2007-05-24,21:15:00,5.51
2007-05-24,21:30:00,5.51
2007-05-24,21:45:00,5.51
2007-05-24,22:00:00,5.51
2007-05-24,22:15:00,5.22
2007-05-24,22:30:00,5.22
2007-05-24,22:45:00,5.22
2007-05-24,23:00:00,5.22
2007-05-24,23:15:00,5.22
2007-05-24,23:30:00,5.22
2007-05-24,23:45:00,5.22
2007-05-25,0:00:00,5.22
2007-05-25,0:15:00,5.22
2007-05-25,0:30:00,5.22
2007-05-25,0:45:00,5.22
2007-05-25,1:00:00,5.22
2007-05-25,1:15:00,5.22
2007-05-25,1:30:00,5.22
2007-05-25,1:45:00,4.93
2007-05-25,2:00:00,4.93
2007-05-25,2:15:00,4.93
2007-05-25,2:30:00,4.93
2007-05-25,2:45:00,4.93
2007-05-25,3:00:00,4.93
2007-05-25,3:15:00,4.64
2007-05-25,3:30:00,4.64
2007-05-25,3:45:00,4.64
2007-05-25,4:00:00,4.64
2007-05-25,4:15:00,4.35
2007-05-25,4:30:00,4.35
2007-05-25,4:45:00,4.35
2007-05-25,5:00:00,4.35
2007-05-25,5:15:00,4.06
2007-05-25,5:30:00,4.06
2007-05-25,5:45:00,4.06
2007-05-25,6:00:00,3.77
2007-05-25,6:15:00,3.77
