sampleDate,sampleTime,Temperature
6/5/2008,10:49:09,10.38
6/5/2008,11:04:09,9.6
6/5/2008,11:19:09,9.76
6/5/2008,11:34:09,10.07
6/5/2008,11:49:09,9.76
6/5/2008,12:04:09,9.44
6/5/2008,12:19:09,9.14
6/5/2008,12:34:09,8.98
6/5/2008,12:49:09,8.98
6/5/2008,13:04:09,8.98
6/5/2008,13:19:09,9.14
6/5/2008,13:34:09,9.44
6/5/2008,13:49:09,10.69
6/5/2008,14:04:09,11.77
6/5/2008,14:19:09,12.71
6/5/2008,14:34:09,12.71
6/5/2008,14:49:09,12.39
6/5/2008,15:04:09,12.24
6/5/2008,15:19:09,12.24
6/5/2008,15:34:09,12.08
6/5/2008,15:49:09,12.24
6/5/2008,16:04:09,12.24
6/5/2008,16:19:09,12.24
6/5/2008,16:34:09,12.24
6/5/2008,16:49:09,12.08
6/5/2008,17:04:09,11.77
6/5/2008,17:19:09,11.46
6/5/2008,17:34:09,11.16
6/5/2008,17:49:09,11
6/5/2008,18:04:09,5.28
6/5/2008,18:19:09,5.12
6/5/2008,18:34:09,5.12
6/5/2008,18:49:09,5.12
6/5/2008,19:04:09,5.12
6/5/2008,19:19:09,5.12
6/5/2008,19:34:09,5.12
6/5/2008,19:49:09,4.97
6/5/2008,20:04:09,4.97
6/5/2008,20:19:09,4.97
6/5/2008,20:34:09,4.97
6/5/2008,20:49:09,4.97
6/5/2008,21:04:09,4.81
6/5/2008,21:19:09,4.81
6/5/2008,21:34:09,4.81
6/5/2008,21:49:09,4.66
6/5/2008,22:04:09,4.66
6/5/2008,22:19:09,4.66
6/5/2008,22:34:09,4.66
6/5/2008,22:49:09,4.5
6/5/2008,23:04:09,4.5
6/5/2008,23:19:09,4.5
6/5/2008,23:34:09,4.34
6/5/2008,23:49:09,4.34
6/6/2008,0:04:09,4.34
6/6/2008,0:19:09,4.19
6/6/2008,0:34:09,4.19
6/6/2008,0:49:09,4.19
6/6/2008,1:04:09,4.03
6/6/2008,1:19:09,4.03
6/6/2008,1:34:09,4.03
6/6/2008,1:49:09,4.03
6/6/2008,2:04:09,3.88
6/6/2008,2:19:09,3.88
6/6/2008,2:34:09,3.88
6/6/2008,2:49:09,3.72
6/6/2008,3:04:09,3.72
6/6/2008,3:19:09,3.72
6/6/2008,3:34:09,3.72
6/6/2008,3:49:09,3.57
6/6/2008,4:04:09,3.57
6/6/2008,4:19:09,3.57
6/6/2008,4:34:09,3.57
6/6/2008,4:49:09,3.57
6/6/2008,5:04:09,3.41
6/6/2008,5:19:09,3.41
6/6/2008,5:34:09,3.41
6/6/2008,5:49:09,3.41
6/6/2008,6:04:09,3.41
6/6/2008,6:19:09,3.41
6/6/2008,6:34:09,3.41
6/6/2008,6:49:09,3.41
6/6/2008,7:04:09,3.41
6/6/2008,7:19:09,3.41
6/6/2008,7:34:09,3.41
6/6/2008,7:49:09,3.41
6/6/2008,8:04:09,3.41
6/6/2008,8:19:09,3.57
6/6/2008,8:34:09,3.57
6/6/2008,8:49:09,3.72
