Hydrolab MS5 46005,,,,,,,,,,,,,,,
Log File Name : Russian_071816_081316,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094845,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 081316,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
7/18/2016,10:00:00,,22.69,,6.06,,0,,6.7,,2835,,8.4,,71.1
7/18/2016,10:15:00,,22.84,,7.52,,0,,6.69,,2782,,8.3,,88.5
7/18/2016,10:30:00,,22.93,,6.86,,0.1,,6.69,,2786,,7.9,,80.8
7/18/2016,10:45:00,,22.87,,7.65,,410,,6.7,,10.6,,12.9,,90.1
7/18/2016,11:00:00,,23.02,,7.94,,411,,6.72,,4.6,,12.5,,93.9
7/18/2016,11:15:00,,23.12,,8.68,,411,,6.73,,4.7,,12.4,,102.7
7/18/2016,11:30:00,,23.17,,5.64,,412,,6.74,,4.2,,12.3,,66.9
7/18/2016,11:45:00,,23.21,,5.87,,412,,6.74,,3.7,,12.5,,69.6
7/18/2016,12:00:00,,23.25,,7.99,,412,,6.74,,3.3,,12.5,,94.8
7/18/2016,12:15:00,,23.29,,5.75,,412,,6.74,,3.2,,12.5,,68.3
7/18/2016,12:30:00,,23.29,,7.42,,408,,6.73,,4.3,,12.5,,88.1
7/18/2016,12:45:00,,23.29,,7.38,,409,,6.74,,4.5,,12.5,,87.7
7/18/2016,13:00:00,,23.27,,7.41,,409,,6.74,,2.4,,12.5,,88
7/18/2016,13:15:00,,23.25,,7.42,,410,,6.74,,4.2,,12.5,,88.1
7/18/2016,13:30:00,,23.22,,7.41,,410,,6.74,,4.1,,12.5,,87.9
7/18/2016,13:45:00,,23.18,,7.44,,410,,6.74,,4,,12.5,,88.2
7/18/2016,14:00:00,,23.15,,7.41,,410,,6.74,,3.2,,12.6,,87.8
7/18/2016,14:15:00,,23.12,,7.41,,410,,6.74,,6.9,,12.6,,87.7
7/18/2016,14:30:00,,23.09,,7.43,,410,,6.74,,4.6,,12.6,,88
7/18/2016,14:45:00,,23.07,,7.43,,410,,6.75,,3.9,,12.6,,87.9
7/18/2016,15:00:00,,23.04,,7.44,,410,,6.75,,3.7,,12.6,,87.9
7/18/2016,15:15:00,,23.02,,7.42,,410,,6.75,,3.9,,12.6,,87.7
7/18/2016,15:30:00,,23,,7.42,,410,,6.75,,3,,12.6,,87.7
7/18/2016,15:45:00,,22.98,,7.43,,410,,6.75,,2.6,,12.6,,87.7
7/18/2016,16:00:00,,22.96,,7.45,,410,,6.75,,5.4,,12.6,,87.9
7/18/2016,16:15:00,,22.96,,8.67,,410,,6.76,,6.3,,12.6,,102.3
7/18/2016,16:30:00,,23,,7.42,,410,,6.76,,4.3,,12.6,,87.6
7/18/2016,16:45:00,,23.02,,7.45,,410,,6.76,,3.8,,12.6,,88
7/18/2016,17:00:00,,23.02,,7.44,,410,,6.76,,3.6,,12.6,,87.9
7/18/2016,17:15:00,,23.02,,7.45,,410,,6.76,,3.8,,12.6,,88
7/18/2016,17:30:00,,23.01,,7.4,,410,,6.76,,5.8,,12.6,,87.4
7/18/2016,17:45:00,,23.01,,7.43,,410,,6.76,,6.8,,12.6,,87.8
7/18/2016,18:00:00,,23.01,,7.44,,410,,6.76,,4.7,,12.6,,87.8
7/18/2016,18:15:00,,23.01,,7.43,,410,,6.76,,4.1,,12.6,,87.7
7/18/2016,18:30:00,,23,,7.44,,410,,6.77,,6.4,,12.6,,87.9
7/18/2016,18:45:00,,23,,7.46,,410,,6.76,,3.5,,12.6,,88.1
7/18/2016,19:00:00,,22.99,,7.44,,410,,6.76,,4.5,,12.6,,87.8
7/18/2016,19:15:00,,22.98,,7.43,,410,,6.76,,4.6,,12.6,,87.7
7/18/2016,19:30:00,,22.98,,7.41,,410,,6.76,,3.8,,12.6,,87.4
7/18/2016,19:45:00,,22.97,,7.45,,411,,6.76,,3.7,,12.6,,87.9
7/18/2016,20:00:00,,22.96,,7.43,,411,,6.76,,2.5,,12.6,,87.7
7/18/2016,20:15:00,,22.96,,7.46,,411,,6.76,,4.1,,12.6,,88.1
7/18/2016,20:30:00,,22.95,,7.43,,411,,6.76,,3.8,,12.6,,87.6
7/18/2016,20:45:00,,22.95,,7.42,,411,,6.76,,5.6,,12.6,,87.5
7/18/2016,21:00:00,,22.94,,7.43,,411,,6.76,,2.1,,12.6,,87.6
7/18/2016,21:15:00,,22.93,,7.44,,411,,6.76,,3.2,,12.6,,87.7
7/18/2016,21:30:00,,22.92,,7.45,,411,,6.76,,2.2,,12.6,,87.9
7/18/2016,21:45:00,,22.9,,7.43,,411,,6.76,,5.6,,12.6,,87.5
7/18/2016,22:00:00,,22.9,,7.45,,411,,6.76,,4,,12.6,,87.8
7/18/2016,22:15:00,,22.88,,7.41,,411,,6.76,,3,,12.7,,87.4
7/18/2016,22:30:00,,22.87,,7.44,,411,,6.76,,4.5,,12.6,,87.7
7/18/2016,22:45:00,,22.87,,7.42,,411,,6.76,,3.6,,12.6,,87.4
7/18/2016,23:00:00,,22.85,,7.41,,411,,6.76,,5.3,,12.6,,87.3
7/18/2016,23:15:00,,22.84,,7.44,,411,,6.76,,5.6,,12.7,,87.7
7/18/2016,23:30:00,,22.83,,7.43,,411,,6.76,,4.4,,12.7,,87.5
7/18/2016,23:45:00,,22.82,,7.44,,411,,6.76,,4.2,,12.7,,87.6
7/19/2016,0:00:00,,22.81,,7.44,,411,,6.76,,3.1,,12.7,,87.6
7/19/2016,0:15:00,,22.8,,7.43,,411,,6.76,,4.5,,12.7,,87.5
