HYDROLAB MS5 65979,,,,,,,,,,,,,,,,,
Log File Name : Russian_081616_083116,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 081516,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 152144,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 081616,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 083116,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,LDO,,IBatt,,SpCond
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,mg/l,,Volts,,æS/cm
,,,,,,,,,,,,,,,,,
8/16/2016,8:00:00,,21.06,,7.17,,-0.01,,0,,102.6,,7.62,,12.5,,0
8/16/2016,8:15:00,,21.07,,7.17,,-0.01,,0,,103.5,,7.69,,12.2,,0
8/16/2016,8:30:00,,21.06,,7.17,,-0.01,,0,,104.4,,7.76,,12,,0
8/16/2016,8:45:00,,21.13,,7.16,,-0.01,,0,,113.2,,8.4,,11.8,,0
8/16/2016,9:00:00,,21.08,,7.12,,-0.01,,0,,113,,8.39,,11.8,,0
8/16/2016,9:15:00,,20.71,,7.1,,-0.01,,0,,112.7,,8.43,,11.7,,0
8/16/2016,9:30:00,,20.23,,7.14,,-0.01,,0,,112.2,,8.48,,11.7,,0
8/16/2016,9:45:00,,19.87,,7.11,,-0.01,,0,,112,,8.52,,11.7,,0
8/16/2016,10:00:00,,19.56,,7.09,,-0.01,,0,,111.8,,8.56,,11.7,,0
8/16/2016,10:15:00,,19.26,,7.08,,-0.01,,0,,111.9,,8.62,,11.7,,0
8/16/2016,10:30:00,,19,,7.08,,-0.01,,0,,111.3,,8.63,,11.7,,0
8/16/2016,10:45:00,,18.73,,7.07,,-0.01,,0,,111.5,,8.68,,11.7,,0
8/16/2016,11:00:00,,18.44,,7.14,,-0.01,,0,,111,,8.7,,11.7,,0
8/16/2016,11:15:00,,18.16,,7.13,,-0.01,,0,,110.8,,8.74,,11.7,,0
8/16/2016,11:30:00,,18.89,,7.15,,-0.01,,0,,111.2,,8.63,,11.8,,0
8/16/2016,11:45:00,,19.15,,7.12,,-0.01,,0,,111.5,,8.61,,11.8,,0
8/16/2016,12:00:00,,19.07,,7.15,,-0.01,,0,,111.1,,8.59,,11.8,,0
8/16/2016,12:15:00,,19.03,,7.11,,-0.01,,0,,111,,8.59,,11.8,,0
8/16/2016,12:30:00,,19.03,,7.14,,-0.01,,0,,110.7,,8.57,,11.8,,0
8/16/2016,12:45:00,,18.98,,7.12,,-0.01,,0,,110.9,,8.59,,11.8,,0
8/16/2016,13:00:00,,19.02,,7.11,,-0.01,,0,,110.6,,8.57,,11.8,,0
8/16/2016,13:15:00,,18.85,,7.1,,-0.01,,0,,110.6,,8.6,,11.8,,0
8/16/2016,13:30:00,,18.8,,7.11,,-0.01,,0,,110.6,,8.6,,11.8,,0
8/16/2016,13:45:00,,18.69,,7.1,,-0.01,,0,,110.5,,8.62,,11.8,,0
8/16/2016,14:00:00,,12.18,,7.45,,0.03,,0,,120,,10.78,,11.8,,77.6
8/16/2016,14:15:00,,12.13,,7.73,,0.03,,0,,120.5,,10.82,,11.8,,77.4
8/16/2016,14:30:00,,12.16,,7.77,,0.03,,0,,120.4,,10.82,,11.7,,77.5
8/16/2016,14:45:00,,12.14,,7.79,,0.03,,0,,120.8,,10.85,,11.7,,76.9
8/16/2016,15:00:00,,12.09,,7.79,,0.03,,0,,120.5,,10.84,,11.6,,76.9
8/16/2016,15:15:00,,12.24,,7.8,,0.03,,0,,120.5,,10.8,,11.6,,77.7
8/16/2016,15:30:00,,12.24,,7.79,,0.03,,0,,120.1,,10.77,,11.6,,77.8
8/16/2016,15:45:00,,12.18,,7.81,,0.03,,0,,120.7,,10.83,,11.6,,77.2
8/16/2016,16:00:00,,12.28,,7.8,,0.03,,0,,120.4,,10.78,,11.6,,77.4
8/16/2016,16:15:00,,12.18,,7.8,,0.03,,0,,120.1,,10.78,,11.6,,77.5
8/16/2016,16:30:00,,12.05,,7.8,,0.03,,0,,119.9,,10.8,,11.6,,77
8/16/2016,16:45:00,,12.3,,7.8,,0.03,,0,,120.4,,10.78,,11.6,,78
8/16/2016,17:00:00,,12.14,,7.81,,0.03,,0,,120,,10.79,,11.6,,78
8/16/2016,17:15:00,,12.23,,7.81,,0.03,,0,,133,,11.92,,11.6,,77.7
8/16/2016,17:30:00,,12.23,,7.82,,0.03,,0,,120.7,,10.83,,11.6,,78
8/16/2016,17:45:00,,12.24,,7.81,,0.03,,0,,120.4,,10.8,,11.6,,78.2
8/16/2016,18:00:00,,12.26,,7.83,,0.03,,0,,120.5,,10.8,,11.6,,78.4
8/16/2016,18:15:00,,12.28,,7.82,,0.03,,0,,120.9,,10.83,,11.6,,78.3
8/16/2016,18:30:00,,12.27,,7.82,,0.03,,0,,120.2,,10.77,,11.6,,78.2
8/16/2016,18:45:00,,12.17,,7.81,,0.03,,0,,120.3,,10.8,,11.6,,78.7
8/16/2016,19:00:00,,12.22,,7.81,,0.03,,0,,120.3,,10.79,,11.6,,79
8/16/2016,19:15:00,,12.21,,7.83,,0.03,,0,,120.7,,10.83,,11.6,,79.3
8/16/2016,19:30:00,,12.25,,7.84,,0.03,,0,,120.5,,10.8,,11.6,,79
8/16/2016,19:45:00,,12.1,,7.82,,0.03,,0,,119.8,,10.77,,11.6,,79.4
8/16/2016,20:00:00,,12.4,,7.83,,0.03,,0,,120.3,,10.74,,11.6,,78.9
8/16/2016,20:15:00,,12.09,,7.83,,0.03,,0,,119.9,,10.78,,11.6,,78.4
8/16/2016,20:30:00,,12.48,,7.8,,0.03,,0,,120,,10.69,,11.6,,79.5
8/16/2016,20:45:00,,12.15,,7.85,,0.03,,0,,120.4,,10.81,,11.6,,78
8/16/2016,21:00:00,,12.05,,7.82,,0.03,,0,,119.4,,10.75,,11.6,,78.7
8/16/2016,21:15:00,,11.99,,7.81,,0.03,,0,,119.6,,10.79,,11.7,,78.6
8/16/2016,21:30:00,,11.99,,7.81,,0.03,,0,,119.7,,10.79,,11.6,,78.2
8/16/2016,21:45:00,,12,,7.79,,0.03,,0,,119,,10.73,,11.6,,78.4
8/16/2016,22:00:00,,11.9,,7.78,,0.03,,0,,118.5,,10.7,,11.6,,78.5
