HYDROLAB MS5 64822,,,,,,,,,,,,,,,,,
Log File Name : Russian_082816_090916,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 082916,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 120755,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 082916,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 130000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 090916,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000200,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000200,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,LDO,,IBatt,,SpCond
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,mg/l,,Volts,,æS/cm
,,,,,,,,,,,,,,,,,
8/29/2016,13:00:00,,21.35,,7.2,,-0.01,,0,,120,,8.83,,8.7,,0.3
8/29/2016,13:15:00,,21.73,,7.2,,-0.01,,0,,120.2,,8.78,,8.5,,0.2
8/29/2016,13:30:00,,22,,7.14,,-0.01,,0,,120.4,,8.75,,8.4,,0.2
8/29/2016,13:45:00,,22.3,,7.12,,-0.01,,348.2,,120.1,,8.68,,8.1,,0.1
8/29/2016,14:00:00,,22.49,,7.24,,-0.01,,472,,120.8,,8.7,,8,,0.3
8/29/2016,14:15:00,,22.64,,7.24,,-0.01,,760,,121.4,,8.71,,8,,0.3
8/29/2016,14:30:00,,22.77,,7.23,,-0.01,,834,,121.8,,8.72,,7.8,,0.3
8/29/2016,14:45:00,,12.93,,7.31,,0.03,,0,,125.4,,11.02,,7.7,,86.2
8/29/2016,15:00:00,,13.02,,7.43,,0.03,,0,,126.2,,11.08,,7.6,,86.1
8/29/2016,15:15:00,,12.99,,7.48,,0.03,,0,,126.5,,11.1,,7.6,,86
8/29/2016,15:30:00,,12.84,,7.53,,0.03,,0,,126.4,,11.13,,7.6,,85.5
8/29/2016,15:45:00,,12.82,,7.57,,0.03,,0,,126,,11.11,,7.6,,85.5
8/29/2016,16:00:00,,13.05,,7.59,,0.03,,0,,126,,11.05,,7.6,,86.2
8/29/2016,16:15:00,,12.99,,7.61,,0.03,,0,,125.9,,11.05,,7.6,,86.1
8/29/2016,16:30:00,,12.92,,7.62,,0.03,,0,,125.6,,11.04,,7.6,,86.2
8/29/2016,16:45:00,,13.18,,7.61,,0.03,,0,,125.8,,11,,7.7,,86.6
8/29/2016,17:00:00,,13.28,,7.64,,0.03,,0,,126.3,,11.02,,7.7,,86.9
8/29/2016,17:15:00,,13.13,,7.64,,0.03,,0,,125.9,,11.02,,7.7,,86.5
8/29/2016,17:30:00,,12.84,,7.64,,0.03,,0,,125.1,,11.02,,7.7,,86.1
8/29/2016,17:45:00,,13,,7.67,,0.03,,0,,125.6,,11.02,,7.7,,86.2
