HYDROLAB MS5 64823,,,,,,,,,,,,,,,,,,,
Log File Name : Beaver_051216_053016,,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 051216,,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 130927,,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 051216,,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 133000,,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 053016,,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,IBatt,,SpCond,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,Volts,,æS/cm,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,,
5/12/2016,14:30:00,,10.11,,6.92,,0.03,,8.2,,105.3,,8.3,,75.9,,9.94,,638
5/12/2016,14:45:00,,10.24,,7.18,,0.03,,8.4,,105.5,,8.2,,76,,9.92,,638
5/12/2016,15:00:00,,10.37,,7.24,,0.03,,7.7,,105.7,,8.1,,76.2,,9.91,,638
5/12/2016,15:15:00,,10.49,,7.28,,0.03,,7.1,,106,,8.1,,75.9,,9.91,,638
5/12/2016,15:30:00,,10.61,,7.31,,0.03,,5.8,,105.8,,8,,75.9,,9.87,,638
5/12/2016,15:45:00,,10.72,,7.32,,0.03,,7.6,,105.5,,8,,76,,9.81,,638
5/12/2016,16:00:00,,10.82,,7.34,,0.03,,7,,105.6,,7.9,,75.9,,9.8,,638
5/12/2016,16:15:00,,10.92,,7.35,,0.03,,5.7,,105.9,,7.8,,76.3,,9.8,,638
5/12/2016,16:30:00,,11,,7.35,,0.03,,6,,106.3,,7.8,,76.1,,9.82,,638
5/12/2016,16:45:00,,11.08,,7.35,,0.03,,7.1,,105.5,,7.8,,76.1,,9.73,,638
5/12/2016,17:00:00,,11.15,,7.36,,0.03,,5.6,,106,,7.7,,76.4,,9.75,,638
5/12/2016,17:15:00,,11.21,,7.37,,0.03,,6.8,,105.8,,7.7,,76.5,,9.72,,638
5/12/2016,17:30:00,,11.26,,7.37,,0.03,,5.6,,105.9,,7.7,,76.5,,9.72,,638
5/12/2016,17:45:00,,11.3,,7.37,,0.03,,6.5,,105.9,,7.7,,76.2,,9.71,,638
5/12/2016,18:00:00,,11.33,,7.37,,0.03,,5.3,,105.4,,7.7,,76.5,,9.66,,638
5/12/2016,18:15:00,,11.35,,7.37,,0.03,,6.6,,105.5,,7.7,,76.3,,9.67,,638
5/12/2016,18:30:00,,11.36,,7.38,,0.03,,6.7,,105.3,,7.7,,76.3,,9.64,,638
5/12/2016,18:45:00,,11.37,,7.38,,0.03,,5.5,,104.6,,7.7,,76.3,,9.58,,638
5/12/2016,19:00:00,,11.37,,7.37,,0.03,,6.5,,104.8,,7.7,,76.3,,9.59,,638
5/12/2016,19:15:00,,11.35,,7.38,,0.03,,4.9,,104.6,,7.6,,76.6,,9.58,,638
5/12/2016,19:30:00,,11.26,,7.37,,0.03,,5.6,,103.9,,7.6,,76.6,,9.54,,638
5/12/2016,19:45:00,,11.18,,7.37,,0.03,,5.8,,103.5,,7.6,,76.6,,9.52,,638
5/12/2016,20:00:00,,11.13,,7.37,,0.03,,6.4,,103.4,,7.5,,76.4,,9.52,,638
5/12/2016,20:15:00,,11.05,,7.37,,0.03,,5.1,,103,,7.5,,76.7,,9.5,,638
5/12/2016,20:30:00,,10.98,,7.37,,0.03,,7,,102.5,,7.5,,76.7,,9.47,,638
5/12/2016,20:45:00,,10.93,,7.37,,0.03,,5.3,,102.4,,7.5,,76.6,,9.47,,638
5/12/2016,21:00:00,,10.87,,7.37,,0.03,,9.5,,102,,7.5,,76.6,,9.45,,638
5/12/2016,21:15:00,,10.81,,7.37,,0.03,,6.7,,101.3,,7.5,,76.7,,9.4,,638
5/12/2016,21:30:00,,10.75,,7.36,,0.03,,6.2,,101,,7.5,,76.4,,9.38,,638
5/12/2016,21:45:00,,10.69,,7.36,,0.03,,7.4,,100.9,,7.4,,76.7,,9.39,,638
5/12/2016,22:00:00,,10.63,,7.37,,0.03,,5.9,,100.5,,7.4,,76.7,,9.36,,638
5/12/2016,22:15:00,,10.57,,7.37,,0.03,,6.6,,100.3,,7.4,,76.7,,9.36,,638
5/12/2016,22:30:00,,10.5,,7.37,,0.03,,6.1,,99.8,,7.4,,76.7,,9.33,,638
5/12/2016,22:45:00,,10.44,,7.36,,0.03,,5.4,,99.9,,7.5,,76.8,,9.35,,638
5/12/2016,23:00:00,,10.37,,7.36,,0.03,,8.3,,99.9,,7.4,,76.8,,9.36,,638
5/12/2016,23:15:00,,10.31,,7.36,,0.03,,6.7,,99.7,,7.4,,76.8,,9.36,,638
5/12/2016,23:30:00,,10.25,,7.36,,0.03,,5.5,,99.2,,7.4,,76.7,,9.33,,638
5/12/2016,23:45:00,,10.19,,7.36,,0.03,,6.4,,99,,7.4,,76.6,,9.32,,638
5/13/2016,0:00:00,,10.12,,7.36,,0.03,,5.6,,98.9,,7.4,,76.8,,9.33,,638
