Hydrolab MS5 46008,,,,,,,,,,,,,,,
Log File Name : Beaver_052616_061516,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 052616,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 100516,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 052616,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 101500,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 061516,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,TurbSC,,IBatt,,SpCond,,LDO%,,LDO
MMDDYY,HHMMSS,,øC,,Units,,NTU,,Volts,,æS/cm,,Sat,,mg/l
,,,,,,,,,,,,,,,
5/26/2016,10:15:00,,20.94,,4.26,,8.7,,13,,0,,104,,7.64
5/26/2016,10:30:00,,20.81,,4.15,,0.1,,12.6,,0,,103.8,,7.65
5/26/2016,10:45:00,,19.95,,4.18,,8,,12.5,,0,,102.8,,7.71
5/26/2016,11:00:00,,19.48,,4.17,,78.8,,12.4,,0,,102.5,,7.76
5/26/2016,11:15:00,,19.35,,4.17,,70.3,,12.4,,0,,102.8,,7.8
5/26/2016,11:30:00,,21.18,,4.07,,6,,12.4,,0,,102.3,,7.49
5/26/2016,11:45:00,,27.08,,4.16,,3.1,,12.5,,0,,107.9,,7.05
5/26/2016,12:00:00,,9.85,,6.63,,1.8,,12.5,,105.1,,116.5,,10.89
5/26/2016,12:15:00,,9.98,,7.22,,6.2,,12.3,,110,,113.1,,10.54
5/26/2016,12:30:00,,10.15,,7.39,,5.8,,12.2,,110.1,,113.8,,10.57
5/26/2016,12:45:00,,10.3,,7.49,,6.1,,12.1,,110.2,,114,,10.55
5/26/2016,13:00:00,,10.46,,7.55,,6.4,,12.1,,110.8,,114.4,,10.54
5/26/2016,13:15:00,,10.58,,7.6,,9.6,,12,,110.4,,114.4,,10.52
5/26/2016,13:30:00,,10.71,,7.65,,5.6,,12,,110.5,,115.1,,10.55
5/26/2016,13:45:00,,10.83,,7.62,,6.1,,11.9,,110.5,,115.6,,10.56
5/26/2016,14:00:00,,10.97,,7.66,,5.5,,11.9,,110.6,,115.8,,10.55
5/26/2016,14:15:00,,11.06,,7.68,,6.4,,11.8,,111,,116,,10.54
5/26/2016,14:30:00,,11.23,,7.67,,5.3,,11.8,,111,,115.7,,10.47
5/26/2016,14:45:00,,11.41,,7.7,,5.9,,11.8,,111,,116.2,,10.47
5/26/2016,15:00:00,,11.57,,7.69,,5.7,,11.8,,111,,116.8,,10.49
5/26/2016,15:15:00,,11.71,,7.69,,6,,11.8,,111.1,,116.9,,10.46
5/26/2016,15:30:00,,11.86,,7.69,,5.4,,11.8,,110.7,,117.2,,10.45
5/26/2016,15:45:00,,12.01,,7.69,,6.1,,11.8,,111.1,,117,,10.4
5/26/2016,16:00:00,,12.14,,7.7,,5.4,,11.8,,110.8,,117.2,,10.39
5/26/2016,16:15:00,,12.27,,7.7,,5.6,,11.8,,110.8,,117.2,,10.35
5/26/2016,16:30:00,,12.38,,7.7,,7.2,,11.8,,110.8,,117.4,,10.35
5/26/2016,16:45:00,,12.49,,7.7,,5.5,,11.8,,110.9,,117.3,,10.31
5/26/2016,17:00:00,,12.59,,7.69,,5.8,,11.8,,110.9,,117.3,,10.29
5/26/2016,17:15:00,,12.67,,7.69,,6,,11.8,,110.8,,117.2,,10.26
5/26/2016,17:30:00,,12.74,,7.7,,5.9,,11.8,,110.9,,117.4,,10.26
5/26/2016,17:45:00,,12.81,,7.7,,5.1,,11.8,,110.8,,117,,10.21
5/26/2016,18:00:00,,12.86,,7.71,,9.5,,11.7,,111.3,,116.6,,10.17
5/26/2016,18:15:00,,12.9,,7.71,,5,,11.7,,111.1,,116.1,,10.12
5/26/2016,18:30:00,,12.93,,7.7,,5.7,,11.8,,111,,115.9,,10.09
5/26/2016,18:45:00,,12.94,,7.71,,6.1,,11.7,,111.4,,115.7,,10.07
5/26/2016,19:00:00,,12.96,,7.71,,5.8,,11.8,,111,,115.2,,10.02
5/26/2016,19:15:00,,12.96,,7.7,,6,,11.8,,111.2,,114.8,,9.99
5/26/2016,19:30:00,,12.95,,7.7,,7.3,,11.7,,111.5,,114.2,,9.94
