HYDROLAB MS5 64822,,,,,,,,,,,,,,,,,
Log File Name : Beaver_061616_070816,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 061616,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 124243,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 061616,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 125000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 070816,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,LDO,,IBatt,,SpCond
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,mg/l,,Volts,,æS/cm
,,,,,,,,,,,,,,,,,
6/16/2016,12:50:00,,22.3,,6.94,,-0.01,,0,,115,,8.31,,11.9,,0.6
6/16/2016,13:05:00,,22.92,,6.94,,-0.01,,0,,116,,8.28,,12.1,,0.2
6/16/2016,13:20:00,,23.96,,6.94,,-0.01,,0,,116.3,,8.14,,12.2,,0.1
6/16/2016,13:35:00,,24.58,,6.93,,-0.01,,0,,116.4,,8.05,,12.3,,0.1
6/16/2016,13:50:00,,24.67,,6.89,,-0.01,,0,,116.9,,8.07,,12.5,,0.2
6/16/2016,14:05:00,,24.53,,6.84,,-0.01,,0,,117.2,,8.12,,12.5,,0.2
6/16/2016,14:20:00,,24.38,,6.76,,-0.01,,0,,117.4,,8.15,,12.5,,0.1
6/16/2016,14:35:00,,23.61,,6.9,,-0.01,,0,,116.9,,8.24,,12.5,,0.8
6/16/2016,14:50:00,,14.59,,7.32,,0.05,,2.4,,119,,10.08,,12.5,,113.6
6/16/2016,15:05:00,,14.72,,7.39,,0.05,,0.2,,119.2,,10.07,,12.3,,113.5
6/16/2016,15:20:00,,14.85,,7.42,,0.05,,0,,119.5,,10.07,,12.3,,113.4
6/16/2016,15:35:00,,14.98,,7.44,,0.05,,0.5,,119.7,,10.05,,12.2,,113.7
6/16/2016,15:50:00,,15.1,,7.45,,0.05,,0,,119.8,,10.04,,12.2,,113.7
6/16/2016,16:05:00,,15.21,,7.45,,0.05,,0.2,,120,,10.03,,12.2,,113.8
6/16/2016,16:20:00,,15.31,,7.46,,0.05,,0,,119.9,,10,,12.2,,113.6
6/16/2016,16:35:00,,15.4,,7.47,,0.05,,0.4,,119.9,,9.98,,12.2,,113.8
6/16/2016,16:50:00,,15.47,,7.48,,0.05,,0.5,,120.5,,10.01,,12.2,,113.6
6/16/2016,17:05:00,,15.54,,7.48,,0.05,,0.6,,120.4,,9.99,,12.2,,113.9
6/16/2016,17:20:00,,15.6,,7.48,,0.05,,0.3,,119.7,,9.91,,12.2,,113.8
6/16/2016,17:35:00,,15.66,,7.49,,0.05,,0.1,,119.5,,9.89,,12.3,,113.8
6/16/2016,17:50:00,,15.7,,7.49,,0.05,,0.6,,119.7,,9.9,,12.3,,114.1
6/16/2016,18:05:00,,15.73,,7.49,,0.05,,0.4,,119.1,,9.84,,12.3,,114.2
6/16/2016,18:20:00,,15.75,,7.49,,0.05,,0.3,,118.9,,9.82,,12.3,,114.1
6/16/2016,18:35:00,,15.76,,7.49,,0.05,,0.3,,118.9,,9.82,,12.3,,114.1
6/16/2016,18:50:00,,15.76,,7.49,,0.05,,0.3,,118.1,,9.75,,12.3,,114
6/16/2016,19:05:00,,15.75,,7.48,,0.05,,0.3,,117.9,,9.74,,12.3,,114.1
