HYDROLAB MS5 64822,,,,,,,,,,,,,,,,,
Log File Name : Beaver_080416_081916,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 080216,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 120414,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 080416,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 081916,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,LDO,,IBatt,,SpCond
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,mg/l,,Volts,,æS/cm
,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 080416 104758,,,,,,,,,,,,,,,,,
8/4/2016,11:00:00,,22.64,,6.99,,-0.01,,0,,114.6,,8.22,,12.7,,0.2
8/4/2016,11:15:00,,22.63,,6.96,,-0.01,,0,,114.8,,8.24,,12.3,,0.1
8/4/2016,11:30:00,,19.77,,6.98,,-0.01,,0,,115.8,,8.8,,12.1,,0.4
8/4/2016,11:45:00,,12.54,,7.05,,0.06,,3.8,,104,,9.22,,12,,149.6
8/4/2016,12:00:00,,12.59,,7.1,,0.06,,3.4,,104.2,,9.23,,11.8,,149.3
8/4/2016,12:15:00,,12.6,,7.12,,0.06,,3,,105,,9.3,,11.7,,149.5
8/4/2016,12:30:00,,12.6,,7.14,,0.06,,2.2,,104.7,,9.28,,11.6,,149.6
8/4/2016,12:45:00,,12.61,,7.16,,0.06,,1.9,,105.4,,9.33,,11.5,,149.6
8/4/2016,13:00:00,,12.64,,7.17,,0.06,,2.3,,105.9,,9.37,,11.5,,149.6
8/4/2016,13:15:00,,12.68,,7.18,,0.06,,3.4,,106.5,,9.42,,11.4,,149.2
