HYDROLAB MS5 64821,,,,,,,,,,,,,,,,,
Log File Name : beaver_051916_060516,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 051816,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 120109,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 051916,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 170000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 060516,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,TurbSC,,LDO%,,IBatt,,SpCond,,BP,,LDO
MMDDYY,HHMMSS,,øC,,Units,,NTU,,Sat,,Volts,,æS/cm,,mmHg,,mg/l
,,,,,,,,,,,,,,,,,
5/19/2016,17:00:00,,11.91,,7.38,,4.9,,117.6,,12.3,,108.6,,626,,10.43
5/19/2016,17:15:00,,11.93,,7.39,,5.6,,116.8,,12.1,,108.3,,626,,10.35
5/19/2016,17:30:00,,11.96,,7.4,,4.5,,117.4,,12.1,,108.6,,626,,10.39
5/19/2016,17:45:00,,11.98,,7.4,,4.7,,116.7,,11.9,,108.7,,626,,10.33
5/19/2016,18:00:00,,11.99,,7.41,,5.5,,116.4,,11.8,,108.6,,626,,10.3
5/19/2016,18:15:00,,12,,7.41,,5.3,,116,,11.8,,108.7,,626,,10.26
5/19/2016,18:30:00,,11.98,,7.41,,4.9,,116,,11.8,,108.4,,626,,10.27
5/19/2016,18:45:00,,11.97,,7.41,,5.1,,115.6,,11.7,,108.3,,626,,10.24
5/19/2016,19:00:00,,11.95,,7.41,,5.1,,115.5,,11.7,,108.6,,626,,10.23
5/19/2016,19:15:00,,11.94,,7.41,,5,,115.4,,11.6,,108.2,,626,,10.23
5/19/2016,19:30:00,,11.9,,7.4,,4.8,,114.8,,11.6,,108.4,,626,,10.18
5/19/2016,19:45:00,,11.86,,7.41,,5.9,,113.8,,11.6,,108.2,,626,,10.1
5/19/2016,20:00:00,,11.8,,7.4,,5.7,,113.9,,11.6,,108.4,,626,,10.12
5/19/2016,20:15:00,,11.75,,7.4,,4.9,,112.9,,11.5,,108.5,,626,,10.05
5/19/2016,20:30:00,,11.7,,7.39,,5.3,,112.5,,11.5,,108.5,,626,,10.02
5/19/2016,20:45:00,,11.65,,7.39,,5,,112.2,,11.5,,108.4,,626,,10.01
5/19/2016,21:00:00,,11.6,,7.39,,5.6,,111.7,,11.5,,108.1,,626,,9.98
5/19/2016,21:15:00,,11.55,,7.39,,6,,111.1,,11.5,,108.1,,626,,9.93
5/19/2016,21:30:00,,11.5,,7.39,,5,,110.8,,11.5,,108.1,,626,,9.92
