HYDROLAB MS5 64819,,,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_060616_062416,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 060216,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 153453,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 060616,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 062416,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,IBatt,,SpCond,,pH,,TurbSC,,LDO%,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Volts,,æS/cm,,Units,,NTU,,Sat,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,
6/6/2016,8:00:00,,20.23,,12.7,,103.3,,7.14,,0.1,,113,,8.53,,637
6/6/2016,8:15:00,,20.24,,12.6,,104.1,,7.14,,0,,112.8,,8.52,,637
6/6/2016,8:30:00,,20.35,,12.5,,101.5,,7.26,,0,,108.1,,8.14,,637
6/6/2016,8:45:00,,20.5,,12.6,,0.1,,7.46,,0,,114.8,,8.63,,637
6/6/2016,9:00:00,,20.5,,12.6,,0,,7.32,,0,,114.9,,8.63,,637
6/6/2016,9:15:00,,20.26,,12.6,,0.1,,7.23,,0,,114.7,,8.66,,637
6/6/2016,9:30:00,,20.05,,12.6,,0.1,,7.19,,0,,114.2,,8.66,,637
6/6/2016,9:45:00,,19.87,,12.6,,0.1,,7.18,,0,,114.1,,8.68,,637
6/6/2016,10:00:00,,19.69,,12.6,,0.1,,7.16,,0,,114.1,,8.72,,637
6/6/2016,10:15:00,,19.47,,12.5,,0.1,,7.12,,0,,114,,8.75,,637
6/6/2016,10:30:00,,19.25,,12.5,,0.1,,7.1,,0,,113.7,,8.76,,637
6/6/2016,10:45:00,,19.07,,12.5,,0,,7.22,,0,,113.7,,8.79,,637
6/6/2016,11:00:00,,11.72,,12.5,,154.7,,7.17,,0,,107.4,,9.73,,637
6/6/2016,11:15:00,,9.58,,12.3,,133.6,,7.77,,0,,116.6,,11.11,,637
6/6/2016,11:30:00,,9.6,,12.3,,133.9,,7.86,,0,,116.8,,11.13,,637
6/6/2016,11:45:00,,9.61,,12.2,,133.8,,7.89,,0,,116.6,,11.11,,637
6/6/2016,12:00:00,,9.65,,12.1,,133.3,,7.92,,0,,116.5,,11.09,,637
6/6/2016,12:15:00,,9.68,,12.1,,133.7,,7.93,,0,,116.4,,11.07,,637
6/6/2016,12:30:00,,9.69,,12.1,,133.8,,7.95,,0,,116.4,,11.07,,637
6/6/2016,12:45:00,,9.7,,12.1,,133.7,,7.95,,0,,116.5,,11.07,,637
6/6/2016,13:00:00,,9.71,,12,,133.7,,7.96,,0,,117,,11.12,,637
6/6/2016,13:15:00,,9.74,,11.9,,133.3,,7.96,,0,,116.4,,11.06,,637
6/6/2016,13:30:00,,9.78,,11.8,,133.3,,7.97,,0,,116.2,,11.02,,637
6/6/2016,13:45:00,,9.83,,11.8,,133.7,,7.97,,0,,115.9,,10.99,,637
6/6/2016,14:00:00,,9.87,,11.8,,133.2,,7.98,,0,,116.4,,11.02,,637
6/6/2016,14:15:00,,9.9,,11.8,,133.1,,7.97,,0,,116.3,,11,,637
6/6/2016,14:30:00,,9.9,,11.8,,133.1,,7.97,,0,,116.5,,11.03,,637
6/6/2016,14:45:00,,9.9,,11.8,,133,,7.97,,0,,116.6,,11.03,,637
6/6/2016,15:00:00,,9.91,,11.8,,133,,7.97,,0,,116.6,,11.03,,637
6/6/2016,15:15:00,,9.93,,11.8,,133.2,,7.97,,0,,116.4,,11,,637
6/6/2016,15:30:00,,9.95,,11.8,,132.9,,7.97,,0,,116.4,,11,,637
6/6/2016,15:45:00,,9.97,,11.8,,133.2,,7.97,,0,,116.4,,10.99,,637
6/6/2016,16:00:00,,9.97,,11.8,,133.3,,7.98,,0,,116.5,,11.01,,637
6/6/2016,16:15:00,,9.94,,11.8,,133,,7.97,,0,,116.6,,11.02,,637
6/6/2016,16:30:00,,9.9,,11.8,,133.3,,7.9,,0,,116.8,,11.05,,637
6/6/2016,16:45:00,,9.86,,11.7,,132.9,,7.98,,0,,116.6,,11.05,,637
6/6/2016,17:00:00,,9.85,,11.8,,132.8,,8,,0,,116.4,,11.03,,637
6/6/2016,17:15:00,,9.83,,11.7,,132.9,,7.98,,0,,116.3,,11.02,,637
6/6/2016,17:30:00,,9.81,,11.7,,132.9,,7.98,,0,,116.7,,11.07,,637
6/6/2016,17:45:00,,9.8,,11.7,,133.4,,7.98,,0,,116.4,,11.04,,637
6/6/2016,18:00:00,,9.77,,11.7,,133.4,,7.98,,0,,116.4,,11.04,,637
6/6/2016,18:15:00,,9.76,,11.7,,133.6,,7.98,,0,,116.8,,11.09,,637
