HYDROLAB MS5 64823,,,,,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_062016_071816,,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094853,,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 071816,,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,IBatt,,SpCond,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,Volts,,æS/cm,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,,
6/20/2016,10:00:00,,20.68,,7.06,,0,,251.1,,107.6,,6.1,,4.3,,8.07,,638
6/20/2016,10:15:00,,20.29,,6.98,,2.31,,0,,107,,5.8,,4230,,7.98,,638
6/20/2016,10:30:00,,20.12,,6.99,,2.31,,0,,0,,5.6,,4232,,0,,638
6/20/2016,10:45:00,,19.91,,7.05,,2.31,,0,,107.2,,5.3,,4238,,8.05,,638
6/20/2016,11:00:00,,19.87,,7.1,,2.24,,0,,108.4,,5.2,,4103,,8.15,,638
6/20/2016,11:15:00,,19.98,,7.12,,2.25,,0.1,,0,,5,,4125,,0,,638
6/20/2016,11:30:00,,20.11,,7.13,,2.32,,0,,0,,5,,4252,,0,,638
6/20/2016,11:45:00,,20.4,,7.11,,2.32,,0,,0,,5,,4252,,0,,638
6/20/2016,12:00:00,,20.63,,7.06,,1.53,,0,,0,,4.9,,2841,,0,,638
6/20/2016,12:15:00,,18.03,,7.02,,0,,0,,0,,4.7,,3.1,,0,,638
6/20/2016,12:30:00,,16.41,,7.27,,0,,0,,0,,4.6,,1.9,,0,,638
6/20/2016,12:45:00,,12.19,,7.67,,-0.01,,0,,0,,4.6,,0,,0,,638
6/20/2016,13:00:00,,11.64,,7.71,,0.04,,1.4,,0,,4.5,,103.1,,0,,638
6/20/2016,13:15:00,,11.67,,7.72,,-0.01,,298.8,,0,,4.5,,0.8,,0,,638
6/20/2016,13:30:00,,13.8,,7.95,,-0.01,,0,,0,,4.4,,0,,0,,638
6/20/2016,13:45:00,,17.14,,7.75,,-0.01,,0,,0,,4.4,,0,,0,,638
6/20/2016,14:00:00,,18.93,,7.61,,-0.01,,0,,0,,4.3,,0,,0,,638
6/20/2016,14:15:00,,19.96,,7.42,,-0.01,,0,,0,,4.3,,0,,0,,638
6/20/2016,14:30:00,,20.63,,7.33,,-0.01,,0,,0,,4.3,,0,,0,,638
6/20/2016,14:45:00,,21.13,,7.29,,-0.01,,0,,0,,4.3,,0,,0,,638
6/20/2016,15:00:00,,21.46,,7.26,,-0.01,,0,,0,,4.2,,0,,0,,638
6/20/2016,15:15:00,,21.24,,7.21,,-0.01,,0,,0,,4.1,,0,,0,,638
6/20/2016,15:30:00,,21.14,,7.18,,-0.01,,0,,0,,3.9,,0,,0,,638
