,HYDROLAB MS5 64824,,,,,,,,,,,,,,,,,
,Log File Name : Ptarmigan_062316_071616,,,,,,,,,,,,,,,,,
,Setup Date (MMDDYY) : 062316,,,,,,,,,,,,,,,,,
,Setup Time (HHMMSS) : 081045,,,,,,,,,,,,,,,,,
,Starting Date (MMDDYY) : 062316,,,,,,,,,,,,,,,,,
,Starting Time (HHMMSS) : 083000,,,,,,,,,,,,,,,,,
,Stopping Date (MMDDYY) : 071616,,,,,,,,,,,,,,,,,
,Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,
,Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,
,Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
,Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO,,IBatt,,SpCond,,BP
,MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,mg/l,,Volts,,æS/cm,,mmHg
,,,,,,,,,,,,,,,,,,
6/23/2016 8:30,6/23/2016,8:30:00,,20.95,,7.43,,0.17,,10.3,,8.42,,12.1,,351,,637
6/23/2016 8:45,6/23/2016,8:45:00,,20.6,,7.42,,0.17,,27,,8.39,,12.1,,349,,637
6/23/2016 9:00,6/23/2016,9:00:00,,20.47,,7.42,,0.17,,0,,8.51,,12,,349,,637
6/23/2016 9:15,6/23/2016,9:15:00,,20.66,,7.42,,0,,0,,8.54,,12,,1.2,,637
6/23/2016 9:30,6/23/2016,9:30:00,,20.98,,7.42,,0.17,,0,,8.51,,12,,351,,637
6/23/2016 9:45,6/23/2016,9:45:00,,21.3,,7.41,,-0.01,,0,,8.5,,12,,0.7,,637
6/23/2016 10:00,6/23/2016,10:00:00,,21.83,,7.39,,-0.01,,0,,8.44,,12,,0.7,,637
6/23/2016 10:15,6/23/2016,10:15:00,,19.02,,7.08,,-0.01,,0,,8.74,,12,,0.1,,637
6/23/2016 10:30,6/23/2016,10:30:00,,12.96,,7.71,,0.05,,2.9,,10.16,,11.8,,120.7,,637
6/23/2016 10:45,6/23/2016,10:45:00,,12.99,,7.73,,0.05,,2.9,,10.12,,11.8,,120.8,,637
6/23/2016 11:00,6/23/2016,11:00:00,,12.98,,7.76,,0.05,,2.4,,10.11,,11.8,,120.7,,637
6/23/2016 11:15,6/23/2016,11:15:00,,12.96,,7.77,,0.05,,2.8,,10.15,,11.7,,120.3,,637
6/23/2016 11:30,6/23/2016,11:30:00,,12.94,,7.77,,0.05,,2.1,,10.14,,11.7,,120.3,,637
6/23/2016 11:45,6/23/2016,11:45:00,,12.88,,7.78,,0.05,,1.5,,10.13,,11.7,,120.7,,637
6/23/2016 12:00,6/23/2016,12:00:00,,12.84,,7.78,,0.05,,2.1,,10.1,,11.7,,120.6,,637
6/23/2016 12:15,6/23/2016,12:15:00,,12.83,,7.79,,0.05,,2.1,,10.15,,11.7,,120.6,,637
6/23/2016 12:30,6/23/2016,12:30:00,,12.8,,7.79,,0.05,,1.3,,10.15,,11.7,,120.4,,637
6/23/2016 12:45,6/23/2016,12:45:00,,12.72,,7.8,,0.05,,2.5,,10.18,,11.7,,120.5,,637
6/23/2016 13:00,6/23/2016,13:00:00,,12.62,,7.79,,0.05,,4.1,,10.16,,11.7,,120.2,,637
6/23/2016 13:15,6/23/2016,13:15:00,,12.59,,7.8,,0.05,,2.5,,10.23,,11.7,,120.6,,637
6/23/2016 13:30,6/23/2016,13:30:00,,12.52,,7.79,,0.05,,2.5,,10.21,,11.7,,120.3,,637
6/23/2016 13:45,6/23/2016,13:45:00,,12.38,,7.8,,0.05,,2.9,,10.24,,11.7,,120.2,,637
6/23/2016 14:00,6/23/2016,14:00:00,,12.25,,7.8,,0.05,,3.3,,10.27,,11.7,,120.2,,637
6/23/2016 14:15,6/23/2016,14:15:00,,12.18,,7.79,,0.05,,2.6,,10.31,,11.7,,120.2,,637
6/23/2016 14:30,6/23/2016,14:30:00,,12.11,,7.79,,0.05,,3.2,,10.3,,11.7,,120.6,,637
6/23/2016 14:45,6/23/2016,14:45:00,,12.01,,7.78,,0.05,,3.9,,10.34,,11.7,,120.5,,637
6/23/2016 15:00,6/23/2016,15:00:00,,11.9,,7.78,,0.05,,2.2,,10.3,,11.7,,120.1,,637
6/23/2016 15:15,6/23/2016,15:15:00,,11.78,,7.78,,0.05,,2.8,,10.39,,11.7,,120.1,,637
6/23/2016 15:30,6/23/2016,15:30:00,,11.67,,7.78,,0.05,,4.5,,10.4,,11.7,,120,,637
6/23/2016 15:45,6/23/2016,15:45:00,,11.6,,7.78,,0.05,,3.5,,10.42,,11.7,,120,,637
6/23/2016 16:00,6/23/2016,16:00:00,,11.58,,7.77,,0.05,,3.3,,10.38,,11.7,,120,,637
6/23/2016 16:15,6/23/2016,16:15:00,,11.49,,7.77,,0.05,,3.8,,10.44,,11.7,,120.5,,637
6/23/2016 16:30,6/23/2016,16:30:00,,11.39,,7.77,,0.05,,3.5,,10.43,,11.7,,120.5,,637
6/23/2016 16:45,6/23/2016,16:45:00,,11.35,,7.79,,0.05,,3.8,,10.49,,11.7,,120.1,,637
6/23/2016 17:00,6/23/2016,17:00:00,,11.36,,7.78,,0.05,,3.4,,10.45,,11.7,,120.1,,637
6/23/2016 17:15,6/23/2016,17:15:00,,11.45,,7.79,,0.05,,4.3,,10.46,,11.7,,120.1,,637
6/23/2016 17:30,6/23/2016,17:30:00,,11.57,,7.79,,0.05,,3.4,,10.41,,11.7,,120.3,,637
6/23/2016 17:45,6/23/2016,17:45:00,,11.66,,7.78,,0.05,,4.8,,10.43,,11.7,,120,,637
6/23/2016 18:00,6/23/2016,18:00:00,,11.81,,7.78,,0.05,,3,,10.34,,11.7,,120.5,,637
6/23/2016 18:15,6/23/2016,18:15:00,,11.99,,7.79,,0.05,,2.9,,10.28,,11.7,,120.2,,637
6/23/2016 18:30,6/23/2016,18:30:00,,12.04,,7.79,,0.05,,2.7,,10.28,,11.7,,120.7,,637
6/23/2016 18:45,6/23/2016,18:45:00,,12.08,,7.78,,0.05,,2.7,,10.28,,11.7,,120.8,,637
6/23/2016 19:00,6/23/2016,19:00:00,,12.08,,7.78,,0.05,,2.7,,10.24,,11.7,,120.8,,637
6/23/2016 19:15,6/23/2016,19:15:00,,12.07,,7.78,,0.05,,2.9,,10.3,,11.7,,120.5,,637
6/23/2016 19:30,6/23/2016,19:30:00,,12.04,,7.78,,0.05,,2.7,,10.26,,11.7,,120.9,,637
6/23/2016 19:45,6/23/2016,19:45:00,,11.97,,7.78,,0.05,,3.5,,10.26,,11.7,,120.8,,637
6/23/2016 20:00,6/23/2016,20:00:00,,11.91,,7.77,,0.05,,3.1,,10.28,,11.7,,120.4,,637
6/23/2016 20:15,6/23/2016,20:15:00,,11.88,,7.77,,0.05,,3.7,,10.29,,11.7,,120.6,,637
6/23/2016 20:30,6/23/2016,20:30:00,,11.89,,7.76,,0.05,,3.5,,10.26,,11.7,,120.4,,637
6/23/2016 20:45,6/23/2016,20:45:00,,11.88,,7.76,,0.05,,3.2,,10.33,,11.7,,120.7,,637
6/23/2016 21:00,6/23/2016,21:00:00,,11.81,,7.75,,0.05,,2.6,,10.29,,11.7,,120.7,,637
6/23/2016 21:15,6/23/2016,21:15:00,,11.72,,7.76,,0.05,,3.3,,10.29,,11.7,,120.6,,637
6/23/2016 21:30,6/23/2016,21:30:00,,11.61,,7.76,,0.05,,3.9,,10.32,,11.7,,120.2,,637
6/23/2016 21:45,6/23/2016,21:45:00,,11.52,,7.75,,0.05,,3.7,,10.38,,11.7,,120.1,,637
6/23/2016 22:00,6/23/2016,22:00:00,,11.43,,7.74,,0.05,,3.3,,10.37,,11.7,,120.1,,637
6/23/2016 22:15,6/23/2016,22:15:00,,11.39,,7.74,,0.05,,3.3,,10.39,,11.7,,120.1,,637
6/23/2016 22:30,6/23/2016,22:30:00,,11.42,,7.73,,0.05,,4.6,,10.37,,11.7,,120.3,,637
6/23/2016 22:45,6/23/2016,22:45:00,,11.54,,7.74,,0.05,,4.3,,10.32,,11.7,,120.8,,637
6/23/2016 23:00,6/23/2016,23:00:00,,11.58,,7.73,,0.05,,2.8,,10.28,,11.7,,120.7,,637
6/23/2016 23:15,6/23/2016,23:15:00,,11.59,,7.74,,0.05,,2.2,,10.33,,11.7,,120.3,,637
6/23/2016 23:30,6/23/2016,23:30:00,,11.56,,7.72,,0.05,,2.9,,10.31,,11.7,,120.8,,637
6/23/2016 23:45,6/23/2016,23:45:00,,11.54,,7.73,,0.05,,3.7,,10.32,,11.7,,120.7,,637
6/24/2016 0:00,6/24/2016,0:00:00,,11.61,,7.72,,0.05,,3.8,,10.28,,11.7,,120.7,,637
6/24/2016 0:15,6/24/2016,0:15:00,,11.63,,7.71,,0.05,,3.1,,10.29,,11.7,,120.6,,637
6/24/2016 0:30,6/24/2016,0:30:00,,11.65,,7.72,,0.05,,3.3,,10.3,,11.8,,120.7,,637
6/24/2016 0:45,6/24/2016,0:45:00,,11.64,,7.72,,0.05,,3.7,,10.32,,11.7,,120.2,,637
6/24/2016 1:00,6/24/2016,1:00:00,,11.6,,7.73,,0.05,,3.2,,10.33,,11.8,,120.6,,637
6/24/2016 1:15,6/24/2016,1:15:00,,11.56,,7.72,,0.05,,4,,10.34,,11.8,,120.7,,637
6/24/2016 1:30,6/24/2016,1:30:00,,11.6,,7.7,,0.05,,3.7,,10.32,,11.8,,120.6,,637
6/24/2016 1:45,6/24/2016,1:45:00,,11.69,,7.71,,0.05,,3.9,,10.3,,11.8,,120.3,,637
6/24/2016 2:00,6/24/2016,2:00:00,,11.76,,7.71,,0.05,,2.7,,10.29,,11.8,,120.5,,637
6/24/2016 2:15,6/24/2016,2:15:00,,11.83,,7.71,,0.05,,3.9,,10.25,,11.8,,120.1,,637
6/24/2016 2:30,6/24/2016,2:30:00,,11.88,,7.7,,0.05,,3.2,,10.27,,11.8,,120.1,,637
6/24/2016 2:45,6/24/2016,2:45:00,,11.83,,7.71,,0.05,,2.4,,10.24,,11.8,,120.6,,637
