Hydrolab MS5 46440,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_081116_082616,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 080916,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 144608,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 081116,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 082616,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 081116 095903,,,,,,,,,,,,,,,
Late probe turn on at 081116 095903,,,,,,,,,,,,,,,
8/11/2016,10:00:00,,22.15,,8.4,,0,,7.26,,0,,12.8,,115.3
8/11/2016,10:15:00,,22.15,,8.41,,0,,7.31,,0,,12.4,,115.5
8/11/2016,10:30:00,,22.16,,8.43,,0,,7.33,,0,,12.3,,115.8
8/11/2016,10:45:00,,21.75,,8.27,,1.7,,7.28,,0,,12.1,,112.7
8/11/2016,11:00:00,,21.04,,8.36,,0.1,,7.3,,7.1,,12.1,,112.3
8/11/2016,11:15:00,,20.45,,8.46,,0,,7.29,,0,,11.9,,112.3
8/11/2016,11:30:00,,19.81,,8.57,,0.7,,7.27,,0,,11.8,,112.3
8/11/2016,11:45:00,,19.23,,8.66,,0,,7.26,,0,,11.8,,112.2
8/11/2016,12:00:00,,18.75,,8.7,,0.1,,7.23,,0,,11.7,,111.6
8/11/2016,12:15:00,,18.13,,8.82,,55.4,,7.3,,0,,11.6,,111.7
8/11/2016,12:30:00,,16.99,,8.94,,0.1,,7.3,,0,,11.5,,110.6
8/11/2016,12:45:00,,11.71,,10.68,,95.5,,7.91,,7.7,,11.5,,117.6
8/11/2016,13:00:00,,11.75,,10.66,,96.6,,7.94,,5.8,,11.5,,117.4
8/11/2016,13:15:00,,11.79,,10.64,,96.5,,7.95,,7.3,,11.5,,117.4
8/11/2016,13:30:00,,11.83,,10.6,,96.6,,7.95,,3.8,,11.4,,117
8/11/2016,13:45:00,,11.9,,10.6,,96.7,,7.96,,4.2,,11.5,,117.2
8/11/2016,14:00:00,,11.96,,10.59,,96.7,,7.96,,3.9,,11.4,,117.3
8/11/2016,14:15:00,,12.03,,10.58,,96.7,,7.97,,3.6,,11.4,,117.4
8/11/2016,14:30:00,,12.1,,10.55,,96.9,,7.97,,3.8,,11.5,,117.2
8/11/2016,14:45:00,,12.15,,10.61,,97,,7.97,,2.8,,11.5,,118.1
8/11/2016,15:00:00,,12.21,,10.51,,95.6,,7.97,,2.9,,11.4,,117
8/11/2016,15:15:00,,12.25,,10.5,,96.7,,7.96,,4.2,,11.5,,117.1
8/11/2016,15:30:00,,12.28,,10.46,,96.8,,7.96,,3.2,,11.5,,116.7
8/11/2016,15:45:00,,12.3,,10.49,,96.7,,7.95,,2.7,,11.5,,117.1
8/11/2016,16:00:00,,12.32,,10.52,,97.1,,7.95,,3.1,,11.5,,117.5
8/11/2016,16:15:00,,12.33,,10.44,,96.9,,7.95,,2.5,,11.5,,116.6
8/11/2016,16:30:00,,12.34,,10.4,,97.1,,7.94,,2.4,,11.5,,116.1
8/11/2016,16:45:00,,12.34,,10.56,,97,,7.93,,5.4,,11.5,,117.9
8/11/2016,17:00:00,,12.36,,10.43,,96.9,,7.93,,2.1,,11.5,,116.6
8/11/2016,17:15:00,,12.36,,10.45,,96.8,,7.94,,2.4,,11.5,,116.7
8/11/2016,17:30:00,,12.37,,10.47,,96.8,,7.93,,2.4,,11.5,,117
8/11/2016,17:45:00,,12.37,,10.4,,97,,7.94,,3.9,,11.5,,116.3
8/11/2016,18:00:00,,12.39,,10.47,,96.9,,7.95,,2.6,,11.5,,117.1
8/11/2016,18:15:00,,12.4,,10.47,,96.5,,7.94,,3,,11.5,,117.1
8/11/2016,18:30:00,,12.4,,10.46,,96.8,,7.92,,2.6,,11.5,,117
8/11/2016,18:45:00,,12.39,,10.4,,96.8,,7.91,,2.7,,11.5,,116.3
8/11/2016,19:00:00,,12.39,,10.43,,97,,7.91,,2.8,,11.5,,116.6
8/11/2016,19:15:00,,12.38,,10.44,,96.7,,7.92,,4.8,,11.5,,116.7
8/11/2016,19:30:00,,12.36,,10.49,,96.3,,7.91,,6.6,,11.5,,117.3
8/11/2016,19:45:00,,12.36,,10.51,,97,,7.91,,2.8,,11.5,,117.4
8/11/2016,20:00:00,,12.33,,10.45,,96.8,,7.91,,3.1,,11.5,,116.7
8/11/2016,20:15:00,,12.3,,10.4,,96.8,,7.91,,3.7,,11.5,,116.1
8/11/2016,20:30:00,,12.27,,10.47,,96.6,,7.9,,3.4,,11.5,,116.8
8/11/2016,20:45:00,,12.23,,10.43,,97.1,,7.89,,3.5,,11.5,,116.2
8/11/2016,21:00:00,,12.2,,10.46,,96.7,,7.87,,4.2,,11.5,,116.4
8/11/2016,21:15:00,,12.18,,10.46,,96.8,,7.88,,4.7,,11.5,,116.4
8/11/2016,21:30:00,,12.16,,10.5,,96.8,,7.87,,5.5,,11.5,,116.8
8/11/2016,21:45:00,,12.12,,10.44,,97,,7.86,,4,,11.5,,116
8/11/2016,22:00:00,,12.08,,10.43,,97,,7.85,,3.9,,11.5,,115.8
8/11/2016,22:15:00,,12.04,,10.5,,96.6,,7.85,,4.1,,11.5,,116.4
8/11/2016,22:30:00,,11.99,,10.44,,97,,7.84,,4.7,,11.5,,115.7
8/11/2016,22:45:00,,11.94,,10.53,,96.8,,7.84,,4.2,,11.5,,116.6
8/11/2016,23:00:00,,11.9,,10.45,,96.8,,7.84,,4.4,,11.5,,115.6
8/11/2016,23:15:00,,11.86,,10.5,,96.7,,7.83,,5.1,,11.5,,116
8/11/2016,23:30:00,,11.83,,10.46,,96.7,,7.83,,5.3,,11.5,,115.5
8/11/2016,23:45:00,,11.8,,10.49,,96.6,,7.83,,5,,11.5,,115.7
8/12/2016,0:00:00,,11.77,,10.49,,96.6,,7.82,,5,,11.5,,115.7
8/12/2016,0:15:00,,11.75,,10.52,,96.7,,7.81,,6.9,,11.5,,115.9
8/12/2016,0:30:00,,11.75,,10.52,,97,,7.81,,5.5,,11.5,,115.9
8/12/2016,0:45:00,,11.76,,10.52,,96.8,,7.81,,6.2,,11.5,,115.9
8/12/2016,1:00:00,,11.77,,10.52,,96.9,,7.81,,4.2,,11.5,,116
8/12/2016,1:15:00,,11.77,,10.46,,97,,7.8,,5.6,,11.5,,115.4
8/12/2016,1:30:00,,11.77,,10.54,,96.9,,7.8,,12,,11.5,,116.2
8/12/2016,1:45:00,,11.78,,10.51,,97,,7.79,,4.5,,11.5,,115.9
8/12/2016,2:00:00,,11.81,,10.44,,97,,7.8,,4.3,,11.5,,115.3
8/12/2016,2:15:00,,11.85,,10.47,,96.8,,7.79,,5.5,,11.5,,115.6
8/12/2016,2:30:00,,11.89,,10.48,,96.7,,7.79,,4.1,,11.5,,115.9
8/12/2016,2:45:00,,11.92,,10.46,,97,,7.79,,4.1,,11.5,,115.8
8/12/2016,3:00:00,,11.93,,10.48,,96.9,,7.78,,4.4,,11.5,,116
8/12/2016,3:15:00,,11.95,,10.44,,96.9,,7.78,,3.7,,11.5,,115.6
8/12/2016,3:30:00,,11.97,,10.42,,96.9,,7.78,,4.6,,11.5,,115.4
8/12/2016,3:45:00,,11.99,,10.41,,96.6,,7.78,,4.1,,11.5,,115.4
8/12/2016,4:00:00,,12,,10.47,,96.8,,7.78,,4.1,,11.5,,116.1
8/12/2016,4:15:00,,11.99,,10.46,,96.7,,7.77,,5.9,,11.5,,115.9
8/12/2016,4:30:00,,11.97,,10.45,,96.6,,7.77,,3.7,,11.5,,115.7
8/12/2016,4:45:00,,11.97,,10.42,,96.8,,7.77,,12.1,,11.5,,115.5
8/12/2016,5:00:00,,11.98,,10.43,,96.9,,7.78,,3.9,,11.5,,115.5
8/12/2016,5:15:00,,11.99,,10.43,,97,,7.77,,10,,11.5,,115.5
8/12/2016,5:30:00,,12.01,,10.43,,96.7,,7.77,,4.4,,11.5,,115.6
8/12/2016,5:45:00,,12.02,,10.46,,96.8,,7.78,,3.5,,11.5,,116
8/12/2016,6:00:00,,12.03,,10.45,,96.8,,7.77,,3.9,,11.5,,115.9
8/12/2016,6:15:00,,12.04,,10.45,,97,,7.76,,3.3,,11.5,,115.9
8/12/2016,6:30:00,,12.06,,10.42,,97.1,,7.76,,3.5,,11.5,,115.6
8/12/2016,6:45:00,,12.06,,10.47,,97.1,,7.76,,6,,11.5,,116.1
8/12/2016,7:00:00,,12.06,,10.38,,96.7,,7.76,,2.9,,11.5,,115.2
8/12/2016,7:15:00,,12.04,,10.45,,97.1,,7.76,,3.1,,11.5,,115.9
8/12/2016,7:30:00,,12.03,,10.37,,97,,7.75,,3.4,,11.5,,115
8/12/2016,7:45:00,,12.02,,10.41,,97.1,,7.76,,3.3,,11.5,,115.5
8/12/2016,8:00:00,,12.02,,10.43,,97.1,,7.76,,4.9,,11.5,,115.6
8/12/2016,8:15:00,,12.03,,10.4,,96.7,,7.76,,3.3,,11.5,,115.3
8/12/2016,8:30:00,,12.04,,10.45,,96.7,,7.76,,3.9,,11.5,,116
8/12/2016,8:45:00,,12.05,,10.41,,96.8,,7.77,,3.1,,11.5,,115.5
8/12/2016,9:00:00,,12.06,,10.41,,97,,7.77,,3.2,,11.5,,115.5
8/12/2016,9:15:00,,12.07,,10.42,,96.8,,7.77,,3.3,,11.5,,115.6
8/12/2016,9:30:00,,12.07,,10.46,,95.7,,7.79,,3.4,,11.5,,116.2
8/12/2016,9:45:00,,12.08,,10.43,,97,,7.79,,5,,11.5,,115.8
8/12/2016,10:00:00,,12.07,,10.46,,96.9,,7.81,,2.7,,11.5,,116.2
8/12/2016,10:15:00,,12.07,,10.47,,96.9,,7.83,,3.2,,11.5,,116.3
8/12/2016,10:30:00,,12.08,,10.48,,96.5,,7.84,,3.2,,11.5,,116.4
8/12/2016,10:45:00,,12.09,,10.44,,96.6,,7.87,,4.4,,11.5,,115.9
8/12/2016,11:00:00,,12.13,,10.49,,96.9,,7.88,,3.3,,11.6,,116.6
8/12/2016,11:15:00,,12.15,,10.48,,96.9,,7.88,,3.4,,11.5,,116.6
8/12/2016,11:30:00,,12.19,,10.49,,96.8,,7.89,,3,,11.5,,116.8
8/12/2016,11:45:00,,12.22,,10.46,,96.3,,7.89,,2.7,,11.5,,116.5
8/12/2016,12:00:00,,12.25,,10.5,,96.7,,7.89,,3.1,,11.5,,117.1
8/12/2016,12:15:00,,12.28,,10.42,,96.7,,7.9,,3.2,,11.5,,116.2
8/12/2016,12:30:00,,12.3,,10.44,,96.9,,7.91,,3,,11.6,,116.5
8/12/2016,12:45:00,,12.31,,10.41,,96.9,,7.91,,4.6,,11.5,,116.3
8/12/2016,13:00:00,,12.33,,10.43,,97,,7.9,,3.8,,11.5,,116.5
8/12/2016,13:15:00,,12.35,,10.45,,96.8,,7.91,,8.4,,11.6,,116.7
8/12/2016,13:30:00,,12.37,,10.45,,96.7,,7.91,,2.8,,11.6,,116.8
8/12/2016,13:45:00,,12.4,,10.41,,96.9,,7.92,,2.4,,11.6,,116.4
8/12/2016,14:00:00,,12.41,,10.4,,97,,7.93,,2.4,,11.6,,116.4
8/12/2016,14:15:00,,12.43,,10.46,,96.9,,7.93,,3.1,,11.6,,117.1
8/12/2016,14:30:00,,12.47,,10.44,,96.8,,7.94,,3,,11.6,,116.9
8/12/2016,14:45:00,,12.52,,10.38,,97,,7.94,,2.5,,11.6,,116.4
8/12/2016,15:00:00,,12.56,,10.38,,97,,7.95,,2.3,,11.6,,116.6
8/12/2016,15:15:00,,12.57,,10.39,,96.5,,7.94,,2.7,,11.6,,116.7
8/12/2016,15:30:00,,12.58,,10.35,,96.8,,7.94,,2.7,,11.6,,116.3
8/12/2016,15:45:00,,12.57,,10.4,,97,,7.94,,3,,11.6,,116.8
8/12/2016,16:00:00,,12.56,,10.39,,96.9,,7.93,,2.5,,11.6,,116.6
8/12/2016,16:15:00,,12.55,,10.37,,96.9,,7.94,,2.9,,11.6,,116.4
8/12/2016,16:30:00,,12.55,,10.4,,96.9,,7.94,,10,,11.6,,116.7
8/12/2016,16:45:00,,12.56,,10.39,,97,,7.93,,2.8,,11.6,,116.7
8/12/2016,17:00:00,,12.56,,10.36,,96.7,,7.92,,2.9,,11.6,,116.3
8/12/2016,17:15:00,,12.57,,10.38,,96.8,,7.92,,2.3,,11.6,,116.6
8/12/2016,17:30:00,,12.57,,10.38,,97,,7.92,,2.5,,11.6,,116.5
8/12/2016,17:45:00,,12.55,,10.39,,96.4,,7.93,,2.6,,11.6,,116.7
8/12/2016,18:00:00,,12.55,,10.41,,96.9,,7.92,,10,,11.6,,116.9
8/12/2016,18:15:00,,12.56,,10.39,,96.9,,7.93,,2.4,,11.6,,116.6
8/12/2016,18:30:00,,12.61,,10.34,,96.6,,7.93,,3.8,,11.6,,116.2
8/12/2016,18:45:00,,12.63,,10.38,,96.8,,7.95,,3.5,,11.6,,116.8
8/12/2016,19:00:00,,12.62,,10.4,,97,,7.94,,14,,11.6,,116.9
8/12/2016,19:15:00,,12.61,,10.37,,96.7,,7.94,,2.7,,11.6,,116.5
8/12/2016,19:30:00,,12.62,,10.35,,96.9,,7.94,,3.1,,11.6,,116.3
8/12/2016,19:45:00,,12.62,,10.34,,96.7,,7.93,,3.1,,11.6,,116.2
8/12/2016,20:00:00,,12.61,,10.34,,97,,7.93,,3.5,,11.6,,116.2
8/12/2016,20:15:00,,12.63,,10.29,,96.9,,7.91,,2.5,,11.6,,115.7
8/12/2016,20:30:00,,12.65,,10.33,,96.9,,7.91,,2.5,,11.6,,116.2
8/12/2016,20:45:00,,12.67,,10.3,,96.6,,7.9,,2,,11.6,,115.9
8/12/2016,21:00:00,,12.68,,10.25,,96.8,,7.9,,3,,11.6,,115.4
8/12/2016,21:15:00,,12.67,,10.26,,96.7,,7.88,,2.7,,11.6,,115.4
8/12/2016,21:30:00,,12.66,,10.29,,96.8,,7.88,,2.5,,11.6,,115.8
8/12/2016,21:45:00,,12.65,,10.3,,97,,7.87,,2.2,,11.6,,115.8
8/12/2016,22:00:00,,12.64,,10.26,,97.1,,7.87,,2.1,,11.6,,115.4
8/12/2016,22:15:00,,12.61,,10.26,,97,,7.85,,2.8,,11.6,,115.3
8/12/2016,22:30:00,,12.57,,10.26,,97,,7.86,,2.5,,11.6,,115.2
8/12/2016,22:45:00,,12.53,,10.29,,97,,7.85,,2.5,,11.6,,115.5
