Description,Source,lat,long,Notes,siteID,long_name
LBC-WL-2015,Benjamin Meyer,60.56045,-151.125556,Main channel,BM1,Lower Beaver Creek
MBC-WL-2015,Benjamin Meyer,60.57018,-151.10335,Main channel,BM2,Middle Beaver Creek
UBC-WL-2015,Benjamin Meyer,60.61534,-151.08607,Main channel,BM3,Upper Beaver Creek
UBC1-WL-2016,Benjamin Meyer,60.64055,-151.08403,Main channel,BM4,Upper Beaver Creek
UBC2-WL-2016,Benjamin Meyer,60.6447,-151.01755,Main channel,BM5,Upper Beaver Creek
LPC-WL-2015,Benjamin Meyer,60.403722,-149.369611,Main channel,BM6,Lower Ptarmigan Creek
MPC-WL-2015,Benjamin Meyer,60.414056,-149.34663,Main channel,BM7,Middle Ptarmigan Creek
UPC-WL-2015,Benjamin Meyer,60.41199,-149.3076,Lake outlet,BM8,Upper Ptarmigan Creek
LRR-WL-2015,Benjamin Meyer,60.485222,-149.99651,Main channel,BM9,Lower Russian River
MRR-WL-2015,Benjamin Meyer,60.45025,-149.98792,Main channel,BM10,Middle Russian River
MRR1-WL-2016,Benjamin Meyer,60.4261,-149.99582,Main channel,BM11,Middle Russian River
MRR2-WL-2016,Benjamin Meyer,60.39136,-149.99156,Main channel,BM12,Middle Russian River
URR-WL-2015,Benjamin Meyer,60.3595,-149.89873,Main channel,BM13,Upper Russian River
URR1-WL-2016,Benjamin Meyer,60.31956,-149.87888,Main channel,BM14,Upper Russian River
LPC-KWF-2015,Jeff Sires,60.405883,-149.3607,,KWF4,Lower Ptarmigan Creek
Beaver,CIK,60.561,-151.123,,CIK10,Beaver Creek
Funny,CIK,60.49,-150.86,,CIK23,Funny River
Hidden,CIK,60.439,-150.208,,CIK17,Hidden Creek
Soldotna,CIK,60.489,-151.044,,CIK11,Soldotna Creek
Slikok,CIK,60.483,-151.131,,CIK12,Slikok Creek
Moose,CIK,60.557,-150.735,,CIK5,Moose River
Quartz,CIK,60.493,-149.7,,CIK22,Quartz Creek
BC_KWF,Epscor,60.5603,-151.125767,,KWF1,Beaver Creek
PC_KWF,Epscor,60.404833,-149.362317,,KWF2,Ptarmigan Creek
RR_KWF,Epscor,60.453,-149.986767,,KWF3,Russian River
USGS15258000,USGS,60.49219269,-149.8099203,Kenai River at Cooper Landing,USGS1,Kenai River
USGS15261000,USGS,60.4799795,-149.882711,Cooper Creek at mouth near Cooper Landing,USGS2,Cooper Creek
USGS15266110,USGS,60.466099,-150.60109,KR Below Kilak Lake outlet NR Sterling,USGS3,Kenai River
USGS15266300,USGS,60.4769289,-151.0816675,KR at Soldotna,USGS4,Kenai River
