sampleDate,sampleTime,Temperature
2016-05-09,2:30:00,6.636
2016-05-09,2:45:00,6.585
2016-05-09,3:00:00,6.535
2016-05-09,3:15:00,6.458
2016-05-09,3:30:00,6.382
2016-05-09,3:45:00,6.331
2016-05-09,4:00:00,6.255
2016-05-09,4:15:00,6.179
2016-05-09,4:30:00,6.128
2016-05-09,4:45:00,6.051
2016-05-09,5:00:00,5.975
2016-05-09,5:15:00,5.898
2016-05-09,5:30:00,5.821
2016-05-09,5:45:00,5.77
2016-05-09,6:00:00,5.693
2016-05-09,6:15:00,5.616
2016-05-09,6:30:00,5.539
2016-05-09,6:45:00,5.462
2016-05-09,7:00:00,5.411
2016-05-09,7:15:00,5.334
2016-05-09,7:30:00,5.257
2016-05-09,7:45:00,5.205
2016-05-09,8:00:00,5.154
2016-05-09,8:15:00,5.076
2016-05-09,8:30:00,5.024
2016-05-09,8:45:00,4.973
2016-05-09,9:00:00,4.947
2016-05-09,9:15:00,4.921
2016-05-09,9:30:00,5.231
2016-05-09,9:45:00,5.539
2016-05-09,10:00:00,5.924
2016-05-09,10:15:00,6.357
2016-05-09,10:30:00,6.687
2016-05-09,10:45:00,6.687
2016-05-09,11:00:00,6.839
2016-05-09,11:15:00,6.661
2016-05-09,11:30:00,6
2016-05-09,11:45:00,5.462
2016-05-09,12:00:00,5.462
2016-05-09,12:15:00,5.488
2016-05-09,12:30:00,5.514
2016-05-09,12:45:00,5.616
2016-05-09,13:00:00,5.924
2016-05-09,13:15:00,5.975
2016-05-09,13:30:00,5.745
2016-05-09,13:45:00,5.949
2016-05-09,14:00:00,5.77
2016-05-09,14:15:00,6.102
2016-05-09,14:30:00,5.821
2016-05-09,14:45:00,5.745
2016-05-09,15:00:00,5.77
2016-05-09,15:15:00,5.719
2016-05-09,15:30:00,5.668
2016-05-09,15:45:00,5.642
2016-05-09,16:00:00,5.616
2016-05-09,16:15:00,5.642
2016-05-09,16:30:00,5.668
2016-05-09,16:45:00,5.616
2016-05-09,17:00:00,5.591
2016-05-09,17:15:00,5.591
2016-05-09,17:30:00,5.565
2016-05-09,17:45:00,5.565
2016-05-09,18:00:00,5.616
2016-05-09,18:15:00,5.642
2016-05-09,18:30:00,5.642
2016-05-09,18:45:00,5.642
2016-05-09,19:00:00,5.642
2016-05-09,19:15:00,5.642
2016-05-09,19:30:00,5.693
2016-05-09,19:45:00,5.565
2016-05-09,20:00:00,5.539
2016-05-09,20:15:00,5.462
2016-05-09,20:30:00,5.437
2016-05-09,20:45:00,5.437
2016-05-09,21:00:00,5.411
2016-05-09,21:15:00,5.437
2016-05-09,21:30:00,5.488
2016-05-09,21:45:00,5.437
2016-05-09,22:00:00,5.462
2016-05-09,22:15:00,5.514
2016-05-09,22:30:00,5.488
2016-05-09,22:45:00,5.462
2016-05-09,23:00:00,5.411
2016-05-09,23:15:00,5.36
2016-05-09,23:30:00,5.36
2016-05-09,23:45:00,5.334
2016-05-10,0:00:00,5.334
2016-05-10,0:15:00,5.308
2016-05-10,0:30:00,5.308
2016-05-10,0:45:00,5.308
