sampleDate,SampleTime,Temperature
6/8/2015,12:30:00 PM,7.87
6/8/2015,1:00:00 PM,7.895
6/8/2015,1:30:00 PM,7.92
6/8/2015,2:00:00 PM,8.519
6/8/2015,2:30:00 PM,9.262
6/8/2015,3:00:00 PM,8.99
6/8/2015,3:30:00 PM,9.089
6/8/2015,4:00:00 PM,9.238
6/8/2015,4:30:00 PM,9.657
6/8/2015,5:00:00 PM,9.682
6/8/2015,5:30:00 PM,9.608
6/8/2015,6:00:00 PM,9.558
6/8/2015,6:30:00 PM,9.435
6/8/2015,7:00:00 PM,9.386
6/8/2015,7:30:00 PM,9.336
6/8/2015,8:00:00 PM,9.262
6/8/2015,8:30:00 PM,9.238
6/8/2015,9:00:00 PM,9.163
6/8/2015,9:30:00 PM,9.089
6/8/2015,10:00:00 PM,8.99
6/8/2015,10:30:00 PM,8.891
6/8/2015,11:00:00 PM,8.742
6/8/2015,11:30:00 PM,8.618
6/9/2015,12:00:00 AM,8.519
6/9/2015,12:30:00 AM,8.394
6/9/2015,1:00:00 AM,8.27
6/9/2015,1:30:00 AM,8.17
6/9/2015,2:00:00 AM,8.07
6/9/2015,2:30:00 AM,7.97
6/9/2015,3:00:00 AM,7.87
6/9/2015,3:30:00 AM,7.77
6/9/2015,4:00:00 AM,7.645
6/9/2015,4:30:00 AM,7.544
6/9/2015,5:00:00 AM,7.444
6/9/2015,5:30:00 AM,7.343
6/9/2015,6:00:00 AM,7.242
6/9/2015,6:30:00 AM,7.167
6/9/2015,7:00:00 AM,7.116
6/9/2015,7:30:00 AM,7.066
6/9/2015,8:00:00 AM,7.041
6/9/2015,8:30:00 AM,6.99
6/9/2015,9:00:00 AM,7.015
6/9/2015,9:30:00 AM,6.99
6/9/2015,10:00:00 AM,7.015
6/9/2015,10:30:00 AM,7.066
6/9/2015,11:00:00 AM,7.066
6/9/2015,11:30:00 AM,7.167
6/9/2015,12:00:00 PM,7.116
6/9/2015,12:30:00 PM,7.217
6/9/2015,1:00:00 PM,7.469
6/9/2015,1:30:00 PM,7.544
6/9/2015,2:00:00 PM,7.72
6/9/2015,2:30:00 PM,7.77
6/9/2015,3:00:00 PM,7.745
6/9/2015,3:30:00 PM,7.795
6/9/2015,4:00:00 PM,7.845
6/9/2015,4:30:00 PM,8.07
6/9/2015,5:00:00 PM,8.195
6/9/2015,5:30:00 PM,8.195
6/9/2015,6:00:00 PM,8.295
6/9/2015,6:30:00 PM,8.319
6/9/2015,7:00:00 PM,8.444
6/9/2015,7:30:00 PM,8.419
6/9/2015,8:00:00 PM,8.494
6/9/2015,8:30:00 PM,8.519
6/9/2015,9:00:00 PM,8.469
6/9/2015,9:30:00 PM,8.444
6/9/2015,10:00:00 PM,8.394
6/9/2015,10:30:00 PM,8.344
6/9/2015,11:00:00 PM,8.27
6/9/2015,11:30:00 PM,8.22
6/10/2015,12:00:00 AM,8.145
6/10/2015,12:30:00 AM,8.07
6/10/2015,1:00:00 AM,8.02
6/10/2015,1:30:00 AM,7.945
6/10/2015,2:00:00 AM,7.87
6/10/2015,2:30:00 AM,7.82
6/10/2015,3:00:00 AM,7.745
6/10/2015,3:30:00 AM,7.645
6/10/2015,4:00:00 AM,7.544
6/10/2015,4:30:00 AM,7.444
6/10/2015,5:00:00 AM,7.368
6/10/2015,5:30:00 AM,7.293
6/10/2015,6:00:00 AM,7.217
6/10/2015,6:30:00 AM,7.142
6/10/2015,7:00:00 AM,7.116
6/10/2015,7:30:00 AM,7.091
6/10/2015,8:00:00 AM,7.116
6/10/2015,8:30:00 AM,7.116
6/10/2015,9:00:00 AM,7.192
6/10/2015,9:30:00 AM,7.318
6/10/2015,10:00:00 AM,7.619
6/10/2015,10:30:00 AM,7.695
6/10/2015,11:00:00 AM,7.645
6/10/2015,11:30:00 AM,7.619
6/10/2015,12:00:00 PM,7.945
6/10/2015,12:30:00 PM,7.845
6/10/2015,1:00:00 PM,8.22
6/10/2015,1:30:00 PM,8.17
6/10/2015,2:00:00 PM,8.767
6/10/2015,2:30:00 PM,8.99
6/10/2015,3:00:00 PM,9.632
6/10/2015,3:30:00 PM,10.075
6/10/2015,4:00:00 PM,10.247
6/10/2015,4:30:00 PM,10.467
6/10/2015,5:00:00 PM,10.712
6/10/2015,5:30:00 PM,10.956
6/10/2015,6:00:00 PM,11.029
6/10/2015,6:30:00 PM,11.127
6/10/2015,7:00:00 PM,11.175
6/10/2015,7:30:00 PM,11.175
6/10/2015,8:00:00 PM,11.053
6/10/2015,8:30:00 PM,10.907
6/10/2015,9:00:00 PM,10.638
6/10/2015,9:30:00 PM,10.394
6/10/2015,10:00:00 PM,10.173
6/10/2015,10:30:00 PM,9.977
6/10/2015,11:00:00 PM,9.805
6/10/2015,11:30:00 PM,9.583
6/11/2015,12:00:00 AM,9.386
6/11/2015,12:30:00 AM,9.188
6/11/2015,1:00:00 AM,9.015
6/11/2015,1:30:00 AM,8.817
6/11/2015,2:00:00 AM,8.643
6/11/2015,2:30:00 AM,8.519
6/11/2015,3:00:00 AM,8.444
6/11/2015,3:30:00 AM,8.344
6/11/2015,4:00:00 AM,8.22
6/11/2015,4:30:00 AM,8.07
6/11/2015,5:00:00 AM,7.895
6/11/2015,5:30:00 AM,7.745
6/11/2015,6:00:00 AM,7.569
6/11/2015,6:30:00 AM,7.419
6/11/2015,7:00:00 AM,7.393
6/11/2015,7:30:00 AM,7.393
6/11/2015,8:00:00 AM,7.293
6/11/2015,8:30:00 AM,7.293
6/11/2015,9:00:00 AM,7.268
6/11/2015,9:30:00 AM,7.469
6/11/2015,10:00:00 AM,7.695
6/11/2015,10:30:00 AM,7.82
6/11/2015,11:00:00 AM,8.095
6/11/2015,11:30:00 AM,8.27
6/11/2015,12:00:00 PM,8.469
6/11/2015,12:30:00 PM,8.568
6/11/2015,1:00:00 PM,8.866
6/11/2015,1:30:00 PM,9.04
6/11/2015,2:00:00 PM,9.336
6/11/2015,2:30:00 PM,9.682
6/11/2015,3:00:00 PM,9.879
6/11/2015,3:30:00 PM,10.026
6/11/2015,4:00:00 PM,10.247
6/11/2015,4:30:00 PM,10.59
6/11/2015,5:00:00 PM,10.736
6/11/2015,5:30:00 PM,10.712
6/11/2015,6:00:00 PM,10.858
6/11/2015,6:30:00 PM,10.956
6/11/2015,7:00:00 PM,11.053
6/11/2015,7:30:00 PM,11.127
6/11/2015,8:00:00 PM,11.102
6/11/2015,8:30:00 PM,11.029
6/11/2015,9:00:00 PM,10.883
6/11/2015,9:30:00 PM,10.761
6/11/2015,10:00:00 PM,10.614
6/11/2015,10:30:00 PM,10.443
6/11/2015,11:00:00 PM,10.271
6/11/2015,11:30:00 PM,10.1
6/12/2015,12:00:00 AM,9.928
6/12/2015,12:30:00 AM,9.756
6/12/2015,1:00:00 AM,9.608
6/12/2015,1:30:00 AM,9.435
6/12/2015,2:00:00 AM,9.287
6/12/2015,2:30:00 AM,9.114
6/12/2015,3:00:00 AM,8.965
6/12/2015,3:30:00 AM,8.792
6/12/2015,4:00:00 AM,8.643
6/12/2015,4:30:00 AM,8.469
6/12/2015,5:00:00 AM,8.319
6/12/2015,5:30:00 AM,8.195
6/12/2015,6:00:00 AM,8.07
6/12/2015,6:30:00 AM,7.945
6/12/2015,7:00:00 AM,7.895
6/12/2015,7:30:00 AM,7.87
6/12/2015,8:00:00 AM,7.82
6/12/2015,8:30:00 AM,7.945
6/12/2015,9:00:00 AM,8.02
6/12/2015,9:30:00 AM,8.22
6/12/2015,10:00:00 AM,8.444
6/12/2015,10:30:00 AM,8.717
6/12/2015,11:00:00 AM,8.941
6/12/2015,11:30:00 AM,9.238
6/12/2015,12:00:00 PM,9.608
6/12/2015,12:30:00 PM,10.124
6/12/2015,1:00:00 PM,10.467
6/12/2015,1:30:00 PM,10.883
6/12/2015,2:00:00 PM,11.321
6/12/2015,2:30:00 PM,11.613
6/12/2015,3:00:00 PM,11.832
6/12/2015,3:30:00 PM,12.147
6/12/2015,4:00:00 PM,12.485
6/12/2015,4:30:00 PM,12.823
6/12/2015,5:00:00 PM,13.112
6/12/2015,5:30:00 PM,13.353
6/12/2015,6:00:00 PM,13.449
6/12/2015,6:30:00 PM,13.546
6/12/2015,7:00:00 PM,13.618
6/12/2015,7:30:00 PM,13.618
6/12/2015,8:00:00 PM,13.594
6/12/2015,8:30:00 PM,13.497
6/12/2015,9:00:00 PM,13.329
6/12/2015,9:30:00 PM,13.137
6/12/2015,10:00:00 PM,12.944
6/12/2015,10:30:00 PM,12.775
6/12/2015,11:00:00 PM,12.558
6/12/2015,11:30:00 PM,12.34
6/13/2015,12:00:00 AM,12.147
6/13/2015,12:30:00 AM,11.929
6/13/2015,1:00:00 AM,11.662
6/13/2015,1:30:00 AM,11.443
6/13/2015,2:00:00 AM,11.224
6/13/2015,2:30:00 AM,10.98
6/13/2015,3:00:00 AM,10.761
6/13/2015,3:30:00 AM,10.516
6/13/2015,4:00:00 AM,10.271
6/13/2015,4:30:00 AM,10.051
6/13/2015,5:00:00 AM,9.805
6/13/2015,5:30:00 AM,9.608
6/13/2015,6:00:00 AM,9.41
6/13/2015,6:30:00 AM,9.238
6/13/2015,7:00:00 AM,9.188
6/13/2015,7:30:00 AM,9.188
6/13/2015,8:00:00 AM,9.163
6/13/2015,8:30:00 AM,9.213
6/13/2015,9:00:00 AM,9.262
6/13/2015,9:30:00 AM,9.41
6/13/2015,10:00:00 AM,9.608
6/13/2015,10:30:00 AM,9.879
6/13/2015,11:00:00 AM,10.271
6/13/2015,11:30:00 AM,10.614
6/13/2015,12:00:00 PM,10.907
6/13/2015,12:30:00 PM,11.248
6/13/2015,1:00:00 PM,11.662
6/13/2015,1:30:00 PM,12.05
