sampleDate,sampleTime,Temperature
6/8/2015,2:02:00 PM,6.94
6/8/2015,2:32:00 PM,7.368
6/8/2015,3:02:00 PM,7.92
6/8/2015,3:32:00 PM,8.419
6/8/2015,4:02:00 PM,8.717
6/8/2015,4:32:00 PM,8.866
6/8/2015,5:02:00 PM,8.767
6/8/2015,5:32:00 PM,8.693
6/8/2015,6:02:00 PM,8.618
6/8/2015,6:32:00 PM,8.643
6/8/2015,7:02:00 PM,8.618
6/8/2015,7:32:00 PM,8.643
6/8/2015,8:02:00 PM,8.593
6/8/2015,8:32:00 PM,8.568
6/8/2015,9:02:00 PM,8.469
6/8/2015,9:32:00 PM,8.344
6/8/2015,10:02:00 PM,8.22
6/8/2015,10:32:00 PM,8.07
6/8/2015,11:02:00 PM,7.92
6/8/2015,11:32:00 PM,7.745
6/9/2015,12:02:00 AM,7.569
6/9/2015,12:32:00 AM,7.393
6/9/2015,1:02:00 AM,7.242
6/9/2015,1:32:00 AM,7.066
6/9/2015,2:02:00 AM,6.914
6/9/2015,2:32:00 AM,6.763
6/9/2015,3:02:00 AM,6.636
6/9/2015,3:32:00 AM,6.509
6/9/2015,4:02:00 AM,6.382
6/9/2015,4:32:00 AM,6.204
6/9/2015,5:02:00 AM,6.077
6/9/2015,5:32:00 AM,5.975
6/9/2015,6:02:00 AM,5.898
6/9/2015,6:32:00 AM,5.796
6/9/2015,7:02:00 AM,5.745
6/9/2015,7:32:00 AM,5.745
6/9/2015,8:02:00 AM,5.693
6/9/2015,8:32:00 AM,5.77
6/9/2015,9:02:00 AM,5.77
6/9/2015,9:32:00 AM,5.872
6/9/2015,10:02:00 AM,6.026
6/9/2015,10:32:00 AM,6.204
6/9/2015,11:02:00 AM,6.255
6/9/2015,11:32:00 AM,6.357
6/9/2015,12:02:00 PM,6.509
6/9/2015,12:32:00 PM,6.636
6/9/2015,1:02:00 PM,6.813
6/9/2015,1:32:00 PM,6.889
6/9/2015,2:02:00 PM,7.015
6/9/2015,2:32:00 PM,7.142
6/9/2015,3:02:00 PM,7.293
6/9/2015,3:32:00 PM,7.469
6/9/2015,4:02:00 PM,7.619
6/9/2015,4:32:00 PM,7.77
6/9/2015,5:02:00 PM,7.795
6/9/2015,5:32:00 PM,7.72
6/9/2015,6:02:00 PM,7.82
6/9/2015,6:32:00 PM,7.87
6/9/2015,7:02:00 PM,7.92
6/9/2015,7:32:00 PM,7.92
6/9/2015,8:02:00 PM,7.945
6/9/2015,8:32:00 PM,7.895
6/9/2015,9:02:00 PM,7.82
6/9/2015,9:32:00 PM,7.77
6/9/2015,10:02:00 PM,7.72
6/9/2015,10:32:00 PM,7.645
6/9/2015,11:02:00 PM,7.569
6/9/2015,11:32:00 PM,7.469
6/10/2015,12:02:00 AM,7.393
6/10/2015,12:32:00 AM,7.318
6/10/2015,1:02:00 AM,7.217
6/10/2015,1:32:00 AM,7.116
6/10/2015,2:02:00 AM,7.015
6/10/2015,2:32:00 AM,6.914
6/10/2015,3:02:00 AM,6.839
6/10/2015,3:32:00 AM,6.737
6/10/2015,4:02:00 AM,6.636
6/10/2015,4:32:00 AM,6.535
6/10/2015,5:02:00 AM,6.433
6/10/2015,5:32:00 AM,6.357
6/10/2015,6:02:00 AM,6.281
6/10/2015,6:32:00 AM,6.23
6/10/2015,7:02:00 AM,6.204
6/10/2015,7:32:00 AM,6.204
6/10/2015,8:02:00 AM,6.23
6/10/2015,8:32:00 AM,6.204
6/10/2015,9:02:00 AM,6.281
6/10/2015,9:32:00 AM,6.408
6/10/2015,10:02:00 AM,6.661
6/10/2015,10:32:00 AM,6.661
6/10/2015,11:02:00 AM,6.864
6/10/2015,11:32:00 AM,7.066
6/10/2015,12:02:00 PM,7.167
6/10/2015,12:32:00 PM,7.268
6/10/2015,1:02:00 PM,7.619
6/10/2015,1:32:00 PM,7.745
6/10/2015,2:02:00 PM,7.87
6/10/2015,2:32:00 PM,8.27
6/10/2015,3:02:00 PM,8.916
6/10/2015,3:32:00 PM,9.336
6/10/2015,4:02:00 PM,9.706
6/10/2015,4:32:00 PM,10.173
6/10/2015,5:02:00 PM,10.785
6/10/2015,5:32:00 PM,11.053
6/10/2015,6:02:00 PM,10.956
6/10/2015,6:32:00 PM,10.98
6/10/2015,7:02:00 PM,10.834
6/10/2015,7:32:00 PM,10.663
6/10/2015,8:02:00 PM,10.369
6/10/2015,8:32:00 PM,9.928
6/10/2015,9:02:00 PM,9.706
6/10/2015,9:32:00 PM,9.485
6/10/2015,10:02:00 PM,9.287
6/10/2015,10:32:00 PM,9.089
6/10/2015,11:02:00 PM,8.916
6/10/2015,11:32:00 PM,8.717
6/11/2015,12:02:00 AM,8.494
6/11/2015,12:32:00 AM,8.27
6/11/2015,1:02:00 AM,8.07
6/11/2015,1:32:00 AM,7.82
6/11/2015,2:02:00 AM,7.67
6/11/2015,2:32:00 AM,7.494
6/11/2015,3:02:00 AM,7.318
6/11/2015,3:32:00 AM,7.142
6/11/2015,4:02:00 AM,6.965
6/11/2015,4:32:00 AM,6.813
6/11/2015,5:02:00 AM,6.687
6/11/2015,5:32:00 AM,6.56
6/11/2015,6:02:00 AM,6.458
6/11/2015,6:32:00 AM,6.382
6/11/2015,7:02:00 AM,6.382
6/11/2015,7:32:00 AM,6.357
6/11/2015,8:02:00 AM,6.331
6/11/2015,8:32:00 AM,6.331
6/11/2015,9:02:00 AM,6.408
6/11/2015,9:32:00 AM,6.484
6/11/2015,10:02:00 AM,6.636
6/11/2015,10:32:00 AM,6.889
6/11/2015,11:02:00 AM,7.041
6/11/2015,11:32:00 AM,7.393
6/11/2015,12:02:00 PM,7.895
6/11/2015,12:32:00 PM,8.12
6/11/2015,1:02:00 PM,8.444
6/11/2015,1:32:00 PM,8.792
6/11/2015,2:02:00 PM,8.99
6/11/2015,2:32:00 PM,9.139
6/11/2015,3:02:00 PM,9.361
6/11/2015,3:32:00 PM,9.805
6/11/2015,4:02:00 PM,9.879
6/11/2015,4:32:00 PM,10.026
6/11/2015,5:02:00 PM,10.443
6/11/2015,5:32:00 PM,10.541
6/11/2015,6:02:00 PM,10.687
6/11/2015,6:32:00 PM,11.029
6/11/2015,7:02:00 PM,10.907
6/11/2015,7:32:00 PM,10.834
6/11/2015,8:02:00 PM,10.565
6/11/2015,8:32:00 PM,10.296
6/11/2015,9:02:00 PM,10.149
6/11/2015,9:32:00 PM,9.977
6/11/2015,10:02:00 PM,9.805
6/11/2015,10:32:00 PM,9.608
6/11/2015,11:02:00 PM,9.41
6/11/2015,11:32:00 PM,9.213
6/12/2015,12:02:00 AM,8.99
6/12/2015,12:32:00 AM,8.767
6/12/2015,1:02:00 AM,8.519
6/12/2015,1:32:00 AM,8.295
6/12/2015,2:02:00 AM,8.07
6/12/2015,2:32:00 AM,7.82
6/12/2015,3:02:00 AM,7.569
6/12/2015,3:32:00 AM,7.318
6/12/2015,4:02:00 AM,7.116
6/12/2015,4:32:00 AM,6.94
6/12/2015,5:02:00 AM,6.813
6/12/2015,5:32:00 AM,6.687
6/12/2015,6:02:00 AM,6.611
6/12/2015,6:32:00 AM,6.535
6/12/2015,7:02:00 AM,6.535
6/12/2015,7:32:00 AM,6.535
6/12/2015,8:02:00 AM,6.56
6/12/2015,8:32:00 AM,6.661
6/12/2015,9:02:00 AM,6.788
