"","siteID","sampleDate","year","month","day","meanT","minT","maxT"
"1","AnchorM","2005-06-29","2005","06","29",16.6740625,14.02,19.63
"2","AnchorM","2005-06-30","2005","06","30",16.4420833333333,14.59,18.73
"3","AnchorM","2005-07-01","2005","07","01",15.7266666666667,14.02,18.73
"4","AnchorM","2005-07-02","2005","07","02",13.9811458333333,12,16.64
"5","AnchorM","2005-07-03","2005","07","03",14.9370833333333,12.57,17.54
"6","AnchorM","2005-07-04","2005","07","04",15.4610416666667,13.44,18.43
"7","AnchorM","2005-07-05","2005","07","05",15.84625,13.73,19.03
"8","AnchorM","2005-07-06","2005","07","06",16.573125,13.44,19.93
"9","AnchorM","2005-07-07","2005","07","07",16.5508333333333,13.73,19.63
"10","AnchorM","2005-07-08","2005","07","08",17.2260416666667,14.31,20.53
"11","AnchorM","2005-07-09","2005","07","09",17.0719791666667,13.73,20.53
"12","AnchorM","2005-07-10","2005","07","10",17.82875,14.89,21.14
"13","AnchorM","2005-07-11","2005","07","11",16.96875,14.31,20.53
"14","AnchorM","2005-07-12","2005","07","12",16.4795833333333,14.31,20.53
"15","AnchorM","2005-07-13","2005","07","13",14.309375,12.57,15.76
"16","AnchorM","2005-07-14","2005","07","14",14.5302083333333,11.71,17.24
"17","AnchorM","2005-07-15","2005","07","15",15.0432291666667,12.28,18.13
"18","AnchorM","2005-07-16","2005","07","16",16.0369791666667,14.31,19.03
"19","AnchorM","2005-07-17","2005","07","17",15.0323958333333,13.44,18.13
"20","AnchorM","2005-07-18","2005","07","18",16.3311458333333,13.44,19.63
"21","AnchorM","2005-07-19","2005","07","19",16.3172916666667,14.31,19.33
"22","AnchorM","2005-07-20","2005","07","20",14.9015625,13.15,18.43
"23","AnchorM","2005-07-21","2005","07","21",16.8291666666667,14.31,19.63
"24","AnchorM","2005-07-22","2005","07","22",16.6484375,13.73,19.33
"25","AnchorM","2005-07-23","2005","07","23",16.1907291666667,12.57,20.23
"26","AnchorM","2005-07-24","2005","07","24",16.0258333333333,14.59,18.13
"27","AnchorM","2005-07-25","2005","07","25",15.01,13.44,16.94
"28","AnchorM","2005-07-26","2005","07","26",14.1523958333333,12.86,15.76
"29","AnchorM","2005-07-27","2005","07","27",13.5752083333333,12.57,15.18
"30","AnchorM","2005-07-28","2005","07","28",13.1640625,10.85,15.76
"31","AnchorM","2005-07-29","2005","07","29",14.2741666666667,12.86,16.06
"32","AnchorM","2005-07-30","2005","07","30",13.6266666666667,11.42,16.06
"33","AnchorM","2005-07-31","2005","07","31",14.065,12.28,16.06
"34","AnchorM","2005-08-01","2005","08","01",14.0048958333333,12.86,16.06
"35","AnchorM","2005-08-02","2005","08","02",12.8205208333333,12,14.02
"36","AnchorM","2005-08-03","2005","08","03",11.833125,11.13,12.57
"37","AnchorM","2005-08-04","2005","08","04",12.6851041666667,11.42,15.47
"38","AnchorM","2005-08-05","2005","08","05",13.4577083333333,11.42,16.06
"39","AnchorM","2005-08-06","2005","08","06",14.3971875,12,16.64
"40","AnchorM","2005-08-07","2005","08","07",14.8186458333333,12.28,17.54
"41","AnchorM","2005-08-08","2005","08","08",15.0220833333333,12.28,18.13
"42","AnchorM","2005-08-09","2005","08","09",15.5616666666667,12.86,18.73
"43","AnchorM","2005-08-10","2005","08","10",15.1769791666667,12,18.73
"44","AnchorM","2005-08-11","2005","08","11",15.0514583333333,12.28,18.43
"45","AnchorM","2005-08-12","2005","08","12",15.5820833333333,12.57,18.73
"46","AnchorM","2005-08-13","2005","08","13",16.1530208333333,14.59,19.33
"47","AnchorM","2005-08-14","2005","08","14",14.1611458333333,13.15,15.47
"48","AnchorM","2005-08-15","2005","08","15",13.9269791666667,12.86,16.35
"49","AnchorM","2005-08-16","2005","08","16",14.3828125,12.86,16.06
"50","AnchorM","2005-08-17","2005","08","17",14.1523958333333,13.15,15.76
"51","AnchorM","2005-08-18","2005","08","18",13.8229166666667,12.86,15.18
"52","AnchorM","2005-08-19","2005","08","19",13.6638541666667,12.28,16.64
"53","AnchorM","2005-08-20","2005","08","20",14.6361458333333,12.57,17.54
"54","AnchorM","2005-08-21","2005","08","21",14.4073958333333,12.86,16.35
"55","AnchorM","2005-08-22","2005","08","22",13.3302083333333,10.56,16.94
"56","AnchorM","2005-08-23","2005","08","23",12.1855208333333,11.42,13.15
"57","AnchorM","2005-08-24","2005","08","24",11.7479166666667,10.56,12.86
"58","AnchorM","2005-08-25","2005","08","25",11.709375,10.27,13.73
"59","AnchorM","2005-08-26","2005","08","26",12.1698958333333,10.56,14.31
"60","AnchorM","2005-08-27","2005","08","27",11.5305208333333,8.84,14.31
"61","AnchorM","2005-08-28","2005","08","28",12.3067708333333,11.13,14.31
"62","AnchorM","2005-08-29","2005","08","29",11.7835416666667,10.56,13.73
"63","AnchorM","2005-08-30","2005","08","30",12.6672916666667,11.42,14.59
"64","AnchorM","2005-08-31","2005","08","31",12.1832291666667,9.99,14.89
"65","AnchorM","2005-09-01","2005","09","01",11.1340625,9.41,12.86
"66","AnchorM","2005-09-02","2005","09","02",10.3208333333333,7.39,13.44
"67","AnchorM","2005-09-03","2005","09","03",10.554375,9.13,12.57
"68","AnchorM","2005-09-04","2005","09","04",9.9740625,9.41,10.56
"69","AnchorM","2005-09-05","2005","09","05",10.0398958333333,9.41,10.85
"70","AnchorM","2005-09-06","2005","09","06",10.3523958333333,9.99,11.42
"71","AnchorM","2005-09-07","2005","09","07",10.4492708333333,9.41,11.71
"72","AnchorM","2005-09-08","2005","09","08",10.193125,8.84,11.71
"73","AnchorM","2005-09-09","2005","09","09",10.4052083333333,9.7,11.71
"74","AnchorM","2005-09-10","2005","09","10",10.2366666666667,9.7,11.13
"75","AnchorM","2005-09-11","2005","09","11",10.2336458333333,9.41,11.13
"76","AnchorM","2005-09-12","2005","09","12",9.82895833333333,9.41,10.85
"77","AnchorM","2005-09-13","2005","09","13",9.8290625,8.84,10.85
"78","AnchorM","2005-09-14","2005","09","14",9.80479166666667,8.55,11.13
"79","AnchorM","2005-09-15","2005","09","15",9.91885416666667,9.41,11.42
"80","AnchorM","2005-09-16","2005","09","16",9.333125,9.13,9.7
"81","AnchorM","2005-09-17","2005","09","17",9.005625,8.26,9.7
"82","AnchorM","2005-09-18","2005","09","18",9.1803125,8.55,9.99
"83","AnchorM","2005-09-19","2005","09","19",8.42145833333333,7.11,9.99
"84","AnchorM","2005-09-20","2005","09","20",7.8884375,6.53,9.13
"85","AnchorM","2005-09-21","2005","09","21",7.6709375,6.24,9.41
"86","AnchorM","2005-06-02","2005","06","02",11.2788541666667,8.26,14.31
"87","AnchorM","2005-06-03","2005","06","03",11.4980208333333,8.55,14.59
"88","AnchorM","2005-06-04","2005","06","04",12.3382291666667,9.41,15.76
"89","AnchorM","2005-06-05","2005","06","05",13.329375,10.27,16.35
"90","AnchorM","2005-06-06","2005","06","06",13.7529166666667,11.42,16.94
"91","AnchorM","2005-06-07","2005","06","07",12.66875,11.13,15.47
"92","AnchorM","2005-06-08","2005","06","08",10.4557291666667,9.41,11.71
