Serial_number:
1024535
Project ID:
SWG FRF
Location:
PJ Low
LEVEL
UNIT: m
Offset: 0.000000 m
Altitude: 0.000000 m
Density: 1.000000 kg/L
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2012/06/02,03:00:00,0,0.7007,21.400
2012/06/02,03:15:00,0,0.6989,21.383
2012/06/02,03:30:00,0,0.6999,21.363
2012/06/02,03:45:00,0,0.6991,21.349
2012/06/02,04:00:00,0,0.6967,21.331
2012/06/02,04:15:00,0,0.6967,21.315
2012/06/02,04:30:00,0,0.6959,21.299
2012/06/02,04:45:00,0,0.6963,21.279
2012/06/02,05:00:00,0,0.6978,21.269
2012/06/02,05:15:00,0,0.6983,21.256
2012/06/02,05:30:00,0,0.6973,21.248
2012/06/02,05:45:00,0,0.6988,21.238
2012/06/02,06:00:00,0,0.6972,21.228
2012/06/02,06:15:00,0,0.6969,21.223
2012/06/02,06:30:00,0,0.7005,21.221
2012/06/02,06:45:00,0,0.6992,21.214
2012/06/02,07:00:00,0,0.7006,21.210
2012/06/02,07:15:00,0,0.7026,21.251
2012/06/02,07:30:00,0,0.7055,21.258
2012/06/02,07:45:00,0,0.7040,21.253
2012/06/02,08:00:00,0,0.7045,21.248
2012/06/02,08:15:00,0,0.7045,21.228
2012/06/02,08:30:00,0,0.7044,21.215
2012/06/02,08:45:00,0,0.7082,21.194
2012/06/02,09:00:00,0,0.7077,21.165
2012/06/02,09:15:00,0,0.7086,21.141
2012/06/02,09:30:00,0,0.7083,21.109
2012/06/02,09:45:00,0,0.7106,21.090
2012/06/02,10:00:00,0,0.7093,21.074
2012/06/02,10:15:00,0,0.7090,21.058
2012/06/02,10:30:00,0,0.7093,21.046
2012/06/02,10:45:00,0,0.7086,21.042
2012/06/02,11:00:00,0,0.7100,21.052
2012/06/02,11:15:00,0,0.7103,21.068
2012/06/02,11:30:00,0,0.7116,21.087
2012/06/02,11:45:00,0,0.7095,21.111
2012/06/02,12:00:00,0,0.7100,21.142
2012/06/02,12:15:00,0,0.7150,21.183
2012/06/02,12:30:00,0,0.7183,21.230
2012/06/02,12:45:00,0,0.7190,21.285
2012/06/02,13:00:00,0,0.7191,21.334
2012/06/02,13:15:00,0,0.7222,21.389
2012/06/02,13:30:00,0,0.7252,21.449
2012/06/02,13:45:00,0,0.7246,21.511
2012/06/02,14:00:00,0,0.7248,21.571
2012/06/02,14:15:00,0,0.7265,21.638
2012/06/02,14:30:00,0,0.7275,21.702
2012/06/02,14:45:00,0,0.7281,21.762
2012/06/02,15:00:00,0,0.7283,21.821
2012/06/02,15:15:00,0,0.7284,21.889
2012/06/02,15:30:00,0,0.7300,21.948
2012/06/02,15:45:00,0,0.7307,22.002
2012/06/02,16:00:00,0,0.7307,22.054
2012/06/02,16:15:00,0,0.7319,22.104
2012/06/02,16:30:00,0,0.7344,22.134
2012/06/02,16:45:00,0,0.7360,22.142
2012/06/02,17:00:00,0,0.7376,22.131
2012/06/02,17:15:00,0,0.7372,22.093
2012/06/02,17:30:00,0,0.7384,22.093
2012/06/02,17:45:00,0,0.7379,22.113
2012/06/02,18:00:00,0,0.7410,22.145
2012/06/02,18:15:00,0,0.7433,22.181
2012/06/02,18:30:00,0,0.7428,22.188
2012/06/02,18:45:00,0,0.7437,22.164
2012/06/02,19:00:00,0,0.7462,22.127
2012/06/02,19:15:00,0,0.7455,22.101
2012/06/02,19:30:00,0,0.7478,22.073
2012/06/02,19:45:00,0,0.7505,22.048
2012/06/02,20:00:00,0,0.7519,22.026
2012/06/02,20:15:00,0,0.7515,22.006
2012/06/02,20:30:00,0,0.7535,21.984
2012/06/02,20:45:00,0,0.7549,21.964
2012/06/02,21:00:00,0,0.7577,21.946
2012/06/02,21:15:00,0,0.7578,21.931
2012/06/02,21:30:00,0,0.7611,21.915
2012/06/02,21:45:00,0,0.7620,21.903
2012/06/02,22:00:00,0,0.7637,21.893
2012/06/02,22:15:00,0,0.7654,21.883
2012/06/02,22:30:00,0,0.7671,21.875
2012/06/02,22:45:00,0,0.7686,21.871
2012/06/02,23:00:00,0,0.7713,21.865
2012/06/02,23:15:00,0,0.7723,21.860
2012/06/02,23:30:00,0,0.7738,21.857
2012/06/02,23:45:00,0,0.7765,21.855
2012/06/03,00:00:00,0,0.7741,21.852
2012/06/03,00:15:00,0,0.7762,21.850
2012/06/03,00:30:00,0,0.7769,21.849
