Serial_number:
1024533
Project ID:
SWG FRF
Location:
PJ Mid
LEVEL
UNIT: m
Offset: 0.000000 m
Altitude: 0.000000 m
Density: 1.000000 kg/L
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2012/06/02,03:00:00,0,0.7033,21.795
2012/06/02,03:15:00,0,0.7027,21.780
2012/06/02,03:30:00,0,0.7031,21.763
2012/06/02,03:45:00,0,0.7014,21.749
2012/06/02,04:00:00,0,0.7010,21.730
2012/06/02,04:15:00,0,0.7009,21.715
2012/06/02,04:30:00,0,0.6996,21.695
2012/06/02,04:45:00,0,0.7008,21.678
2012/06/02,05:00:00,0,0.7010,21.668
2012/06/02,05:15:00,0,0.7015,21.656
2012/06/02,05:30:00,0,0.7024,21.646
2012/06/02,05:45:00,0,0.7021,21.639
2012/06/02,06:00:00,0,0.7025,21.631
2012/06/02,06:15:00,0,0.7023,21.625
2012/06/02,06:30:00,0,0.7034,21.620
2012/06/02,06:45:00,0,0.7035,21.613
2012/06/02,07:00:00,0,0.7042,21.612
2012/06/02,07:15:00,0,0.7076,21.655
2012/06/02,07:30:00,0,0.7089,21.660
2012/06/02,07:45:00,0,0.7098,21.654
2012/06/02,08:00:00,0,0.7099,21.646
2012/06/02,08:15:00,0,0.7102,21.629
2012/06/02,08:30:00,0,0.7108,21.614
2012/06/02,08:45:00,0,0.7115,21.595
2012/06/02,09:00:00,0,0.7120,21.563
2012/06/02,09:15:00,0,0.7121,21.537
2012/06/02,09:30:00,0,0.7133,21.506
2012/06/02,09:45:00,0,0.7134,21.483
2012/06/02,10:00:00,0,0.7142,21.473
2012/06/02,10:15:00,0,0.7138,21.455
2012/06/02,10:30:00,0,0.7140,21.442
2012/06/02,10:45:00,0,0.7133,21.440
2012/06/02,11:00:00,0,0.7146,21.453
2012/06/02,11:15:00,0,0.7145,21.472
2012/06/02,11:30:00,0,0.7146,21.487
2012/06/02,11:45:00,0,0.7135,21.508
2012/06/02,12:00:00,0,0.7152,21.541
2012/06/02,12:15:00,0,0.7176,21.584
2012/06/02,12:30:00,0,0.7208,21.632
2012/06/02,12:45:00,0,0.7212,21.680
2012/06/02,13:00:00,0,0.7203,21.729
2012/06/02,13:15:00,0,0.7245,21.789
2012/06/02,13:30:00,0,0.7272,21.849
2012/06/02,13:45:00,0,0.7269,21.910
2012/06/02,14:00:00,0,0.7280,21.971
2012/06/02,14:15:00,0,0.7294,22.038
2012/06/02,14:30:00,0,0.7302,22.102
2012/06/02,14:45:00,0,0.7304,22.162
2012/06/02,15:00:00,0,0.7308,22.219
2012/06/02,15:15:00,0,0.7302,22.287
2012/06/02,15:30:00,0,0.7313,22.345
2012/06/02,15:45:00,0,0.7315,22.399
2012/06/02,16:00:00,0,0.7324,22.449
2012/06/02,16:15:00,0,0.7335,22.497
2012/06/02,16:30:00,0,0.7355,22.527
2012/06/02,16:45:00,0,0.7373,22.527
2012/06/02,17:00:00,0,0.7387,22.514
2012/06/02,17:15:00,0,0.7381,22.474
2012/06/02,17:30:00,0,0.7388,22.477
2012/06/02,17:45:00,0,0.7404,22.500
2012/06/02,18:00:00,0,0.7422,22.530
2012/06/02,18:15:00,0,0.7437,22.573
2012/06/02,18:30:00,0,0.7453,22.570
2012/06/02,18:45:00,0,0.7472,22.540
2012/06/02,19:00:00,0,0.7476,22.507
2012/06/02,19:15:00,0,0.7468,22.482
2012/06/02,19:30:00,0,0.7500,22.460
2012/06/02,19:45:00,0,0.7532,22.440
2012/06/02,20:00:00,0,0.7545,22.418
2012/06/02,20:15:00,0,0.7549,22.396
2012/06/02,20:30:00,0,0.7560,22.377
2012/06/02,20:45:00,0,0.7580,22.357
2012/06/02,21:00:00,0,0.7607,22.338
2012/06/02,21:15:00,0,0.7626,22.323
2012/06/02,21:30:00,0,0.7646,22.307
2012/06/02,21:45:00,0,0.7662,22.298
2012/06/02,22:00:00,0,0.7684,22.288
2012/06/02,22:15:00,0,0.7692,22.280
2012/06/02,22:30:00,0,0.7715,22.273
2012/06/02,22:45:00,0,0.7740,22.270
2012/06/02,23:00:00,0,0.7758,22.265
2012/06/02,23:15:00,0,0.7771,22.259
2012/06/02,23:30:00,0,0.7783,22.254
2012/06/02,23:45:00,0,0.7799,22.252
2012/06/03,00:00:00,0,0.7779,22.250
2012/06/03,00:15:00,0,0.7815,22.247
2012/06/03,00:30:00,0,0.7809,22.246
2012/06/03,00:45:00,0,0.7827,22.244
2012/06/03,01:00:00,0,0.7829,22.242
2012/06/03,01:15:00,0,0.7836,22.242
2012/06/03,01:30:00,0,0.7845,22.242
2012/06/03,01:45:00,0,0.7833,22.241
2012/06/03,02:00:00,0,0.7840,22.243
2012/06/03,02:15:00,0,0.7836,22.245
2012/06/03,02:30:00,0,0.7844,22.248
2012/06/03,02:45:00,0,0.7842,22.250
2012/06/03,03:00:00,0,0.7860,22.255
2012/06/03,03:15:00,0,0.7858,22.258
2012/06/03,03:30:00,0,0.7842,22.263
2012/06/03,03:45:00,0,0.7856,22.269
2012/06/03,04:00:00,0,0.7858,22.273
2012/06/03,04:15:00,0,0.7859,22.277
2012/06/03,04:30:00,0,0.7856,22.278
2012/06/03,04:45:00,0,0.7865,22.280
2012/06/03,05:00:00,0,0.7862,22.289
2012/06/03,05:15:00,0,0.7860,22.297
2012/06/03,05:30:00,0,0.7875,22.306
2012/06/03,05:45:00,0,0.7862,22.313
2012/06/03,06:00:00,0,0.7879,22.321
2012/06/03,06:15:00,0,0.7900,22.331
2012/06/03,06:30:00,0,0.7904,22.342
2012/06/03,06:45:00,0,0.7911,22.348
2012/06/03,07:00:00,0,0.7908,22.359
2012/06/03,07:15:00,0,0.7925,22.366
2012/06/03,07:30:00,0,0.7934,22.376
2012/06/03,07:45:00,0,0.7938,22.384
2012/06/03,08:00:00,0,0.7951,22.390
2012/06/03,08:15:00,0,0.7973,22.403
2012/06/03,08:30:00,0,0.7968,22.408
2012/06/03,08:45:00,0,0.8006,22.421
2012/06/03,09:00:00,0,0.8013,22.429
2012/06/03,09:15:00,0,0.8020,22.437
2012/06/03,09:30:00,0,0.8039,22.446
2012/06/03,09:45:00,0,0.8049,22.454
2012/06/03,10:00:00,0,0.8050,22.466
2012/06/03,10:15:00,0,0.8080,22.533
2012/06/03,10:30:00,0,0.8069,22.569
2012/06/03,10:45:00,0,0.8096,22.585
2012/06/03,11:00:00,0,0.8105,22.589
2012/06/03,11:15:00,0,0.8105,22.585
2012/06/03,11:30:00,0,0.8119,22.571
2012/06/03,11:45:00,0,0.8123,22.558
2012/06/03,12:00:00,0,0.8134,22.541
2012/06/03,12:15:00,0,0.8164,22.525
2012/06/03,12:30:00,0,0.8164,22.497
2012/06/03,12:45:00,0,0.8169,22.468
2012/06/03,13:00:00,0,0.8204,22.442
2012/06/03,13:15:00,0,0.8219,22.394
2012/06/03,13:30:00,0,0.8228,22.355
2012/06/03,13:45:00,0,0.8243,22.307
2012/06/03,14:00:00,0,0.8246,22.253
2012/06/03,14:15:00,0,0.8277,22.196
2012/06/03,14:30:00,0,0.8297,22.138
2012/06/03,14:45:00,0,0.8303,22.074
2012/06/03,15:00:00,0,0.8252,22.023
2012/06/03,15:15:00,0,0.8317,21.970
2012/06/03,15:30:00,0,0.8340,21.918
2012/06/03,15:45:00,0,0.8353,21.860
2012/06/03,16:00:00,0,0.8363,21.826
2012/06/03,16:15:00,0,0.8360,21.766
2012/06/03,16:30:00,0,0.8340,21.737
2012/06/03,16:45:00,0,0.8353,21.690
2012/06/03,17:00:00,0,0.8353,21.683
2012/06/03,17:15:00,0,0.8355,21.661
2012/06/03,17:30:00,0,0.8339,21.688
2012/06/03,17:45:00,0,0.8309,21.733
2012/06/03,18:00:00,0,0.8347,21.796
2012/06/03,18:15:00,0,0.8358,21.861
2012/06/03,18:30:00,0,0.8335,21.896
2012/06/03,18:45:00,0,0.8323,21.904
2012/06/03,19:00:00,0,0.8327,21.909
2012/06/03,19:15:00,0,0.8321,21.912
2012/06/03,19:30:00,0,0.8318,21.919
2012/06/03,19:45:00,0,0.8301,21.926
2012/06/03,20:00:00,0,0.8319,21.928
2012/06/03,20:15:00,0,0.8317,21.927
2012/06/03,20:30:00,0,0.8319,21.927
2012/06/03,20:45:00,0,0.8318,21.922
2012/06/03,21:00:00,0,0.8320,21.921
2012/06/03,21:15:00,0,0.8337,21.916
2012/06/03,21:30:00,0,0.8335,21.911
2012/06/03,21:45:00,0,0.8340,21.909
2012/06/03,22:00:00,0,0.8336,21.906
2012/06/03,22:15:00,0,0.8360,21.902
2012/06/03,22:30:00,0,0.8362,21.895
2012/06/03,22:45:00,0,0.8375,21.889
2012/06/03,23:00:00,0,0.8374,21.883
2012/06/03,23:15:00,0,0.8378,21.878
2012/06/03,23:30:00,0,0.8366,21.872
2012/06/03,23:45:00,0,0.8362,21.869
2012/06/04,00:00:00,0,0.8352,21.865
2012/06/04,00:15:00,0,0.8353,21.862
2012/06/04,00:30:00,0,0.8352,21.860
2012/06/04,00:45:00,0,0.8365,21.859
2012/06/04,01:00:00,0,0.8361,21.856
2012/06/04,01:15:00,0,0.8352,21.856
2012/06/04,01:30:00,0,0.8360,21.849
2012/06/04,01:45:00,0,0.8357,21.851
2012/06/04,02:00:00,0,0.8362,21.847
2012/06/04,02:15:00,0,0.8354,21.845
2012/06/04,02:30:00,0,0.8352,21.845
2012/06/04,02:45:00,0,0.8346,21.841
2012/06/04,03:00:00,0,0.8356,21.843
2012/06/04,03:15:00,0,0.8343,21.838
2012/06/04,03:30:00,0,0.8334,21.839
2012/06/04,03:45:00,0,0.8325,21.836
2012/06/04,04:00:00,0,0.8318,21.834
2012/06/04,04:15:00,0,0.8304,21.832
2012/06/04,04:30:00,0,0.8300,21.826
2012/06/04,04:45:00,0,0.8290,21.823
2012/06/04,05:00:00,0,0.8297,21.824
2012/06/04,05:15:00,0,0.8306,21.825
2012/06/04,05:30:00,0,0.8295,21.825
2012/06/04,05:45:00,0,0.8303,21.828
2012/06/04,06:00:00,0,0.8307,21.833
2012/06/04,06:15:00,0,0.8300,21.834
2012/06/04,06:30:00,0,0.8303,21.836
2012/06/04,06:45:00,0,0.8300,21.839
2012/06/04,07:00:00,0,0.8303,21.859
2012/06/04,07:15:00,0,0.8338,21.932
2012/06/04,07:30:00,0,0.8334,21.979
2012/06/04,07:45:00,0,0.8329,22.003
2012/06/04,08:00:00,0,0.8331,22.029
2012/06/04,08:15:00,0,0.8329,22.034
2012/06/04,08:30:00,0,0.8323,22.024
2012/06/04,08:45:00,0,0.8329,22.003
2012/06/04,09:00:00,0,0.8317,21.974
2012/06/04,09:15:00,0,0.8317,21.950
2012/06/04,09:30:00,0,0.8327,21.955
2012/06/04,09:45:00,0,0.8333,21.981
2012/06/04,10:00:00,0,0.8347,22.000
2012/06/04,10:15:00,0,0.8338,22.038
2012/06/04,10:30:00,0,0.8345,22.071
2012/06/04,10:45:00,0,0.8341,22.142
