Serial_number:
1024525
Project ID:
SWG FRF
Location:
Star 171 L
LEVEL
UNIT: m
Offset: 0.000000 m
Altitude: 0.000000 m
Density: 1.000000 kg/L
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
2012/06/02,03:00:00,0,0.6892,21.373
2012/06/02,03:15:00,0,0.6879,21.354
2012/06/02,03:30:00,0,0.6884,21.342
2012/06/02,03:45:00,0,0.6864,21.324
2012/06/02,04:00:00,0,0.6876,21.310
2012/06/02,04:15:00,0,0.6854,21.293
2012/06/02,04:30:00,0,0.6854,21.273
2012/06/02,04:45:00,0,0.6853,21.254
2012/06/02,05:00:00,0,0.6872,21.249
2012/06/02,05:15:00,0,0.6857,21.242
2012/06/02,05:30:00,0,0.6887,21.236
2012/06/02,05:45:00,0,0.6869,21.233
2012/06/02,06:00:00,0,0.6886,21.231
2012/06/02,06:15:00,0,0.6888,21.230
2012/06/02,06:30:00,0,0.6891,21.229
2012/06/02,06:45:00,0,0.6868,21.232
2012/06/02,07:00:00,0,0.6886,21.233
2012/06/02,07:15:00,0,0.6932,21.303
2012/06/02,07:30:00,0,0.6937,21.317
2012/06/02,07:45:00,0,0.6948,21.312
2012/06/02,08:00:00,0,0.6959,21.296
2012/06/02,08:15:00,0,0.6961,21.276
2012/06/02,08:30:00,0,0.6965,21.259
2012/06/02,08:45:00,0,0.6964,21.227
2012/06/02,09:00:00,0,0.6968,21.189
2012/06/02,09:15:00,0,0.6975,21.161
2012/06/02,09:30:00,0,0.6982,21.132
2012/06/02,09:45:00,0,0.6992,21.111
2012/06/02,10:00:00,0,0.6996,21.102
2012/06/02,10:15:00,0,0.6999,21.090
2012/06/02,10:30:00,0,0.6999,21.078
2012/06/02,10:45:00,0,0.6988,21.081
2012/06/02,11:00:00,0,0.7003,21.103
2012/06/02,11:15:00,0,0.7011,21.130
2012/06/02,11:30:00,0,0.7021,21.160
2012/06/02,11:45:00,0,0.6988,21.201
2012/06/02,12:00:00,0,0.7022,21.251
2012/06/02,12:15:00,0,0.7045,21.317
2012/06/02,12:30:00,0,0.7073,21.383
2012/06/02,12:45:00,0,0.7084,21.451
2012/06/02,13:00:00,0,0.7083,21.509
2012/06/02,13:15:00,0,0.7124,21.582
2012/06/02,13:30:00,0,0.7148,21.655
2012/06/02,13:45:00,0,0.7152,21.725
2012/06/02,14:00:00,0,0.7167,21.789
2012/06/02,14:15:00,0,0.7174,21.869
2012/06/02,14:30:00,0,0.7187,21.939
2012/06/02,14:45:00,0,0.7183,22.001
2012/06/02,15:00:00,0,0.7193,22.065
2012/06/02,15:15:00,0,0.7189,22.142
2012/06/02,15:30:00,0,0.7209,22.194
2012/06/02,15:45:00,0,0.7207,22.253
2012/06/02,16:00:00,0,0.7212,22.306
2012/06/02,16:15:00,0,0.7229,22.351
2012/06/02,16:30:00,0,0.7243,22.372
2012/06/02,16:45:00,0,0.7269,22.336
2012/06/02,17:00:00,0,0.7274,22.290
2012/06/02,17:15:00,0,0.7272,22.202
2012/06/02,17:30:00,0,0.7270,22.197
2012/06/02,17:45:00,0,0.7281,22.227
2012/06/02,18:00:00,0,0.7308,22.279
2012/06/02,18:15:00,0,0.7328,22.338
2012/06/02,18:30:00,0,0.7350,22.337
2012/06/02,18:45:00,0,0.7346,22.282
2012/06/02,19:00:00,0,0.7351,22.219
2012/06/02,19:15:00,0,0.7350,22.169
2012/06/02,19:30:00,0,0.7366,22.127
2012/06/02,19:45:00,0,0.7409,22.097
2012/06/02,20:00:00,0,0.7412,22.067
2012/06/02,20:15:00,0,0.7419,22.037
2012/06/02,20:30:00,0,0.7421,22.008
2012/06/02,20:45:00,0,0.7426,21.985
2012/06/02,21:00:00,0,0.7475,21.963
2012/06/02,21:15:00,0,0.7489,21.944
2012/06/02,21:30:00,0,0.7499,21.925
2012/06/02,21:45:00,0,0.7523,21.915
2012/06/02,22:00:00,0,0.7539,21.904
2012/06/02,22:15:00,0,0.7562,21.899
2012/06/02,22:30:00,0,0.7571,21.894
2012/06/02,22:45:00,0,0.7589,21.890
2012/06/02,23:00:00,0,0.7612,21.886
2012/06/02,23:15:00,0,0.7622,21.882
2012/06/02,23:30:00,0,0.7643,21.879
2012/06/02,23:45:00,0,0.7655,21.877
2012/06/03,00:00:00,0,0.7639,21.873
2012/06/03,00:15:00,0,0.7670,21.871
2012/06/03,00:30:00,0,0.7667,21.870
2012/06/03,00:45:00,0,0.7683,21.867
2012/06/03,01:00:00,0,0.7692,21.865
2012/06/03,01:15:00,0,0.7691,21.864
2012/06/03,01:30:00,0,0.7698,21.865
2012/06/03,01:45:00,0,0.7697,21.864
2012/06/03,02:00:00,0,0.7705,21.867
2012/06/03,02:15:00,0,0.7695,21.869
2012/06/03,02:30:00,0,0.7699,21.874
2012/06/03,02:45:00,0,0.7700,21.877
2012/06/03,03:00:00,0,0.7716,21.883
2012/06/03,03:15:00,0,0.7719,21.888
2012/06/03,03:30:00,0,0.7710,21.893
2012/06/03,03:45:00,0,0.7716,21.898
2012/06/03,04:00:00,0,0.7714,21.904
2012/06/03,04:15:00,0,0.7719,21.906
2012/06/03,04:30:00,0,0.7720,21.906
2012/06/03,04:45:00,0,0.7725,21.906
2012/06/03,05:00:00,0,0.7721,21.918
2012/06/03,05:15:00,0,0.7722,21.927
2012/06/03,05:30:00,0,0.7720,21.937
2012/06/03,05:45:00,0,0.7738,21.946
2012/06/03,06:00:00,0,0.7737,21.960
2012/06/03,06:15:00,0,0.7767,21.972
2012/06/03,06:30:00,0,0.7771,21.987
2012/06/03,06:45:00,0,0.7779,21.998
2012/06/03,07:00:00,0,0.7776,22.012
2012/06/03,07:15:00,0,0.7789,22.021
2012/06/03,07:30:00,0,0.7803,22.034
2012/06/03,07:45:00,0,0.7801,22.047
2012/06/03,08:00:00,0,0.7835,22.057
2012/06/03,08:15:00,0,0.7831,22.071
2012/06/03,08:30:00,0,0.7843,22.086
2012/06/03,08:45:00,0,0.7885,22.096
2012/06/03,09:00:00,0,0.7867,22.109
2012/06/03,09:15:00,0,0.7883,22.119
2012/06/03,09:30:00,0,0.7894,22.132
2012/06/03,09:45:00,0,0.7905,22.139
2012/06/03,10:00:00,0,0.7932,22.150
2012/06/03,10:15:00,0,0.7955,22.246
2012/06/03,10:30:00,0,0.7946,22.301
2012/06/03,10:45:00,0,0.7976,22.314
2012/06/03,11:00:00,0,0.7980,22.306
2012/06/03,11:15:00,0,0.7976,22.289
2012/06/03,11:30:00,0,0.7983,22.264
2012/06/03,11:45:00,0,0.7988,22.247
2012/06/03,12:00:00,0,0.7993,22.229
2012/06/03,12:15:00,0,0.8029,22.206
2012/06/03,12:30:00,0,0.8034,22.176
2012/06/03,12:45:00,0,0.8014,22.133
2012/06/03,13:00:00,0,0.8060,22.094
2012/06/03,13:15:00,0,0.8062,22.042
2012/06/03,13:30:00,0,0.8074,21.992
2012/06/03,13:45:00,0,0.8095,21.938
2012/06/03,14:00:00,0,0.8095,21.874
2012/06/03,14:15:00,0,0.8122,21.803
2012/06/03,14:30:00,0,0.8142,21.737
2012/06/03,14:45:00,0,0.8152,21.675
2012/06/03,15:00:00,0,0.8101,21.622
2012/06/03,15:15:00,0,0.8154,21.567
2012/06/03,15:30:00,0,0.8173,21.504
2012/06/03,15:45:00,0,0.8189,21.452
2012/06/03,16:00:00,0,0.8210,21.416
2012/06/03,16:15:00,0,0.8185,21.377
2012/06/03,16:30:00,0,0.8184,21.350
2012/06/03,16:45:00,0,0.8192,21.319
2012/06/03,17:00:00,0,0.8188,21.321
2012/06/03,17:15:00,0,0.8210,21.294
2012/06/03,17:30:00,0,0.8185,21.350
2012/06/03,17:45:00,0,0.8154,21.433
2012/06/03,18:00:00,0,0.8195,21.529
2012/06/03,18:15:00,0,0.8222,21.626
2012/06/03,18:30:00,0,0.8179,21.670
2012/06/03,18:45:00,0,0.8173,21.667
2012/06/03,19:00:00,0,0.8188,21.651
2012/06/03,19:15:00,0,0.8168,21.637
2012/06/03,19:30:00,0,0.8177,21.628
2012/06/03,19:45:00,0,0.8152,21.630
2012/06/03,20:00:00,0,0.8177,21.621
2012/06/03,20:15:00,0,0.8155,21.602
2012/06/03,20:30:00,0,0.8176,21.589
2012/06/03,20:45:00,0,0.8194,21.573
2012/06/03,21:00:00,0,0.8163,21.560
2012/06/03,21:15:00,0,0.8184,21.551
2012/06/03,21:30:00,0,0.8183,21.544
2012/06/03,21:45:00,0,0.8199,21.540
2012/06/03,22:00:00,0,0.8185,21.538
2012/06/03,22:15:00,0,0.8195,21.530
2012/06/03,22:30:00,0,0.8205,21.517
2012/06/03,22:45:00,0,0.8221,21.508
2012/06/03,23:00:00,0,0.8221,21.500
2012/06/03,23:15:00,0,0.8217,21.490
2012/06/03,23:30:00,0,0.8209,21.483
2012/06/03,23:45:00,0,0.8208,21.477
2012/06/04,00:00:00,0,0.8202,21.476
2012/06/04,00:15:00,0,0.8198,21.473
2012/06/04,00:30:00,0,0.8199,21.473
2012/06/04,00:45:00,0,0.8205,21.469
2012/06/04,01:00:00,0,0.8207,21.468
2012/06/04,01:15:00,0,0.8195,21.465
2012/06/04,01:30:00,0,0.8215,21.462
2012/06/04,01:45:00,0,0.8199,21.460
2012/06/04,02:00:00,0,0.8203,21.457
2012/06/04,02:15:00,0,0.8203,21.455
2012/06/04,02:30:00,0,0.8200,21.453
2012/06/04,02:45:00,0,0.8189,21.453
2012/06/04,03:00:00,0,0.8196,21.451
2012/06/04,03:15:00,0,0.8190,21.449
2012/06/04,03:30:00,0,0.8176,21.449
2012/06/04,03:45:00,0,0.8167,21.445
2012/06/04,04:00:00,0,0.8155,21.444
2012/06/04,04:15:00,0,0.8141,21.440
2012/06/04,04:30:00,0,0.8142,21.435
2012/06/04,04:45:00,0,0.8129,21.431
2012/06/04,05:00:00,0,0.8134,21.438
2012/06/04,05:15:00,0,0.8143,21.444
2012/06/04,05:30:00,0,0.8139,21.447
2012/06/04,05:45:00,0,0.8138,21.451
2012/06/04,06:00:00,0,0.8143,21.455
2012/06/04,06:15:00,0,0.8143,21.460
2012/06/04,06:30:00,0,0.8140,21.466
2012/06/04,06:45:00,0,0.8143,21.471
2012/06/04,07:00:00,0,0.8146,21.503
2012/06/04,07:15:00,0,0.8182,21.617
2012/06/04,07:30:00,0,0.8183,21.698
2012/06/04,07:45:00,0,0.8163,21.731
2012/06/04,08:00:00,0,0.8165,21.761
2012/06/04,08:15:00,0,0.8177,21.762
2012/06/04,08:30:00,0,0.8162,21.736
2012/06/04,08:45:00,0,0.8182,21.694
2012/06/04,09:00:00,0,0.8159,21.630
2012/06/04,09:15:00,0,0.8156,21.592
2012/06/04,09:30:00,0,0.8174,21.613
2012/06/04,09:45:00,0,0.8183,21.653
2012/06/04,10:00:00,0,0.8178,21.683
