"Plot Title: DEEP-b"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9913534, SEN S/N: 9913534)","Host Connected (LGR S/N: 9913534)"
1,07/31/17 06:00:00 PM,73.558,
2,07/31/17 06:15:00 PM,73.472,
3,07/31/17 06:30:00 PM,73.386,
4,07/31/17 06:45:00 PM,73.299,
5,07/31/17 07:00:00 PM,73.213,
6,07/31/17 07:15:00 PM,73.126,
7,07/31/17 07:30:00 PM,73.040,
8,07/31/17 07:45:00 PM,72.997,
9,07/31/17 08:00:00 PM,72.912,
10,07/31/17 08:15:00 PM,72.869,
11,07/31/17 08:30:00 PM,72.783,
12,07/31/17 08:45:00 PM,72.739,
13,07/31/17 09:00:00 PM,72.696,
14,07/31/17 09:15:00 PM,72.610,
15,07/31/17 09:30:00 PM,72.567,
16,07/31/17 09:45:00 PM,72.480,
17,07/31/17 10:00:00 PM,72.437,
18,07/31/17 10:15:00 PM,72.351,
19,07/31/17 10:30:00 PM,72.307,
20,07/31/17 10:45:00 PM,72.264,
21,07/31/17 11:00:00 PM,72.178,
22,07/31/17 11:15:00 PM,72.136,
23,07/31/17 11:30:00 PM,72.093,
24,07/31/17 11:45:00 PM,72.007,
25,08/01/17 12:00:00 AM,71.964,
26,08/01/17 12:15:00 AM,71.877,
27,08/01/17 12:30:00 AM,71.834,
28,08/01/17 12:45:00 AM,71.791,
29,08/01/17 01:00:00 AM,71.704,
30,08/01/17 01:15:00 AM,71.661,
31,08/01/17 01:30:00 AM,71.620,
32,08/01/17 01:45:00 AM,71.533,
33,08/01/17 02:00:00 AM,71.490,
34,08/01/17 02:15:00 AM,71.404,
35,08/01/17 02:30:00 AM,71.361,
36,08/01/17 02:45:00 AM,71.274,
37,08/01/17 03:00:00 AM,71.231,
38,08/01/17 03:15:00 AM,71.146,
39,08/01/17 03:30:00 AM,71.103,
40,08/01/17 03:45:00 AM,71.017,
41,08/01/17 04:00:00 AM,70.974,
42,08/01/17 04:15:00 AM,70.887,
43,08/01/17 04:30:00 AM,70.846,
44,08/01/17 04:45:00 AM,70.803,
45,08/01/17 05:00:00 AM,70.716,
46,08/01/17 05:15:00 AM,70.673,
47,08/01/17 05:30:00 AM,70.587,
48,08/01/17 05:45:00 AM,70.543,
49,08/01/17 06:00:00 AM,70.502,
50,08/01/17 06:15:00 AM,70.416,
51,08/01/17 06:30:00 AM,70.372,
52,08/01/17 06:45:00 AM,70.329,
53,08/01/17 07:00:00 AM,70.243,
54,08/01/17 07:15:00 AM,70.201,
55,08/01/17 07:30:00 AM,70.158,
56,08/01/17 07:45:00 AM,70.115,
57,08/01/17 08:00:00 AM,70.072,
58,08/01/17 08:15:00 AM,70.029,
59,08/01/17 08:30:00 AM,69.985,
60,08/01/17 08:45:00 AM,69.942,
61,08/01/17 09:00:00 AM,69.858,
62,08/01/17 09:15:00 AM,70.029,
63,08/01/17 09:30:00 AM,70.201,
64,08/01/17 09:45:00 AM,70.201,
65,08/01/17 10:00:00 AM,70.243,
66,08/01/17 10:15:00 AM,70.329,
67,08/01/17 10:30:00 AM,70.459,
68,08/01/17 10:45:00 AM,70.587,
69,08/01/17 11:00:00 AM,70.716,
70,08/01/17 11:15:00 AM,70.846,
71,08/01/17 11:30:00 AM,71.017,
72,08/01/17 11:45:00 AM,71.231,
73,08/01/17 12:00:00 PM,71.490,
74,08/01/17 12:15:00 PM,71.704,
75,08/01/17 12:30:00 PM,71.834,
76,08/01/17 12:45:00 PM,71.964,
77,08/01/17 01:00:00 PM,72.093,
78,08/01/17 01:15:00 PM,72.178,
79,08/01/17 01:30:00 PM,72.307,
80,08/01/17 01:45:00 PM,72.394,
81,08/01/17 02:00:00 PM,72.480,
82,08/01/17 02:15:00 PM,72.567,
83,08/01/17 02:30:00 PM,72.696,
84,08/01/17 02:45:00 PM,72.783,
85,08/01/17 03:00:00 PM,72.912,
86,08/01/17 03:15:00 PM,72.997,
87,08/01/17 03:30:00 PM,73.083,
