sampleDate,sampleTime,Temperature
2015-06-22,13:45:12,11.77
2015-06-22,14:00:12,11.92
2015-06-22,14:15:12,12.09
2015-06-22,14:30:12,12.24
2015-06-22,14:45:12,12.3
2015-06-22,15:00:12,12.43
2015-06-22,15:15:12,12.41
2015-06-22,15:30:12,12.45
2015-06-22,15:45:12,12.65
2015-06-22,16:00:12,12.58
2015-06-22,16:15:12,12.52
2015-06-22,16:30:12,12.52
2015-06-22,16:45:12,12.57
2015-06-22,17:00:12,12.55
2015-06-22,17:15:12,12.57
2015-06-22,17:30:12,12.41
2015-06-22,17:45:12,12.3
2015-06-22,18:00:12,12.2
2015-06-22,18:15:12,12.13
2015-06-22,18:30:12,12.08
2015-06-22,18:45:12,11.98
2015-06-22,19:00:12,11.89
2015-06-22,19:15:12,11.71
2015-06-22,19:30:12,11.79
2015-06-22,19:45:12,11.52
2015-06-22,20:00:12,11.58
2015-06-22,20:15:12,11.42
2015-06-22,20:30:12,11.35
2015-06-22,20:45:12,11.18
2015-06-22,21:00:12,11.22
2015-06-22,21:15:12,11.13
2015-06-22,21:30:12,11.14
2015-06-22,21:45:12,11.01
2015-06-22,22:00:12,10.89
2015-06-22,22:15:12,10.92
2015-06-22,22:30:12,10.81
2015-06-22,22:45:12,10.84
2015-06-22,23:00:12,10.79
2015-06-22,23:15:12,10.8
2015-06-22,23:30:12,10.72
2015-06-22,23:45:12,10.85
2015-06-23,0:00:12,10.79
2015-06-23,0:15:12,10.69
2015-06-23,0:30:12,10.67
2015-06-23,0:45:12,10.64
2015-06-23,1:00:12,10.67
2015-06-23,1:15:12,10.57
2015-06-23,1:30:12,10.63
2015-06-23,1:45:12,10.61
2015-06-23,2:00:12,10.51
2015-06-23,2:15:12,10.43
2015-06-23,2:30:12,10.52
2015-06-23,2:45:12,10.45
2015-06-23,3:00:12,10.42
2015-06-23,3:15:12,10.37
2015-06-23,3:30:12,10.26
2015-06-23,3:45:12,10.34
2015-06-23,4:00:12,10.37
2015-06-23,4:15:12,10.27
2015-06-23,4:30:12,10.26
2015-06-23,4:45:12,10.17
2015-06-23,5:00:12,10.16
2015-06-23,5:15:12,10.09
2015-06-23,5:30:12,9.94
2015-06-23,5:45:12,10.13
2015-06-23,6:00:12,10.05
2015-06-23,6:15:12,9.85
2015-06-23,6:30:12,10
2015-06-23,6:45:12,9.99
2015-06-23,7:00:12,9.95
2015-06-23,7:15:12,9.83
2015-06-23,7:30:12,9.87
2015-06-23,7:45:12,9.87
2015-06-23,8:00:12,9.8
2015-06-23,8:15:12,9.83
2015-06-23,8:30:12,9.8
2015-06-23,8:45:12,9.94
2015-06-23,9:00:12,10.05
2015-06-23,9:15:12,9.91
2015-06-23,9:30:12,10.08
2015-06-23,9:45:12,10.11
2015-06-23,10:00:12,10.2
2015-06-23,10:15:12,10.31
2015-06-23,10:30:12,10.37
2015-06-23,10:45:12,10.45
2015-06-23,11:00:12,10.72
2015-06-23,11:15:12,10.78
2015-06-23,11:30:12,11.02
2015-06-23,11:45:12,11.12
2015-06-23,12:00:12,11.31
2015-06-23,12:15:12,11.46
2015-06-23,12:30:12,11.62
2015-06-23,12:45:12,11.63
2015-06-23,13:00:12,11.68
2015-06-23,13:15:12,11.73
2015-06-23,13:30:12,11.72
2015-06-23,13:45:12,11.73
2015-06-23,14:00:12,11.81
2015-06-23,14:15:12,11.92
2015-06-23,14:30:12,11.72
2015-06-23,14:45:12,11.81
2015-06-23,15:00:12,11.83
2015-06-23,15:15:12,12.13
2015-06-23,15:30:12,11.97
2015-06-23,15:45:12,12.1
2015-06-23,16:00:12,12.08
2015-06-23,16:15:12,12.17
2015-06-23,16:30:12,12.15
2015-06-23,16:45:12,12.21
2015-06-23,17:00:12,12.31
2015-06-23,17:15:12,12.37
2015-06-23,17:30:12,12.45
2015-06-23,17:45:12,12.3
2015-06-23,18:00:12,12.37
2015-06-23,18:15:12,12.4
2015-06-23,18:30:12,12.37
2015-06-23,18:45:12,12.31
2015-06-23,19:00:12,12.38
2015-06-23,19:15:12,12.28
2015-06-23,19:30:12,12.11
2015-06-23,19:45:12,12.08
2015-06-23,20:00:12,12.14
2015-06-23,20:15:12,11.97
2015-06-23,20:30:12,11.94
2015-06-23,20:45:12,11.96
2015-06-23,21:00:12,11.78
2015-06-23,21:15:12,11.77
2015-06-23,21:30:12,11.65
2015-06-23,21:45:12,11.6
2015-06-23,22:00:12,11.41
2015-06-23,22:15:12,11.31
2015-06-23,22:30:12,11.17
2015-06-23,22:45:12,11.22
2015-06-23,23:00:12,11.07
2015-06-23,23:15:12,11.06
2015-06-23,23:30:12,10.91
2015-06-23,23:45:12,10.9
2015-06-24,0:00:12,10.74
2015-06-24,0:15:12,10.84
2015-06-24,0:30:12,10.79
2015-06-24,0:45:12,10.63
2015-06-24,1:00:12,10.58
2015-06-24,1:15:12,10.53
2015-06-24,1:30:12,10.46
2015-06-24,1:45:12,10.48
2015-06-24,2:00:12,10.5
2015-06-24,2:15:12,10.42
2015-06-24,2:30:12,10.25
2015-06-24,2:45:12,10.33
2015-06-24,3:00:12,10.26
2015-06-24,3:15:12,10.33
2015-06-24,3:30:12,10.07
2015-06-24,3:45:12,10.21
2015-06-24,4:00:12,10.11
2015-06-24,4:15:12,10.04
2015-06-24,4:30:12,10.06
2015-06-24,4:45:12,10.01
2015-06-24,5:00:12,9.97
2015-06-24,5:15:12,9.83
2015-06-24,5:30:12,10.03
2015-06-24,5:45:12,9.86
2015-06-24,6:00:12,9.8
2015-06-24,6:15:12,9.7
2015-06-24,6:30:12,9.81
2015-06-24,6:45:12,9.81
2015-06-24,7:00:12,9.63
2015-06-24,7:15:12,9.77
2015-06-24,7:30:12,9.83
2015-06-24,7:45:12,9.71
2015-06-24,8:00:12,9.7
2015-06-24,8:15:12,9.75
2015-06-24,8:30:12,9.71
2015-06-24,8:45:12,9.78
2015-06-24,9:00:12,9.68
2015-06-24,9:15:12,9.89
2015-06-24,9:30:12,9.81
2015-06-24,9:45:12,9.91
2015-06-24,10:00:12,9.92
2015-06-24,10:15:12,10.05
2015-06-24,10:30:12,10.15
2015-06-24,10:45:12,10.3
2015-06-24,11:00:12,10.57
2015-06-24,11:15:12,10.64
2015-06-24,11:30:12,10.67
2015-06-24,11:45:12,10.81
2015-06-24,12:00:12,10.94
2015-06-24,12:15:12,11.07
2015-06-24,12:30:12,11.25
2015-06-24,12:45:12,11.32
2015-06-24,13:00:12,11.46
2015-06-24,13:15:12,11.63
2015-06-24,13:30:12,11.7
2015-06-24,13:45:12,11.76
2015-06-24,14:00:12,11.81
2015-06-24,14:15:12,11.81
2015-06-24,14:30:13,11.95
2015-06-24,14:45:13,11.98
2015-06-24,15:00:13,12.19
2015-06-24,15:15:13,12.45
2015-06-24,15:30:13,12.6
2015-06-24,15:45:13,12.52
2015-06-24,16:00:13,12.53
2015-06-24,16:15:13,12.56
2015-06-24,16:30:13,12.53
2015-06-24,16:45:13,12.37
2015-06-24,17:00:13,12.47
2015-06-24,17:15:13,12.59
2015-06-24,17:30:13,12.73
2015-06-24,17:45:13,12.57
2015-06-24,18:00:13,12.55
2015-06-24,18:15:13,12.47
2015-06-24,18:30:13,12.44
2015-06-24,18:45:13,12.57
2015-06-24,19:00:13,12.52
2015-06-24,19:15:13,12.53
2015-06-24,19:30:13,12.36
2015-06-24,19:45:13,12.4
2015-06-24,20:00:13,12.29
2015-06-24,20:15:13,12.27
2015-06-24,20:30:13,12.09
2015-06-24,20:45:13,12.07
2015-06-24,21:00:13,12.12
2015-06-24,21:15:13,12.12
2015-06-24,21:30:13,11.96
2015-06-24,21:45:13,11.98
2015-06-24,22:00:13,11.86
2015-06-24,22:15:13,11.77
2015-06-24,22:30:13,11.65
2015-06-24,22:45:13,11.57
2015-06-24,23:00:13,11.36
2015-06-24,23:15:13,11.42
2015-06-24,23:30:13,11.38
2015-06-24,23:45:13,11.24
2015-06-25,0:00:13,11.14
2015-06-25,0:15:13,10.97
2015-06-25,0:30:13,10.92
2015-06-25,0:45:13,10.86
2015-06-25,1:00:13,10.92
2015-06-25,1:15:13,11.01
2015-06-25,1:30:13,10.86
2015-06-25,1:45:13,10.74
2015-06-25,2:00:13,10.61
2015-06-25,2:15:13,10.72
2015-06-25,2:30:13,10.72
2015-06-25,2:45:13,10.59
2015-06-25,3:00:13,10.42
2015-06-25,3:15:13,10.4
2015-06-25,3:30:13,10.3
2015-06-25,3:45:13,10.39
2015-06-25,4:00:13,10.37
2015-06-25,4:15:13,10.39
2015-06-25,4:30:13,10.35
2015-06-25,4:45:13,10.29
2015-06-25,5:00:13,10.29
2015-06-25,5:15:13,10.33
2015-06-25,5:30:13,10.31
2015-06-25,5:45:13,10.4
2015-06-25,6:00:13,10.37
2015-06-25,6:15:13,10.3
2015-06-25,6:30:13,10.23
2015-06-25,6:45:13,10.28
2015-06-25,7:00:13,10.29
2015-06-25,7:15:13,10.26
2015-06-25,7:30:13,10.23
2015-06-25,7:45:13,10.28
2015-06-25,8:00:13,10.29
2015-06-25,8:15:13,10.33
2015-06-25,8:30:13,10.4
2015-06-25,8:45:13,10.45
2015-06-25,9:00:13,10.4
2015-06-25,9:15:13,10.43
2015-06-25,9:30:13,10.48
2015-06-25,9:45:13,10.54
2015-06-25,10:00:13,10.54
2015-06-25,10:15:13,10.56
2015-06-25,10:30:13,10.68
2015-06-25,10:45:13,10.56
2015-06-25,11:00:13,10.81
2015-06-25,11:15:13,10.88
2015-06-25,11:30:13,10.97
2015-06-25,11:45:13,11.03
2015-06-25,12:00:13,10.96
2015-06-25,12:15:13,11.07
2015-06-25,12:30:13,11.13
2015-06-25,12:45:13,11.25
2015-06-25,13:00:13,11.33
2015-06-25,13:15:13,11.53
2015-06-25,13:30:13,11.49
2015-06-25,13:45:13,11.46
2015-06-25,14:00:13,11.59
2015-06-25,14:15:13,11.65
2015-06-25,14:30:13,11.63
2015-06-25,14:45:13,11.71
2015-06-25,15:00:13,11.73
2015-06-25,15:15:13,11.77
2015-06-25,15:30:13,11.76
2015-06-25,15:45:13,11.84
2015-06-25,16:00:13,11.81
2015-06-25,16:15:13,11.84
2015-06-25,16:30:13,11.86
2015-06-25,16:45:13,12.08
2015-06-25,17:00:13,12.03
2015-06-25,17:15:13,12
2015-06-25,17:30:13,11.87
2015-06-25,17:45:13,12
2015-06-25,18:00:13,11.89
2015-06-25,18:15:13,11.84
2015-06-25,18:30:13,11.93
2015-06-25,18:45:13,11.92
2015-06-25,19:00:13,11.78
2015-06-25,19:15:13,11.78
2015-06-25,19:30:13,11.63
2015-06-25,19:45:13,11.58
2015-06-25,20:00:13,11.65
2015-06-25,20:15:13,11.44
2015-06-25,20:30:13,11.46
2015-06-25,20:45:13,11.38
2015-06-25,21:00:13,11.46
2015-06-25,21:15:13,11.45
2015-06-25,21:30:13,11.35
2015-06-25,21:45:13,11.21
2015-06-25,22:00:13,11.15
2015-06-25,22:15:13,11.2
2015-06-25,22:30:13,11.14
2015-06-25,22:45:13,11.02
2015-06-25,23:00:13,11.02
2015-06-25,23:15:13,10.95
2015-06-25,23:30:13,10.79
2015-06-25,23:45:13,10.82
2015-06-26,0:00:13,10.61
2015-06-26,0:15:13,10.6
2015-06-26,0:30:13,10.54
2015-06-26,0:45:13,10.58
2015-06-26,1:00:13,10.47
2015-06-26,1:15:13,10.5
2015-06-26,1:30:13,10.47
2015-06-26,1:45:13,10.47
2015-06-26,2:00:13,10.47
2015-06-26,2:15:13,10.29
2015-06-26,2:30:13,10.3
2015-06-26,2:45:13,10.34
2015-06-26,3:00:13,10.33
2015-06-26,3:15:13,10.3
2015-06-26,3:30:13,10.22
2015-06-26,3:45:13,10.22
2015-06-26,4:00:13,10.18
2015-06-26,4:15:13,10.12
2015-06-26,4:30:13,10.1
2015-06-26,4:45:13,9.98
2015-06-26,5:00:13,10.04
2015-06-26,5:15:13,10.03
2015-06-26,5:30:13,10.05
2015-06-26,5:45:13,10.03
2015-06-26,6:00:13,9.95
2015-06-26,6:15:13,9.83
2015-06-26,6:30:13,9.93
2015-06-26,6:45:13,9.84
2015-06-26,7:00:13,9.86
2015-06-26,7:15:13,9.9
2015-06-26,7:30:13,10.09
2015-06-26,7:45:13,10.11
2015-06-26,8:00:13,9.97
2015-06-26,8:15:13,10.03
2015-06-26,8:30:13,10.05
2015-06-26,8:45:13,10.05
2015-06-26,9:00:13,10.21
2015-06-26,9:15:13,10.24
2015-06-26,9:30:13,10.22
2015-06-26,9:45:13,10.25
2015-06-26,10:00:13,10.41
2015-06-26,10:15:13,10.29
2015-06-26,10:30:13,10.41
2015-06-26,10:45:13,10.36
2015-06-26,11:00:13,10.45
2015-06-26,11:15:13,10.42
2015-06-26,11:30:13,10.46
2015-06-26,11:45:13,10.56
2015-06-26,12:00:13,10.67
2015-06-26,12:15:13,10.53
2015-06-26,12:30:13,10.58
2015-06-26,12:45:13,10.78
2015-06-26,13:00:13,10.69
2015-06-26,13:15:13,10.66
2015-06-26,13:30:13,10.69
2015-06-26,13:45:13,10.6
2015-06-26,14:00:13,10.69
2015-06-26,14:15:13,10.7
2015-06-26,14:30:13,10.64
2015-06-26,14:45:13,10.84
