sampleDate,sampleTime,Temperature
2016-05-12,10:45:00,6.11
2016-05-12,11:00:00,6.24
2016-05-12,11:15:00,6.37
2016-05-12,11:30:00,6.49
2016-05-12,11:45:00,6.63
2016-05-12,12:00:00,6.76
2016-05-12,12:15:00,6.9
2016-05-12,12:30:00,7.03
2016-05-12,12:45:00,7.16
2016-05-12,13:00:00,7.3
2016-05-12,13:15:00,7.42
2016-05-12,13:30:00,7.54
2016-05-12,13:45:00,7.65
2016-05-12,14:00:00,7.74
2016-05-12,14:15:00,7.82
2016-05-12,14:30:00,7.88
2016-05-12,14:45:00,7.93
2016-05-12,15:00:00,7.96
2016-05-12,15:15:00,7.98
2016-05-12,15:30:00,7.99
2016-05-12,15:45:00,7.99
2016-05-12,16:00:00,7.99
2016-05-12,16:15:00,7.99
2016-05-12,16:30:00,7.97
2016-05-12,16:45:00,7.94
2016-05-12,17:00:00,7.9
2016-05-12,17:15:00,7.85
2016-05-12,17:30:00,7.79
2016-05-12,17:45:00,7.75
2016-05-12,18:00:00,7.71
2016-05-12,18:15:00,7.65
2016-05-12,18:30:00,7.57
2016-05-12,18:45:00,7.48
2016-05-12,19:00:00,7.4
2016-05-12,19:15:00,7.31
2016-05-12,19:30:00,7.23
2016-05-12,19:45:00,7.14
2016-05-12,20:00:00,7.06
2016-05-12,20:15:00,6.99
2016-05-12,20:30:00,6.93
2016-05-12,20:45:00,6.88
2016-05-12,21:00:00,6.82
2016-05-12,21:15:00,6.75
2016-05-12,21:30:00,6.69
2016-05-12,21:45:00,6.62
2016-05-12,22:00:00,6.58
2016-05-12,22:15:00,6.57
2016-05-12,22:30:00,6.58
2016-05-12,22:45:00,6.63
2016-05-12,23:00:00,6.69
2016-05-12,23:15:00,6.72
2016-05-12,23:30:00,6.72
2016-05-12,23:45:00,6.7
2016-05-13,0:00:00,6.65
2016-05-13,0:15:00,6.6
2016-05-13,0:30:00,6.54
2016-05-13,0:45:00,6.5
2016-05-13,1:00:00,6.46
2016-05-13,1:15:00,6.41
2016-05-13,1:30:00,6.38
2016-05-13,1:45:00,6.34
2016-05-13,2:00:00,6.31
2016-05-13,2:15:00,6.28
2016-05-13,2:30:00,6.26
2016-05-13,2:45:00,6.25
2016-05-13,3:00:00,6.24
2016-05-13,3:15:00,6.23
2016-05-13,3:30:00,6.22
2016-05-13,3:45:00,6.2
2016-05-13,4:00:00,6.18
2016-05-13,4:15:00,6.14
2016-05-13,4:30:00,6.1
2016-05-13,4:45:00,6.07
2016-05-13,5:00:00,6.05
2016-05-13,5:15:00,6.03
2016-05-13,5:30:00,6.01
2016-05-13,5:45:00,5.97
2016-05-13,6:00:00,5.94
2016-05-13,6:15:00,5.9
2016-05-13,6:30:00,5.87
2016-05-13,6:45:00,5.86
2016-05-13,7:00:00,5.84
2016-05-13,7:15:00,5.85
2016-05-13,7:30:00,5.86
2016-05-13,7:45:00,5.88
2016-05-13,8:00:00,5.92
2016-05-13,8:15:00,5.97
2016-05-13,8:30:00,6.02
2016-05-13,8:45:00,6.08
2016-05-13,9:00:00,6.14
2016-05-13,9:15:00,6.21
2016-05-13,9:30:00,6.27
2016-05-13,9:45:00,6.34
2016-05-13,10:00:00,6.42
2016-05-13,10:15:00,6.51
2016-05-13,10:30:00,6.62
2016-05-13,10:45:00,6.73
2016-05-13,11:00:00,6.83
2016-05-13,11:15:00,6.94
2016-05-13,11:30:00,7.05
2016-05-13,11:45:00,7.17
2016-05-13,12:00:00,7.29
2016-05-13,12:15:00,7.43
2016-05-13,12:30:00,7.58
2016-05-13,12:45:00,7.71
2016-05-13,13:00:00,7.83
2016-05-13,13:15:00,7.91
2016-05-13,13:30:00,8
2016-05-13,13:45:00,8.11
2016-05-13,14:00:00,8.22
2016-05-13,14:15:00,8.36
2016-05-13,14:30:00,8.49
2016-05-13,14:45:00,8.62
2016-05-13,15:00:00,8.76
2016-05-13,15:15:00,8.9
2016-05-13,15:30:00,9.02
2016-05-13,15:45:00,9.11
2016-05-13,16:00:00,9.19
2016-05-13,16:15:00,9.27
2016-05-13,16:30:00,9.34
2016-05-13,16:45:00,9.4
2016-05-13,17:00:00,9.46
2016-05-13,17:15:00,9.53
2016-05-13,17:30:00,9.6
2016-05-13,17:45:00,9.64
2016-05-13,18:00:00,9.63
2016-05-13,18:15:00,9.62
2016-05-13,18:30:00,9.63
2016-05-13,18:45:00,9.68
2016-05-13,19:00:00,9.69
