"agency_cd","site_no","Date","max_temp","max_temp_flag","min_temp","min_temp_flag","mean_temp","mean_temp_flag"
"USGS",15258000,2002-12-21,3,"A",2.5,"A",2.5,"A"
"USGS",15258000,2002-12-22,3,"A",2,"A",2.5,"A"
"USGS",15258000,2002-12-23,3,"A",2,"A",2.5,"A"
"USGS",15258000,2002-12-24,3,"A",2,"A",2.5,"A"
"USGS",15258000,2002-12-25,2.5,"A",1.5,"A",2,"A"
"USGS",15258000,2002-12-26,2.5,"A",1.5,"A",2,"A"
"USGS",15258000,2002-12-27,2,"A",1,"A",1.5,"A"
"USGS",15258000,2002-12-28,2.5,"A",1,"A",1.5,"A"
"USGS",15258000,2002-12-29,2.5,"A",1.5,"A",2,"A"
"USGS",15258000,2002-12-30,2,"A",1.5,"A",2,"A"
"USGS",15258000,2002-12-31,2,"A",1,"A",1.5,"A"
"USGS",15258000,2003-01-01,2,"A",1,"A",1.5,"A"
"USGS",15258000,2003-01-02,2,"A",0.5,"A",1.5,"A"
"USGS",15258000,2003-01-03,1.5,"A",0.5,"A",1,"A"
"USGS",15258000,2003-01-04,1.5,"A",0.5,"A",1,"A"
"USGS",15258000,2003-01-05,1,"A",0,"A",0.5,"A"
"USGS",15258000,2003-01-06,1,"A",0,"A",0.5,"A"
"USGS",15258000,2003-01-28,2,"A",1,"A",1.5,"A"
"USGS",15258000,2003-01-29,2,"A",0.5,"A",1.5,"A"
"USGS",15258000,2003-01-30,2.5,"A",1.5,"A",2,"A"
"USGS",15258000,2003-01-31,2,"A",1.5,"A",2,"A"
"USGS",15258000,2003-02-01,2,"A",1.5,"A",1.5,"A"
"USGS",15258000,2003-02-02,2,"A",1,"A",1.5,"A"
"USGS",15258000,2003-02-03,2.5,"A",1.5,"A",2,"A"
"USGS",15258000,2003-02-04,2.5,"A",2,"A",2,"A"
"USGS",15258000,2003-02-05,2.5,"A",2,"A",2,"A"
"USGS",15258000,2003-02-06,2.5,"A",1.5,"A",2,"A"
"USGS",15258000,2003-02-07,2.5,"A",1.5,"A",2,"A"
