FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,loc_id,accs_sitei,contact_si,descriptio,latitude,longitude,datum,contact_id,gridcode,rca_id,elev_mean,elev_min,elev_max,OBJECTID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng,Shape_Le_1,Shape_Area
0,1,1,1,1,1,CIK14,AnchorM,Anchor mainstem below confluence of North and South Forks,59.772117,-151.834917, ,1,934,934,30.63916482,7.341513157,59.72710419,1,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
1,1,2,1,2,2,AR2,AR2,AR2,59.718333,-151.64095, ,1,1100,1100,124.5494041,109.4899979,169.8000031,2,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
2,1,3,1,3,3,CIK7,Beaver,above confluence with South Fork on Beaver Creek,59.75205,-151.510383, ,1,1012,1012,194.2976409,175.9191895,229.3261414,3,{D94DCEF8-A22A-4914-8E9D-3768A3E5267B},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,12804,51.81425811,AK,1.90203E+11,Beaver Creek,S,NM,1.90203E+11,0,0,0.688502303,48336.92143,51813948.83
3,1,4,1,4,4,CIK4,Chakok,above confluence with North Fork,59.8095,-151.724883, ,1,426,426,88.6043556,69.47024536,121.0699997,4,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
4,1,5,1,5,5,CIK8,East,East Anchor River subwatershed boundary,59.752733,-151.510867, ,1,937,937,194.2406708,175.7855835,269.382782,5,{68DA53F7-58B5-4BF8-935A-B292BB28B6B6},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,39796,161.0462746,AK,1.90203E+11,Headwaters Anchor River,S,NM,1.90203E+11,0,0,1.141427329,81027.9675,161047921.2
5,1,6,1,6,6,CIK1,Moose,South Fork CEMP site,59.75755,-151.779133, ,1,941,941,54.61275446,33.36075974,78.20297241,6,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
6,1,7,1,7,7,CIK2,NFAnchor,above confluence with Chakok River,59.794833,-151.72875, ,1,512,512,92.78804423,68.38316345,107.3799973,7,{E7157AB8-AB93-46A4-9D02-D7B73FD56092},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,21133,85.51901045,AK,1.90203E+11,North Fork Anchor River,S,NM,1.90203E+11,0,0,1.411625533,99848.90057,85520876.07
7,1,8,1,8,8,CIK3,Ruby,South Fork CEMP site,59.71,-151.6975, ,1,1112,1112,90.98073062,85.59999847,108.4100037,8,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
8,1,9,1,9,9,CIK6,Twitter,above confluence with South Fork,59.7175,-151.64065, ,1,1109,1109,175.887222,108.6299973,238.3099976,9,{18652FA3-06B6-406D-BD84-04BF51723D03},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,36522,147.7993595,AK,1.90203E+11,Outlet Anchor River,S,NM,1.90203E+11,0,0,1.352486426,97186.73666,147798823.5
9,1,10,1,10,10,APU5,Data_Logger_1,DL1 first bridge Chakok rd,59.79417038,-151.7295868, ,3,512,512,92.78804423,68.38316345,107.3799973,10,{E7157AB8-AB93-46A4-9D02-D7B73FD56092},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,21133,85.51901045,AK,1.90203E+11,North Fork Anchor River,S,NM,1.90203E+11,0,0,1.411625533,99848.90057,85520876.07
10,1,11,1,11,12,APU6,Data_Logger_2,DL2 private property Reese,59.81684569,-151.7142965, ,3,427,427,90.65059852,74.27999878,119.4300003,11,{7C96AF70-6C2C-4AB2-B452-FAE2F96D3C85},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,24099,97.52707206,AK,1.90203E+11,Chakok River,S,NM,1.90203E+11,0,0,0.912276971,65836.62716,97527152
11,1,12,1,12,13,APU7,Data_Logger_3,DL3 first bridge Nikolivisk,59.80040445,-151.6389956, ,3,517,517,189.2816093,154.3000031,236.6100006,12,{E7157AB8-AB93-46A4-9D02-D7B73FD56092},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,21133,85.51901045,AK,1.90203E+11,North Fork Anchor River,S,NM,1.90203E+11,0,0,1.411625533,99848.90057,85520876.07
