agency_cd,site_no,datetime,tz_cd,Gage,Gage_cd,Twater,Twater_cd,Precip,Precip_cd,Tair,Tair_cd
USGS,15239900,4/22/2018 13:00,AKDT,1.89,A,0.9,A,,,,
USGS,15239900,4/22/2018 13:15,AKDT,1.9,A,0.9,A,,,,
USGS,15239900,4/22/2018 13:30,AKDT,1.88,A,1,A,,,,
USGS,15239900,4/22/2018 13:45,AKDT,1.89,A,1,A,,,,
USGS,15239900,4/22/2018 14:00,AKDT,1.9,A,1.1,A,,,,
USGS,15239900,4/22/2018 14:15,AKDT,1.89,A,1.1,A,,,,
USGS,15239900,4/22/2018 14:30,AKDT,1.89,A,1.1,A,,,,
USGS,15239900,4/22/2018 14:45,AKDT,1.87,A,1.2,A,,,,
USGS,15239900,4/22/2018 15:00,AKDT,1.89,A,1.3,A,,,,
USGS,15239900,4/22/2018 15:15,AKDT,1.91,A,1.3,A,,,,
USGS,15239900,4/22/2018 15:30,AKDT,1.88,A,1.3,A,,,,
USGS,15239900,4/22/2018 15:45,AKDT,1.9,A,1.3,A,,,,
USGS,15239900,4/22/2018 16:00,AKDT,1.91,A,1.3,A,,,,
USGS,15239900,4/22/2018 16:15,AKDT,1.91,A,1.3,A,,,,
USGS,15239900,4/22/2018 16:30,AKDT,1.95,A,1.2,A,,,,
USGS,15239900,4/22/2018 16:45,AKDT,1.97,A,1.2,A,,,,
USGS,15239900,4/22/2018 17:00,AKDT,1.98,A,1.1,A,,,,
USGS,15239900,4/22/2018 17:15,AKDT,1.98,A,1.1,A,,,,
USGS,15239900,4/22/2018 17:30,AKDT,1.95,A,1,A,,,,
USGS,15239900,4/22/2018 17:45,AKDT,2.01,A,1,A,,,,
USGS,15239900,4/22/2018 18:00,AKDT,2.04,A,1,A,,,,
USGS,15239900,4/22/2018 18:15,AKDT,1.99,A,0.9,A,,,,
USGS,15239900,4/22/2018 18:30,AKDT,1.99,A,0.9,A,,,,
USGS,15239900,4/22/2018 18:45,AKDT,2.04,A,0.9,A,,,,
USGS,15239900,4/22/2018 19:00,AKDT,2.05,A,0.9,A,,,,
USGS,15239900,4/22/2018 19:15,AKDT,2.05,A,0.9,A,,,,
USGS,15239900,4/22/2018 19:30,AKDT,2.09,A,0.8,A,,,,
USGS,15239900,4/22/2018 19:45,AKDT,2.08,A,0.8,A,,,,
USGS,15239900,4/22/2018 20:00,AKDT,2.08,A,0.7,A,,,,
USGS,15239900,4/22/2018 20:15,AKDT,2.08,A,0.7,A,,,,
USGS,15239900,4/22/2018 20:30,AKDT,2.07,A,0.7,A,,,,
USGS,15239900,4/22/2018 20:45,AKDT,2.08,A,0.6,A,,,,
USGS,15239900,4/22/2018 21:00,AKDT,2.11,A,0.6,A,,,,
USGS,15239900,4/22/2018 21:15,AKDT,2.1,A,0.6,A,,,,
USGS,15239900,4/22/2018 21:30,AKDT,2.14,A,0.5,A,,,,
USGS,15239900,4/22/2018 21:45,AKDT,2.13,A,0.5,A,,,,
USGS,15239900,4/22/2018 22:00,AKDT,2.12,A,0.5,A,,,,
USGS,15239900,4/22/2018 22:15,AKDT,2.15,A,0.5,A,,,,
USGS,15239900,4/22/2018 22:30,AKDT,2.17,A,0.5,A,,,,
USGS,15239900,4/22/2018 22:45,AKDT,2.14,A,0.5,A,,,,
USGS,15239900,4/22/2018 23:00,AKDT,2.18,A,0.5,A,,,,
USGS,15239900,4/22/2018 23:15,AKDT,2.16,A,0.5,A,,,,
USGS,15239900,4/22/2018 23:30,AKDT,2.2,A,0.5,A,,,,
USGS,15239900,4/22/2018 23:45,AKDT,2.17,A,0.5,A,,,,
USGS,15239900,4/23/2018 0:00,AKDT,2.18,A,0.5,A,,,,
USGS,15239900,4/23/2018 0:15,AKDT,2.19,A,0.4,A,,,,
USGS,15239900,4/23/2018 0:30,AKDT,2.2,A,0.4,A,,,,
USGS,15239900,4/23/2018 0:45,AKDT,2.23,A,0.4,A,,,,
USGS,15239900,4/23/2018 1:00,AKDT,2.23,A,0.4,A,,,,
USGS,15239900,4/23/2018 1:15,AKDT,2.21,A,0.4,A,,,,
USGS,15239900,4/23/2018 1:30,AKDT,2.19,A,0.4,A,,,,
USGS,15239900,4/23/2018 1:45,AKDT,2.2,A,0.4,A,,,,
USGS,15239900,4/23/2018 2:00,AKDT,2.2,A,0.4,A,,,,
USGS,15239900,4/23/2018 2:15,AKDT,2.21,A,0.3,A,,,,
USGS,15239900,4/23/2018 2:30,AKDT,2.23,A,0.3,A,,,,
USGS,15239900,4/23/2018 2:45,AKDT,2.2,A,0.3,A,,,,
USGS,15239900,4/23/2018 3:00,AKDT,2.19,A,0.3,A,,,,
USGS,15239900,4/23/2018 3:15,AKDT,2.21,A,0.3,A,,,,
USGS,15239900,4/23/2018 3:30,AKDT,2.21,A,0.3,A,,,,
USGS,15239900,4/23/2018 3:45,AKDT,2.2,A,0.3,A,,,,
USGS,15239900,4/23/2018 4:00,AKDT,2.19,A,0.3,A,,,,
USGS,15239900,4/23/2018 4:15,AKDT,2.18,A,0.3,A,,,,
USGS,15239900,4/23/2018 4:30,AKDT,2.15,A,0.3,A,,,,
USGS,15239900,4/23/2018 4:45,AKDT,2.12,A,0.3,A,,,,
USGS,15239900,4/23/2018 5:00,AKDT,2.15,A,0.2,A,,,,
USGS,15239900,4/23/2018 5:15,AKDT,2.13,A,0.2,A,,,,
USGS,15239900,4/23/2018 5:30,AKDT,2.13,A,0.2,A,,,,
USGS,15239900,4/23/2018 5:45,AKDT,2.11,A,0.2,A,,,,
USGS,15239900,4/23/2018 6:00,AKDT,2.11,A,0.2,A,,,,
USGS,15239900,4/23/2018 6:15,AKDT,2.11,A,0.2,A,,,,
USGS,15239900,4/23/2018 6:30,AKDT,2.08,A,0.2,A,,,,
USGS,15239900,4/23/2018 6:45,AKDT,2.06,A,0.2,A,,,,
USGS,15239900,4/23/2018 7:00,AKDT,2.06,A,0.2,A,,,,
USGS,15239900,4/23/2018 7:15,AKDT,2.04,A,0.2,A,,,,
USGS,15239900,4/23/2018 7:30,AKDT,2.03,A,0.2,A,,,,
USGS,15239900,4/23/2018 7:45,AKDT,2.01,A,0.2,A,,,,
USGS,15239900,4/23/2018 8:00,AKDT,2.03,A,0.2,A,,,,
USGS,15239900,4/23/2018 8:15,AKDT,2.03,A,0.2,A,,,,
USGS,15239900,4/23/2018 8:30,AKDT,1.99,A,0.2,A,,,,
USGS,15239900,4/23/2018 8:45,AKDT,1.98,A,0.3,A,,,,
USGS,15239900,4/23/2018 9:00,AKDT,2.01,A,0.3,A,,,,
USGS,15239900,4/23/2018 9:15,AKDT,1.98,A,0.3,A,,,,
USGS,15239900,4/23/2018 9:30,AKDT,1.98,A,0.4,A,,,,
USGS,15239900,4/23/2018 9:45,AKDT,1.95,A,0.5,A,,,,
USGS,15239900,4/23/2018 10:00,AKDT,1.93,A,0.5,A,,,,
USGS,15239900,4/23/2018 10:15,AKDT,1.94,A,0.6,A,,,,
USGS,15239900,4/23/2018 10:30,AKDT,1.95,A,0.7,A,,,,
USGS,15239900,4/23/2018 10:45,AKDT,1.94,A,0.7,A,,,,
USGS,15239900,4/23/2018 11:00,AKDT,1.9,A,0.8,A,,,,
USGS,15239900,4/23/2018 11:15,AKDT,1.92,A,0.9,A,,,,
USGS,15239900,4/23/2018 11:30,AKDT,1.9,A,0.9,A,,,,
USGS,15239900,4/23/2018 11:45,AKDT,1.91,A,1,A,,,,
USGS,15239900,4/23/2018 12:00,AKDT,1.9,A,1,A,,,,
USGS,15239900,4/23/2018 12:15,AKDT,1.9,A,1.1,A,,,,
USGS,15239900,4/23/2018 12:30,AKDT,1.89,A,1.2,A,,,,
USGS,15239900,4/23/2018 12:45,AKDT,1.91,A,1.2,A,,,,
USGS,15239900,4/23/2018 13:00,AKDT,1.9,A,1.3,A,,,,
USGS,15239900,4/23/2018 13:15,AKDT,1.89,A,1.3,A,,,,
USGS,15239900,4/23/2018 13:30,AKDT,1.89,A,1.4,A,,,,
USGS,15239900,4/23/2018 13:45,AKDT,1.89,A,1.4,A,,,,
USGS,15239900,4/23/2018 14:00,AKDT,1.87,A,1.5,A,,,,
USGS,15239900,4/23/2018 14:15,AKDT,1.88,A,1.5,A,,,,
USGS,15239900,4/23/2018 14:30,AKDT,1.87,A,1.6,A,,,,
USGS,15239900,4/23/2018 14:45,AKDT,1.87,A,1.7,A,,,,
USGS,15239900,4/23/2018 15:00,AKDT,1.85,A,1.8,A,,,,
USGS,15239900,4/23/2018 15:15,AKDT,1.88,A,1.9,A,,,,
USGS,15239900,4/23/2018 15:30,AKDT,1.88,A,2,A,,,,
USGS,15239900,4/23/2018 15:45,AKDT,1.89,A,2,A,,,,
USGS,15239900,4/23/2018 16:00,AKDT,1.9,A,2.1,A,,,,
USGS,15239900,4/23/2018 16:15,AKDT,1.88,A,2.1,A,,,,
USGS,15239900,4/23/2018 16:30,AKDT,1.89,A,2.1,A,,,,
USGS,15239900,4/23/2018 16:45,AKDT,1.89,A,2.1,A,,,,
USGS,15239900,4/23/2018 17:00,AKDT,1.9,A,2.2,A,,,,
USGS,15239900,4/23/2018 17:15,AKDT,1.89,A,2.2,A,,,,
USGS,15239900,4/23/2018 17:30,AKDT,1.9,A,2.2,A,,,,
USGS,15239900,4/23/2018 17:45,AKDT,1.92,A,2.2,A,,,,
USGS,15239900,4/23/2018 18:00,AKDT,1.91,A,2.2,A,,,,
USGS,15239900,4/23/2018 18:15,AKDT,1.94,A,2.2,A,,,,
USGS,15239900,4/23/2018 18:30,AKDT,1.93,A,2.2,A,,,,
USGS,15239900,4/23/2018 18:45,AKDT,1.96,A,2.2,A,,,,
USGS,15239900,4/23/2018 19:00,AKDT,1.96,A,2.2,A,,,,
USGS,15239900,4/23/2018 19:15,AKDT,1.98,A,2.2,A,,,,
USGS,15239900,4/23/2018 19:30,AKDT,1.99,A,2.2,A,,,,
USGS,15239900,4/23/2018 19:45,AKDT,2.01,A,2.2,A,,,,
USGS,15239900,4/23/2018 20:00,AKDT,2.01,A,2.1,A,,,,
USGS,15239900,4/23/2018 20:15,AKDT,2.07,A,2.1,A,,,,
USGS,15239900,4/23/2018 20:30,AKDT,2.06,A,2.1,A,,,,
USGS,15239900,4/23/2018 20:45,AKDT,2.07,A,2.1,A,,,,
USGS,15239900,4/23/2018 21:00,AKDT,2.08,A,2,A,,,,
USGS,15239900,4/23/2018 21:15,AKDT,2.09,A,2,A,,,,
USGS,15239900,4/23/2018 21:30,AKDT,2.11,A,1.9,A,,,,
