sampleDate,sampleTime,Temperature
5/15/2015,1:42:00 PM,4.311
5/15/2015,2:42:00 PM,4.311
5/15/2015,3:42:00 PM,4.415
5/15/2015,4:42:00 PM,4.415
5/15/2015,5:42:00 PM,4.415
5/15/2015,6:42:00 PM,4.415
5/15/2015,7:42:00 PM,4.415
5/15/2015,8:42:00 PM,4.623
5/15/2015,9:42:00 PM,4.415
5/15/2015,10:42:00 PM,4.207
5/15/2015,11:42:00 PM,4.102
5/16/2015,12:42:00 AM,3.893
5/16/2015,1:42:00 AM,3.683
5/16/2015,2:42:00 AM,3.472
5/16/2015,3:42:00 AM,3.367
5/16/2015,4:42:00 AM,3.261
5/16/2015,5:42:00 AM,3.049
5/16/2015,6:42:00 AM,3.049
5/16/2015,7:42:00 AM,2.943
5/16/2015,8:42:00 AM,3.261
5/16/2015,9:42:00 AM,3.683
5/16/2015,10:42:00 AM,4.623
5/16/2015,11:42:00 AM,6.268
5/16/2015,12:42:00 PM,7.28
5/16/2015,1:42:00 PM,6.268
5/16/2015,2:42:00 PM,7.079
5/16/2015,3:42:00 PM,7.682
5/16/2015,4:42:00 PM,8.282
5/16/2015,5:42:00 PM,8.082
5/16/2015,6:42:00 PM,8.282
5/16/2015,7:42:00 PM,8.182
5/16/2015,8:42:00 PM,8.182
5/16/2015,9:42:00 PM,8.082
5/16/2015,10:42:00 PM,7.882
5/16/2015,11:42:00 PM,7.682
5/17/2015,12:42:00 AM,7.381
5/17/2015,1:42:00 AM,7.179
5/17/2015,2:42:00 AM,6.877
5/17/2015,3:42:00 AM,6.674
5/17/2015,4:42:00 AM,6.471
5/17/2015,5:42:00 AM,6.37
5/17/2015,6:42:00 AM,6.166
5/17/2015,7:42:00 AM,6.166
5/17/2015,8:42:00 AM,6.166
5/17/2015,9:42:00 AM,6.674
5/17/2015,10:42:00 AM,6.674
5/17/2015,11:42:00 AM,7.682
5/17/2015,12:42:00 PM,8.382
5/17/2015,1:42:00 PM,7.882
5/17/2015,2:42:00 PM,8.082
5/17/2015,3:42:00 PM,8.481
5/17/2015,4:42:00 PM,7.983
5/17/2015,5:42:00 PM,7.983
5/17/2015,6:42:00 PM,8.182
5/17/2015,7:42:00 PM,8.182
5/17/2015,8:42:00 PM,7.882
5/17/2015,9:42:00 PM,7.481
5/17/2015,10:42:00 PM,7.179
5/17/2015,11:42:00 PM,6.877
5/18/2015,12:42:00 AM,6.573
5/18/2015,1:42:00 AM,6.268
5/18/2015,2:42:00 AM,5.962
5/18/2015,3:42:00 AM,5.655
5/18/2015,4:42:00 AM,5.45
5/18/2015,5:42:00 AM,5.244
5/18/2015,6:42:00 AM,5.141
5/18/2015,7:42:00 AM,5.347
5/18/2015,8:42:00 AM,5.655
5/18/2015,9:42:00 AM,5.962
5/18/2015,10:42:00 AM,6.471
5/18/2015,11:42:00 AM,6.978
5/18/2015,12:42:00 PM,7.079
5/18/2015,1:42:00 PM,8.182
5/18/2015,2:42:00 PM,8.779
5/18/2015,3:42:00 PM,9.275
5/18/2015,4:42:00 PM,9.077
5/18/2015,5:42:00 PM,9.077
5/18/2015,6:42:00 PM,8.879
5/18/2015,7:42:00 PM,8.481
5/18/2015,8:42:00 PM,8.182
5/18/2015,9:42:00 PM,7.983
5/18/2015,10:42:00 PM,7.782
5/18/2015,11:42:00 PM,7.582
5/19/2015,12:42:00 AM,7.481
5/19/2015,1:42:00 AM,7.28
5/19/2015,2:42:00 AM,7.079
5/19/2015,3:42:00 AM,6.877
5/19/2015,4:42:00 AM,6.674
5/19/2015,5:42:00 AM,6.573
5/19/2015,6:42:00 AM,6.471
5/19/2015,7:42:00 AM,6.471
5/19/2015,8:42:00 AM,6.573
5/19/2015,9:42:00 AM,6.775
5/19/2015,10:42:00 AM,6.877
5/19/2015,11:42:00 AM,7.381
5/19/2015,12:42:00 PM,8.082
5/19/2015,1:42:00 PM,8.481
5/19/2015,2:42:00 PM,8.282
5/19/2015,3:42:00 PM,9.176
5/19/2015,4:42:00 PM,8.978
5/19/2015,5:42:00 PM,9.472
5/19/2015,6:42:00 PM,9.077
5/19/2015,7:42:00 PM,8.978
5/19/2015,8:42:00 PM,8.779
5/19/2015,9:42:00 PM,8.481
5/19/2015,10:42:00 PM,8.182
5/19/2015,11:42:00 PM,7.882
5/20/2015,12:42:00 AM,7.682
5/20/2015,1:42:00 AM,7.481
5/20/2015,2:42:00 AM,7.28
5/20/2015,3:42:00 AM,6.978
5/20/2015,4:42:00 AM,6.674
5/20/2015,5:42:00 AM,6.471
5/20/2015,6:42:00 AM,6.268
5/20/2015,7:42:00 AM,6.064
5/20/2015,8:42:00 AM,6.064
5/20/2015,9:42:00 AM,5.962
5/20/2015,10:42:00 AM,6.573
5/20/2015,11:42:00 AM,6.674
5/20/2015,12:42:00 PM,6.877
5/20/2015,1:42:00 PM,7.381
5/20/2015,2:42:00 PM,7.381
5/20/2015,3:42:00 PM,7.582
5/20/2015,4:42:00 PM,7.381
5/20/2015,5:42:00 PM,7.582
5/20/2015,6:42:00 PM,7.682
5/20/2015,7:42:00 PM,7.481
5/20/2015,8:42:00 PM,7.381
5/20/2015,9:42:00 PM,7.28
5/20/2015,10:42:00 PM,7.179
5/20/2015,11:42:00 PM,6.978
5/21/2015,12:42:00 AM,6.877
5/21/2015,1:42:00 AM,6.775
5/21/2015,2:42:00 AM,6.674
5/21/2015,3:42:00 AM,6.573
5/21/2015,4:42:00 AM,6.37
5/21/2015,5:42:00 AM,6.268
5/21/2015,6:42:00 AM,6.166
5/21/2015,7:42:00 AM,6.064
5/21/2015,8:42:00 AM,6.166
5/21/2015,9:42:00 AM,6.268
5/21/2015,10:42:00 AM,6.37
5/21/2015,11:42:00 AM,6.978
5/21/2015,12:42:00 PM,7.481
5/21/2015,1:42:00 PM,7.682
5/21/2015,2:42:00 PM,8.382
5/21/2015,3:42:00 PM,8.481
5/21/2015,4:42:00 PM,9.275
5/21/2015,5:42:00 PM,9.669
5/21/2015,6:42:00 PM,9.571
5/21/2015,7:42:00 PM,9.866
5/21/2015,8:42:00 PM,8.978
5/21/2015,9:42:00 PM,8.581
5/21/2015,10:42:00 PM,8.382
5/21/2015,11:42:00 PM,8.082
5/22/2015,12:42:00 AM,7.682
5/22/2015,1:42:00 AM,7.481
5/22/2015,2:42:00 AM,7.179
5/22/2015,3:42:00 AM,6.877
5/22/2015,4:42:00 AM,6.573
5/22/2015,5:42:00 AM,6.37
5/22/2015,6:42:00 AM,6.268
5/22/2015,7:42:00 AM,6.268
5/22/2015,8:42:00 AM,6.471
5/22/2015,9:42:00 AM,6.674
5/22/2015,10:42:00 AM,7.481
5/22/2015,11:42:00 AM,8.68
5/22/2015,12:42:00 PM,9.768
5/22/2015,1:42:00 PM,10.651
5/22/2015,2:42:00 PM,11.139
5/22/2015,3:42:00 PM,11.334
5/22/2015,4:42:00 PM,11.139
5/22/2015,5:42:00 PM,11.334
5/22/2015,6:42:00 PM,10.944
5/22/2015,7:42:00 PM,10.846
5/22/2015,8:42:00 PM,10.553
5/22/2015,9:42:00 PM,10.161
5/22/2015,10:42:00 PM,9.866
5/22/2015,11:42:00 PM,9.669
5/23/2015,12:42:00 AM,9.472
5/23/2015,1:42:00 AM,9.176
5/23/2015,2:42:00 AM,8.978
5/23/2015,3:42:00 AM,8.779
5/23/2015,4:42:00 AM,8.581
5/23/2015,5:42:00 AM,8.382
5/23/2015,6:42:00 AM,8.182
5/23/2015,7:42:00 AM,8.082
5/23/2015,8:42:00 AM,8.082
5/23/2015,9:42:00 AM,7.983
5/23/2015,10:42:00 AM,8.182
5/23/2015,11:42:00 AM,8.68
5/23/2015,12:42:00 PM,8.879
5/23/2015,1:42:00 PM,8.879
5/23/2015,2:42:00 PM,9.077
5/23/2015,3:42:00 PM,9.275
5/23/2015,4:42:00 PM,8.978
5/23/2015,5:42:00 PM,9.866
5/23/2015,6:42:00 PM,9.077
5/23/2015,7:42:00 PM,8.779
5/23/2015,8:42:00 PM,8.581
5/23/2015,9:42:00 PM,8.382
5/23/2015,10:42:00 PM,8.082
5/23/2015,11:42:00 PM,7.882
5/24/2015,12:42:00 AM,7.682
5/24/2015,1:42:00 AM,7.381
5/24/2015,2:42:00 AM,7.079
5/24/2015,3:42:00 AM,6.775
5/24/2015,4:42:00 AM,6.573
5/24/2015,5:42:00 AM,6.37
5/24/2015,6:42:00 AM,6.268
5/24/2015,7:42:00 AM,6.064
5/24/2015,8:42:00 AM,6.166
5/24/2015,9:42:00 AM,6.268
5/24/2015,10:42:00 AM,6.37
5/24/2015,11:42:00 AM,6.674
5/24/2015,12:42:00 PM,6.978
5/24/2015,1:42:00 PM,7.179
