sampleDate,sampleTime,Temperature
2015-05-28,12:00:00,9.18
2015-05-28,12:15:00,9.29
2015-05-28,12:30:00,9.39
2015-05-28,12:45:00,9.49
2015-05-28,13:00:00,9.58
2015-05-28,13:15:00,9.66
2015-05-28,13:30:00,9.75
2015-05-28,13:45:00,9.82
2015-05-28,14:00:00,9.89
2015-05-28,14:15:00,9.94
2015-05-28,14:30:00,9.99
2015-05-28,14:45:00,10.04
2015-05-28,15:00:00,10.07
2015-05-28,15:15:00,10.1
2015-05-28,15:30:00,10.11
2015-05-28,15:45:00,10.12
2015-05-28,16:00:00,10.12
2015-05-28,16:15:00,10.11
2015-05-28,16:30:00,10.09
2015-05-28,16:45:00,10.07
2015-05-28,17:00:00,10.03
2015-05-28,17:15:00,9.97
2015-05-28,17:30:00,9.91
2015-05-28,17:45:00,9.84
2015-05-28,18:00:00,9.76
2015-05-28,18:15:00,9.68
2015-05-28,18:30:00,9.59
2015-05-28,18:45:00,9.51
2015-05-28,19:00:00,9.44
2015-05-28,19:15:00,9.36
2015-05-28,19:30:00,9.28
2015-05-28,19:45:00,9.19
2015-05-28,20:00:00,9.11
2015-05-28,20:15:00,9.02
2015-05-28,20:30:00,8.95
2015-05-28,20:45:00,8.89
2015-05-28,21:00:00,8.84
2015-05-28,21:15:00,8.78
2015-05-28,21:30:00,8.72
2015-05-28,21:45:00,8.69
2015-05-28,22:00:00,8.64
2015-05-28,22:15:00,8.56
2015-05-28,22:30:00,8.46
2015-05-28,22:45:00,8.36
2015-05-28,23:00:00,8.25
2015-05-28,23:15:00,8.15
2015-05-28,23:30:00,8.06
2015-05-28,23:45:00,7.98
2015-05-29,0:00:00,7.91
2015-05-29,0:15:00,7.86
2015-05-29,0:30:00,7.82
2015-05-29,0:45:00,7.79
2015-05-29,1:00:00,7.78
2015-05-29,1:15:00,7.77
2015-05-29,1:30:00,7.79
2015-05-29,1:45:00,7.79
2015-05-29,2:00:00,7.77
2015-05-29,2:15:00,7.76
2015-05-29,2:30:00,7.75
2015-05-29,2:45:00,7.74
2015-05-29,3:00:00,7.73
2015-05-29,3:15:00,7.71
2015-05-29,3:30:00,7.69
2015-05-29,3:45:00,7.66
2015-05-29,4:00:00,7.61
2015-05-29,4:15:00,7.57
2015-05-29,4:30:00,7.55
2015-05-29,4:45:00,7.52
2015-05-29,5:00:00,7.51
2015-05-29,5:15:00,7.51
2015-05-29,5:30:00,7.5
2015-05-29,5:45:00,7.5
2015-05-29,6:00:00,7.52
2015-05-29,6:15:00,7.56
