sampleDate,sampleTime,Temperature
2016-05-07,13:15:00,6.661
2016-05-07,13:30:00,6.788
2016-05-07,13:45:00,6.864
2016-05-07,14:00:00,6.788
2016-05-07,14:15:00,6.737
2016-05-07,14:30:00,7.066
2016-05-07,14:45:00,7.066
2016-05-07,15:00:00,7.041
2016-05-07,15:15:00,7.015
2016-05-07,15:30:00,6.94
2016-05-07,15:45:00,6.737
2016-05-07,16:00:00,6.585
2016-05-07,16:15:00,6.611
2016-05-07,16:30:00,6.636
2016-05-07,16:45:00,6.509
2016-05-07,17:00:00,6.433
2016-05-07,17:15:00,6.433
2016-05-07,17:30:00,6.281
2016-05-07,17:45:00,6.179
2016-05-07,18:00:00,6.051
2016-05-07,18:15:00,6.026
2016-05-07,18:30:00,5.924
2016-05-07,18:45:00,5.898
2016-05-07,19:00:00,5.821
2016-05-07,19:15:00,5.745
2016-05-07,19:30:00,5.642
2016-05-07,19:45:00,5.591
2016-05-07,20:00:00,5.514
2016-05-07,20:15:00,5.488
2016-05-07,20:30:00,5.385
2016-05-07,20:45:00,5.36
2016-05-07,21:00:00,5.282
2016-05-07,21:15:00,5.205
2016-05-07,21:30:00,5.128
2016-05-07,21:45:00,5.102
2016-05-07,22:00:00,5.05
2016-05-07,22:15:00,4.999
2016-05-07,22:30:00,4.973
2016-05-07,22:45:00,4.921
2016-05-07,23:00:00,4.895
2016-05-07,23:15:00,4.844
2016-05-07,23:30:00,4.818
2016-05-07,23:45:00,4.792
2016-05-08,0:00:00,4.766
2016-05-08,0:15:00,4.714
2016-05-08,0:30:00,4.688
2016-05-08,0:45:00,4.662
2016-05-08,1:00:00,4.636
2016-05-08,1:15:00,4.636
2016-05-08,1:30:00,4.61
2016-05-08,1:45:00,4.61
2016-05-08,2:00:00,4.61
2016-05-08,2:15:00,4.61
2016-05-08,2:30:00,4.61
2016-05-08,2:45:00,4.61
2016-05-08,3:00:00,4.61
2016-05-08,3:15:00,4.636
2016-05-08,3:30:00,4.636
2016-05-08,3:45:00,4.61
2016-05-08,4:00:00,4.61
2016-05-08,4:15:00,4.61
2016-05-08,4:30:00,4.61
2016-05-08,4:45:00,4.61
2016-05-08,5:00:00,4.636
2016-05-08,5:15:00,4.636
2016-05-08,5:30:00,4.61
2016-05-08,5:45:00,4.61
2016-05-08,6:00:00,4.584
2016-05-08,6:15:00,4.61
2016-05-08,6:30:00,4.61
2016-05-08,6:45:00,4.636
2016-05-08,7:00:00,4.636
2016-05-08,7:15:00,4.636
2016-05-08,7:30:00,4.662
2016-05-08,7:45:00,4.662
2016-05-08,8:00:00,4.688
2016-05-08,8:15:00,4.714
2016-05-08,8:30:00,4.688
2016-05-08,8:45:00,4.688
2016-05-08,9:00:00,4.688
2016-05-08,9:15:00,4.714
2016-05-08,9:30:00,4.714
2016-05-08,9:45:00,4.766
2016-05-08,10:00:00,4.844
2016-05-08,10:15:00,4.921
2016-05-08,10:30:00,5.024
2016-05-08,10:45:00,5.076
2016-05-08,11:00:00,5.076
2016-05-08,11:15:00,5.102
2016-05-08,11:30:00,5.128
2016-05-08,11:45:00,5.102
2016-05-08,12:00:00,5.154
2016-05-08,12:15:00,5.231
2016-05-08,12:30:00,5.36
2016-05-08,12:45:00,5.514
2016-05-08,13:00:00,5.693
2016-05-08,13:15:00,5.847
2016-05-08,13:30:00,5.924
2016-05-08,13:45:00,5.949
2016-05-08,14:00:00,6
2016-05-08,14:15:00,6
2016-05-08,14:30:00,6.026
2016-05-08,14:45:00,6.026
2016-05-08,15:00:00,6
2016-05-08,15:15:00,5.949
2016-05-08,15:30:00,5.949
2016-05-08,15:45:00,5.924
2016-05-08,16:00:00,5.924
2016-05-08,16:15:00,5.898
2016-05-08,16:30:00,5.872
2016-05-08,16:45:00,5.924
2016-05-08,17:00:00,5.898
2016-05-08,17:15:00,5.924
2016-05-08,17:30:00,5.924
2016-05-08,17:45:00,5.847
2016-05-08,18:00:00,5.821
2016-05-08,18:15:00,5.796
2016-05-08,18:30:00,5.796
2016-05-08,18:45:00,5.847
2016-05-08,19:00:00,5.847
2016-05-08,19:15:00,5.821
2016-05-08,19:30:00,5.745
2016-05-08,19:45:00,5.668
2016-05-08,20:00:00,5.591
2016-05-08,20:15:00,5.488
2016-05-08,20:30:00,5.437
2016-05-08,20:45:00,5.411
2016-05-08,21:00:00,5.411
2016-05-08,21:15:00,5.411
2016-05-08,21:30:00,5.385
2016-05-08,21:45:00,5.385
2016-05-08,22:00:00,5.36
2016-05-08,22:15:00,5.308
2016-05-08,22:30:00,5.308
2016-05-08,22:45:00,5.308
2016-05-08,23:00:00,5.308
2016-05-08,23:15:00,5.308
2016-05-08,23:30:00,5.308
2016-05-08,23:45:00,5.308
2016-05-09,0:00:00,5.308
2016-05-09,0:15:00,5.308
2016-05-09,0:30:00,5.334
2016-05-09,0:45:00,5.334
2016-05-09,1:00:00,5.308
2016-05-09,1:15:00,5.308
2016-05-09,1:30:00,5.308
2016-05-09,1:45:00,5.308
2016-05-09,2:00:00,5.308
2016-05-09,2:15:00,5.282
2016-05-09,2:30:00,5.282
2016-05-09,2:45:00,5.282
2016-05-09,3:00:00,5.282
2016-05-09,3:15:00,5.282
2016-05-09,3:30:00,5.282
2016-05-09,3:45:00,5.257
2016-05-09,4:00:00,5.231
2016-05-09,4:15:00,5.205
2016-05-09,4:30:00,5.205
2016-05-09,4:45:00,5.205
2016-05-09,5:00:00,5.205
2016-05-09,5:15:00,5.205
2016-05-09,5:30:00,5.205
2016-05-09,5:45:00,5.205
2016-05-09,6:00:00,5.205
2016-05-09,6:15:00,5.179
2016-05-09,6:30:00,5.205
2016-05-09,6:45:00,5.205
2016-05-09,7:00:00,5.205
2016-05-09,7:15:00,5.231
2016-05-09,7:30:00,5.231
2016-05-09,7:45:00,5.257
2016-05-09,8:00:00,5.282
2016-05-09,8:15:00,5.257
2016-05-09,8:30:00,5.257
2016-05-09,8:45:00,5.231
2016-05-09,9:00:00,5.257
2016-05-09,9:15:00,5.282
2016-05-09,9:30:00,5.334
2016-05-09,9:45:00,5.385
2016-05-09,10:00:00,5.385
2016-05-09,10:15:00,5.385
2016-05-09,10:30:00,5.385
2016-05-09,10:45:00,5.385
2016-05-09,11:00:00,5.36
2016-05-09,11:15:00,5.385
2016-05-09,11:30:00,5.385
