"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.fall","df","logLik","AICc","delta","weight"
"128",-0.475127378565698,0.0022900598037324,-0.00429133509100382,0.0814053463246706,-0.196699075845708,-0.00291990088958865,0.908052145412317,-0.00358667909939658,1.31510949713456,9,-7467.19868095803,14952.4382617116,0,0.982070034606795
"64",-0.577881791758012,0.002189710008631,-0.00423881410263518,0.0834905460556666,-0.160531111331857,-0.00329238046178819,0.908352695266818,NA,1.31660353326426,8,-7472.20697327559,14960.4466589546,8.00839724306388,0.0179118768253295
"120",-0.541580960614277,0.00216830696719189,-0.00556682293562975,0.0828337048924672,NA,-0.00366235814712214,0.909662032036879,-0.00195943126590762,1.31879281668753,8,-7479.53561012497,14975.1039326534,22.6656709418221,1.17585711262602e-05
"56",-0.595542729583474,0.00212183893538028,-0.00539573197256594,0.0839200062835909,NA,-0.00380299776366092,0.909664733597747,NA,1.31927812638194,7,-7481.15853925188,14976.3425157057,23.9042539940965,6.32994094090767e-06
"112",-0.634085534247834,0.00251210429840507,-0.0038406144887985,0.0837334076512361,-0.29672201885987,NA,0.913497340823602,-0.00584434807939583,1.32246526890822,8,-7491.80188374122,14999.6364798859,47.1982181743315,5.53578998264559e-11
"124",0.0312518127116777,0.00229815223473454,-0.00418187454759651,NA,-0.20496091099706,-0.00301985612021347,0.879760256489446,-0.00412932506105112,1.32390957314915,8,-7496.61664130169,15009.2659950068,56.8277332952784,4.48907607415524e-13
"60",-0.072517614674561,0.00218241013575708,-0.00411793156010502,NA,-0.163403513672076,-0.00345331749033679,0.879270037866851,NA,1.32588402718035,7,-7503.19022374403,15020.40588469,67.9676229784018,1.710648008169e-15
"48",-0.85206441703873,0.00238449671743588,-0.00364569372691789,0.0879539757384202,-0.255248685527008,NA,0.915260509154597,NA,1.32674998574769,7,-7506.07018634546,15026.1658098928,73.727548181263,9.60304115641023e-17
"116",-0.0287789719790423,0.00217133998280066,-0.00550991340671493,NA,NA,-0.00379589780746448,0.880921350689089,-0.00244240698817648,1.32788475369249,7,-7509.84129777938,15033.7080327607,81.2697710491066,2.21124011134271e-18
"52",-0.0878499580688842,0.00211328005353392,-0.00529502571434495,NA,NA,-0.00397396189148812,0.880453388917572,NA,1.32863598617403,6,-7512.33605456006,15036.6911826896,84.2529209780387,4.97568785335267e-19
"126",-0.818911119691067,0.00280719682935584,NA,0.0776349839820039,-0.450820391151283,-0.00225333358378062,0.910662205259068,-0.00311588902863056,1.33104547311199,8,-7520.32817689019,15056.6890661838,104.250804472267,2.2613506056309e-23
"108",-0.118316922196463,0.0025282624753665,-0.00371202716293845,NA,-0.308753855737599,NA,0.884559752891204,-0.00648263339248484,1.3317317075834,7,-7522.60172823526,15059.2288936724,106.790631960861,6.35113537791029e-24
"104",-0.819244930352555,0.00239898345946862,-0.00585186844380168,0.0872336705573994,NA,NA,0.918685318902466,-0.0040196895010484,1.33201708392722,7,-7523.54685869307,15061.119154588,108.680892876486,2.4682345519403e-24
"62",-0.904660434852673,0.00271437150815006,NA,0.0794895460900223,-0.416643043523413,-0.00258454048499454,0.910895929084855,NA,1.33216149285842,7,-7524.02504570478,15062.0755286115,109.637266899905,1.53007404104129e-24
"40",-0.957397468274253,0.00231858230364585,-0.00550951483380632,0.0899171472768966,NA,NA,0.919431847605486,NA,1.33412302858534,6,-7530.51522751609,15073.0495286017,120.611266890106,6.33488341920355e-27
"110",-0.916045697646253,0.00293981602793809,NA,0.0797888293956474,-0.508802447497042,NA,0.914750825651087,-0.00494006490012439,1.33548504482495,7,-7535.01615348646,15084.0577441748,131.619482463271,2.57830913579103e-29
"44",-0.332444437713501,0.00238684324335964,-0.00348739242124104,NA,-0.263172826033632,NA,0.884899460916423,NA,1.33699386206476,6,-7539.99684278942,15092.0127591483,139.574497436764,4.82975870857272e-31
"46",-1.08956379368841,0.00281260523213505,NA,0.083555155626523,-0.464298530172209,NA,0.916198779242497,NA,1.3385420110204,6,-7545.10152919946,15102.2221319684,149.783870256837,2.93081425030965e-33
"122",-0.327041382353931,0.00280232885450512,NA,NA,-0.452519838635383,-0.00236500610607109,0.883585199970569,-0.00364547992055759,1.33896571284377,7,-7546.49756532801,15107.0205678579,154.582306146373,2.66085482454194e-34
"58",-0.413971032482629,0.00269314716652619,NA,NA,-0.412418229255636,-0.00275721997667839,0.88309991982668,NA,1.34049026581656,6,-7551.51709462218,15115.0532628138,162.615001102284,4.79450342422519e-36
