"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.spring","df","logLik","AICc","delta","weight"
"62",0.296670379520284,0.00383796799902278,NA,-0.113010234178326,-0.429928877506413,-0.00229958383089577,0.864635748685111,NA,1.45227370413786,7,-5069.73433829806,10153.5114083779,0,0.484864762955363
"126",0.352139212513029,0.00386262048989015,NA,-0.112942641356747,-0.440317939940512,-0.00224904424969128,0.8622860804447,-0.000886434312296884,1.45221768279459,8,-5069.63292287495,10155.320807582,1.8093992040649,0.196207036569124
"64",0.319102666505807,0.00381705152282762,-0.000224206484315094,-0.113331596061902,-0.416692737811823,-0.00231328671274527,0.863805923152406,NA,1.45224583829672,8,-5069.68389326212,10155.4227483563,1.91133997840734,0.186456883294021
"128",0.382497321823068,0.00384050574479218,-0.000258475334333175,-0.113307641695857,-0.425901019394279,-0.0022607440318103,0.861138919873637,-0.000958302338408309,1.4521810143627,9,-5069.56653990382,10157.20180833,3.69039995208186,0.076605588939868
"58",0.158411081520033,0.00383593834763476,NA,NA,-0.429708668692586,-0.00256418728062109,0.87071766732537,NA,1.45472998224996,6,-5074.17709612719,10160.3862288677,6.87482048976926,0.0155873512475841
"46",-0.177812534628788,0.00392024668252893,NA,-0.126790462980992,-0.470263487844492,NA,0.894665294733741,NA,1.45487654754393,6,-5074.4419567908,10160.9159501949,7.40454181698988,0.0119603750208871
"110",-0.0474927138122429,0.00396542410641734,NA,-0.126057847657772,-0.489056140155611,NA,0.888713314959708,-0.00175304143591437,1.45465291270759,7,-5074.03781172615,10162.1183552341,8.60694685618182,0.00655610439736103
"122",0.215419783953459,0.00386123874500061,NA,NA,-0.44037038229674,-0.00251215957919011,0.868302631731426,-0.000909686414159272,1.45467108200026,7,-5074.07064895606,10162.1840296939,8.67262131599273,0.00634431638607707
"60",0.174909424247129,0.00382027609212865,-0.000167839482344524,NA,-0.419799713819934,-0.00257500843865626,0.870109412274477,NA,1.45471438176708,7,-5074.14890265493,10162.3405370916,8.82912871373446,0.00586677838398887
"48",-0.169158212055412,0.0039112298185835,-9.89729069532352e-05,-0.126968572086608,-0.464526672136367,NA,0.894377970884439,NA,1.45487110919871,7,-5074.43212954029,10162.9069908623,9.39558248445064,0.00441973071737103
"112",-0.0290250610076544,0.00395133137025978,-0.000168796723147774,-0.126340765635008,-0.479806778093461,NA,0.888053943722668,-0.00180291874710556,1.45463727288448,8,-5074.00954565965,10164.0740531514,10.5626447734721,0.0024658772488034
"124",0.238845398966829,0.00384391853323851,-0.000202396352277529,NA,-0.429081499219751,-0.00252198680132556,0.86741958521137,-0.000966020746225035,1.45464862106127,8,-5074.03005540524,10164.1150726425,10.6036642646541,0.00241581784140409
"42",-0.397264146270076,0.00392871019502314,NA,NA,-0.475294075020725,NA,0.905517814718434,NA,1.45800604392065,5,-5080.09096520881,10170.2048049887,16.6933966108281,0.000114999408670614
"106",-0.255090574185439,0.00397746912752529,NA,NA,-0.495567116466391,NA,0.899019269407931,-0.00189406673062808,1.45774541596608,6,-5079.62097254736,10171.273981708,17.762573330112,6.73793523960784e-05
"44",-0.395673823617837,0.00392699431510442,-1.8859089233564e-05,NA,-0.474202282825482,NA,0.905465970656586,NA,1.45800584666247,6,-5080.0906095232,10172.2132556597,18.7018472817854,4.21275386218433e-05
"108",-0.245096174786469,0.00396965997534695,-9.37144276902023e-05,NA,-0.490440066513516,NA,0.898666034071926,-0.00192193389033933,1.457740600641,7,-5079.61228823911,10173.26730826,19.7558998821023,2.48703256226283e-05
"120",0.148943815080414,0.00365259488589,-0.00302824459883219,-0.117284653481535,NA,-0.00361186784945992,0.86769137273355,0.00275179978496896,1.46374301600399,8,-5090.41527347847,10196.885508789,43.3741004111162,1.84950023284681e-10
"56",0.331788882459365,0.00371336493078644,-0.00332330730668242,-0.11747905113996,NA,-0.00353875363315034,0.859777335935676,NA,1.46432165617647,7,-5091.45435232649,10196.9514364347,43.4400280568607,1.78952753004319e-10
"116",-0.00159495054332085,0.00365467550030047,-0.00299159733063614,NA,NA,-0.00389279753654358,0.874244851239439,0.00277249408639296,1.46636656682463,7,-5095.12316357998,10204.2890589417,50.7776505638321,4.56450725205888e-12
"52",0.182376063553526,0.00371590679063013,-0.0032888214979931,NA,NA,-0.00381960170729203,0.866282143411338,NA,1.466952897867,6,-5096.1741669565,10204.3803705263,50.8689621483845,4.36079672405274e-12
"40",-0.461119803051201,0.00384737577828483,-0.00369878775057139,-0.140466476404736,NA,NA,0.908819920899579,NA,1.47080053462359,6,-5103.06068282616,10218.1534022656,64.6419938877116,4.45440807646769e-15
"104",-0.613417981946194,0.00380303706846142,-0.00347915921354811,-0.140680937918947,NA,NA,0.915644347278933,0.00210359709712468,1.4704622964086,7,-5102.45602535608,10218.9547824939,65.4433741160356,2.9838191403371e-15
"118",-0.554519363720136,0.00394222175622933,NA,-0.113049296311021,NA,-0.00423760723082594,0.892859045939421,0.00638193246712068,1.47155783493541,7,-5104.41397995294,10222.8706916876,69.3592833097464,4.21156607079732e-16
"114",-0.691476001752147,0.00394084819591635,NA,NA,NA,-0.00450120812099155,0.898884924217434,0.00635952489315813,1.47398361481918,6,-5108.74416974315,10229.5203760996,76.0089677216783,1.51524547246325e-17
"36",-0.719014876827456,0.00386338021555691,-0.00369309602792285,NA,NA,NA,0.921447426032242,NA,1.47460325250127,5,-5109.84912446451,10229.7211235001,76.2097151222333,1.37053853465255e-17
"100",-0.869078193681801,0.00381982881696466,-0.00347723988413884,NA,NA,NA,0.928173316563433,0.00206738340120399,1.47427739506586,6,-5109.26810454302,10230.5682456993,77.0568373214282,8.97306890095191e-18
"54",-0.250333060794411,0.0041790478916618,NA,-0.112468391282594,NA,-0.00420528861888872,0.87832386203884,NA,1.4751066264137,6,-5110.74641272875,10233.5248620708,80.0134536928781,2.04606730167744e-18
"50",-0.387650962198181,0.0041768541034302,NA,NA,NA,-0.0044676526172012,0.884369657530329,NA,1.47750183722649,5,-5115.01180090037,10240.0464763718,86.5350679939565,7.84818736887894e-20
