"","(Intercept)","cont_area","elev_mean","prcp","shrub","slope_P","sweM1","tair","wetland","cont_area:elev_mean","model.rmse","df","logLik","AICc","delta","weight"
"496",-0.897105261481516,0.00123127679809196,-0.00915427712719602,-0.0999128172812424,0.05133563983987,NA,-0.00153872094402208,0.840067669368878,0.011940815191731,8.61729668629196e-05,1.54085050917813,11,-4881.66660361467,9785.43408609828,0,0.418489880535361
"512",-0.915591223127557,0.00127479954026121,-0.00863072193862532,-0.0994818492625226,0.0523959690698124,-0.078922470816471,-0.00136942191503553,0.840459422474287,0.0116501515581035,8.49505841508889e-05,1.54064156365631,12,-4881.40094303893,9786.92115213291,1.48706603462415,0.198963161998565
"464",-1.00658724028559,0.00130485896933121,-0.0094848325363708,-0.107263887292948,0.0501388289206962,NA,NA,0.851798549856884,0.0113722484403137,8.57755715286058e-05,1.54190209835001,10,-4883.4412118543,9786.96645732205,1.53237122376777,0.19450679485425
"480",-1.01663369342428,0.00136179277803055,-0.00858598507062269,-0.105277078826978,0.0520505572767316,-0.126700021047959,NA,0.850350411162697,0.0110057074246029,8.3880235721519e-05,1.54138618062895,11,-4882.70176662707,9787.50441212307,2.07032602479012,0.148634414489456
"492",-1.06602815334066,0.00122530715714385,-0.00909757809127317,NA,0.0515908407977202,NA,-0.00179665659320551,0.846682855632653,0.0120147363214829,8.66309423570068e-05,1.54318120992259,10,-4885.70533717976,9791.49470797296,6.06062187467796,0.0202133195743337
"508",-1.08510917398547,0.0012716528805654,-0.00853994184589841,NA,0.0527204823812292,-0.0840868367626224,-0.00161526954693844,0.84707212934898,0.0117050373413294,8.53283678840737e-05,1.54294688702638,11,-4885.40482274299,9792.91052435491,7.47643825662817,0.00995857093620357
"460",-1.20991870548167,0.00131182956924501,-0.00948347259611784,NA,0.050196681938543,NA,NA,0.861122468653313,0.0113486992802898,8.61984511075095e-05,1.54462827004416,9,-4888.14671411035,9794.36215674304,8.9280706447571,0.0048192455308289
"476",-1.21721207282996,0.00137514024074542,-0.0084804328072428,NA,0.0523303557531759,-0.141381349465478,NA,0.859319761028465,0.0109406387301927,8.40778367226767e-05,1.54399529622747,10,-4887.22790723407,9794.53984808159,9.10576198331,0.00440954591774876
"352",-0.402083134967058,0.00221242971486554,-0.00804288065037374,-0.103624793297886,0.0480181495655508,-0.196186587297505,NA,0.831536092874856,NA,7.18828463260966e-05,1.54876021287423,10,-4894.84392509904,9809.77188381152,24.3377977132423,2.17169752576493e-06
"384",-0.34229084952294,0.00219620249676882,-0.00804849126281055,-0.10105703674739,0.0480675089719387,-0.177179236462908,-0.000596597371906509,0.826740770740729,NA,7.20430647647794e-05,1.5486212159004,11,-4894.59146790481,9811.28381467855,25.8497285802659,1.01973592647546e-06
"336",-0.355092530287712,0.00216683818582951,-0.00943267517244996,-0.106661554882427,0.0448044121189508,NA,NA,0.832842868887088,NA,7.42575392707419e-05,1.54994437541416,9,-4896.64077102904,9811.35027058042,25.9161844821429,9.86408950987517e-07
"368",-0.267297696871621,0.00214814355919477,-0.00922835037436712,-0.102131070281729,0.0453745093432475,NA,-0.000945147339646641,0.825039971843984,NA,7.41442808721833e-05,1.5495471002417,10,-4895.96555069872,9812.01513501088,26.5810489125997,7.07430089338997e-07
"348",-0.603204940529245,0.00222065187661693,-0.00794244246515994,NA,0.0483172517939804,-0.210183653443315,NA,0.840476273420066,NA,7.21488418239381e-05,1.55126750567489,9,-4899.18815879668,9816.44504611571,31.0109600174255,7.72219125878637e-08
"380",-0.511799930562985,0.00219744445862367,-0.00795380838503486,NA,0.0483769879831491,-0.182854928781403,-0.000842600238134542,0.833392200532729,NA,7.2366458133601e-05,1.55098237075215,10,-4898.68086852958,9817.44577067261,32.0116845743305,4.68204924577714e-08
"364",-0.435849064046798,0.00214792280605642,-0.00917102738287385,NA,0.0455974376622415,NA,-0.00120471816397769,0.831704614748898,NA,7.45348998007294e-05,1.55196600002257,9,-4900.13889447892,9818.34651748018,32.9124313818975,2.98429185244189e-08
"332",-0.558597455898328,0.00217205015796634,-0.00943144825252272,NA,0.0448734959958163,NA,NA,0.842151331402745,NA,7.47015606631276e-05,1.55261902798584,8,-4901.24568717979,9818.54633619164,33.1122500933616,2.7005437121431e-08
"472",0.0528804178805944,0.00287099583764942,-0.00725424211920416,-0.114803229556419,NA,0.366329301250137,NA,0.855633213434584,0.0054312208090721,5.01240340716145e-05,1.58899702388031,10,-4961.01719916921,9942.11843195186,156.684345853575,3.96379840349789e-35
"504",0.116285416932719,0.00282613414786883,-0.00727412906536888,-0.111474048443711,NA,0.395861323807775,-0.000796204869177971,0.849884969130007,0.0057875209994664,5.06098488653109e-05,1.58875999317538,11,-4960.60180367505,9943.30448621904,157.870400120759,2.19060031947272e-35
"344",0.326322803728737,0.00324836562914241,-0.00701707805876066,-0.113554429015156,NA,0.309723678237565,NA,0.845720061035964,NA,4.52655384839497e-05,1.59083129705126,9,-4963.93078236727,9945.93029325689,160.496207158605,5.89354213945319e-36
"376",0.368933195992018,0.00323783706235652,-0.00701959952481928,-0.111770455920131,NA,0.32324779477117,-0.000416364659607243,0.842370526417271,NA,4.53533414512764e-05,1.59076776930317,10,-4963.81399473726,9947.71202308796,162.277936989676,2.41812460538198e-36
"468",-0.157225656884787,0.00289390854495502,-0.0071392350718369,NA,NA,0.353812757060686,NA,0.865404832910048,0.00532792942954903,5.01413508383323e-05,1.59204825868403,9,-4966.0853031776,9950.23933487754,164.805248779259,6.83407741455724e-37
"500",-0.0640245186972598,0.00283285084174767,-0.00717058176907319,NA,NA,0.393919039328928,-0.00106757411034651,0.857316662385797,0.00580975417102842,5.07926342917045e-05,1.59161107322904,10,-4965.3336030071,9950.75123962765,165.317153529368,5.29079811255719e-37
"456",0.169390461001698,0.00325099187136208,-0.00407759809443142,-0.109591983384461,NA,NA,NA,0.851172379615256,0.00346284354571681,3.94003734052418e-05,1.5935142129646,9,-4967.83217991383,9953.73308834999,168.299002251708,1.19129952042549e-37
"340",0.113378634040603,0.00326391979345796,-0.00690828189380275,NA,NA,0.298459793973953,NA,0.855571918642529,NA,4.53750616619423e-05,1.59380936824892,8,-4968.87911885308,9953.81319953822,168.379113439938,1.14452436750392e-37
"328",0.343016483486367,0.00346597345113623,-0.00425020590658613,-0.109306334344911,NA,NA,NA,0.844914479532524,NA,3.72311480108276e-05,1.59429411879009,8,-4969.08198351706,9954.21892886618,168.784842767904,9.34376784250809e-38
"372",0.189197679827889,0.00324614056918231,-0.00691540508567046,NA,NA,0.321080323477199,-0.000686921212084695,0.849790195720825,NA,4.55175450327038e-05,1.59362653557535,9,-4968.55908415193,9955.18689682621,169.752810727925,5.75877973179235e-38
"488",0.147536743035789,0.00325523070821466,-0.00414740482011384,-0.110701599556816,NA,NA,0.000236145791544094,0.852990754497018,0.00340405036475519,3.9514202201366e-05,1.59347625227096,10,-4967.79191498128,9955.667863576,170.233777477717,4.52782741561537e-38
"360",0.305416664497179,0.00346687325397438,-0.00435143736852044,-0.110994154104002,NA,NA,0.000357594089106123,0.847831129995937,NA,3.74593710974968e-05,1.59421755675759,9,-4968.98888909456,9956.04650671146,170.612420613179,3.74686937326144e-38
"96",-0.155909404997301,0.00440344596970927,-0.0021972153087566,-0.110352279178546,0.0284045195984011,-0.477973109947518,NA,0.85889299215562,NA,NA,1.59476419819523,9,-4970.70940914397,9959.48754681027,174.053460711988,6.70588635480389e-39
"452",-0.0350469616188064,0.00326048829282125,-0.00407147258467105,NA,NA,NA,NA,0.860646547330571,0.00342959612183868,3.97669025879238e-05,1.59626178848774,8,-4972.4325259999,9960.92001383186,175.485927733576,3.27642271094869e-39
